annotation_id	instance_id	assignment	window_a_changed	window_b_changed	requires_reannotation	window_a_sha256	window_b_sha256
WIN-001	astropy__astropy-14598	仅学生A	1	1	1	74d0da3d4d89ccf5c02308d0bd47755d5ff586dc63d2638d3bd0b6347fde0746	1273cddd9ba81518044dd031172dc2fdc560c719ba8afd1e41e713dbc5ca2479
WIN-002	django__django-15572	共同标注	1	1	1	e87591d8a571be25dacae02a68ad55af4c1a35f2a5d12db8082fc5fe4538f438	c3506e3f06fb9959e62e2b4dea4d615b4435b5f14eecab58a2fbd1c778638540
WIN-003	sphinx-doc__sphinx-9367	仅学生A	1	1	1	f0958d66c9a53a1614cc8ef10000a6faefc477da048fc083b033ad278104d88b	8412bbf77f0292d58a8967c8156a9035e7ae0166751e6aa435024278dc5ec42b
WIN-004	sympy__sympy-24661	仅学生B	1	1	1	907707332d6876c59df83d8354b726da57e8871a374ade549180dc7d941ff9a1	59d05bbd158972ad58746d7b362a785cf7a527df465105d834f3970057134ecc
WIN-005	pydata__xarray-4356	仅学生A	1	1	1	175e188a4a7a1458a85ca1bcb27d378054c571ce6881b0c9b092d9bba6579e4d	7e19ff55520f63985d70838e41f45ce1219ac8a31779f87aaa66e409a22c065b
WIN-006	pallets__flask-5014	共同标注	1	1	1	63f66d459f4b8b7263351c1696f42210bd67a2d36a31cdf87195ae6ca2c4c59c	02c1344b507d915652d9f9f5d352bafbc5df46509502d9376ef27fee37981511
WIN-007	mwaskom__seaborn-3187	共同标注	1	1	1	695238acd9f9e02a7c7adbf8a8ff22da606d10e86c1f2abf869a30f418e39cbc	72e30054f74ea2289a70b603a351dfd74729d652a2d3a0e465b4782cc4ade9f8
WIN-008	django__django-16631	仅学生B	1	1	1	914dd05a30c2cb7853dbfd21133887909e78c531a864d5535c42c5adc9d21fe5	c190746cb1f5e818ede13f4dbbf02fe3c544259dcd0f526c2783cea728583b34
WIN-009	django__django-16642	仅学生B	1	1	1	c28141b4685828172d18e8a88c3713068e3661b9aba8d17cadfb1a65a8dd6895	2839d2cab912b6f37413fd3bba389cca47f8a64ed2ff64e6966ee5acb23cc0ce
WIN-010	django__django-11880	仅学生B	1	1	1	bad5a74d9a750980f123b2f053872fbb4a4f197e3a152618fc58b45cb0a7613c	30b4d94daad6eb6526ab8142a1c44ac5025540b5524b6968873bb1c67be8ff0c
WIN-011	mwaskom__seaborn-3069	共同标注	1	1	1	891ffd92c5c2ebef273afe36ac7187ac3a50c76c9de9a76f26c0aecf839e7f11	2f5dd889cf3369276b49946a48d33146fc162b23d6bea190a96d2d7a1431a4a8
WIN-012	sympy__sympy-19495	仅学生A	1	1	1	85d2c38d3c148a1d93ed89be9f3ca0ca87c8811c4f5164c22e75ced2331f238b	f59ee526d97edd0e41e3ec0a074f299ba464eccc1c1676b6538392f89eb7927d
WIN-013	django__django-15973	仅学生B	1	1	1	f08b0374230154b5095a4e25ee0deee9ef95f2cdfe61e15389d662753610f8bc	d68f577385b4c7d5d1956f0604ab064996c1fe71c854ddcab6edeb9ccc574c0d
