baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
FileFusionProjection	ProjectedEntityRRF	file_hit	-2.200000	-4.448875	1.262030	18	29	0.143865088441
FileFusionProjection	ProjectedEntityRRF	target_coverage	0.856818	-1.744961	1.786213	NA	NA	NA
FileFusionProjection	ProjectedEntityRRF	hit	0.800000	-1.185800	1.647059	25	21	0.658738077024
FileFusionProjection	ProjectedEntityRRF	mrr	3.488703	0.287626	5.176094	NA	NA	NA
FileFusionProjection	ProjectedEntityRRF	complete	1.000000	-1.607847	2.068966	29	24	0.583132154261
ProjectedEntityRRF	MURAL	file_hit	0.800000	0.311030	1.834862	4	0	0.125
ProjectedEntityRRF	MURAL	target_coverage	1.641429	0.661376	2.289180	NA	NA	NA
ProjectedEntityRRF	MURAL	hit	1.800000	0.761397	2.487562	9	0	0.00390625
ProjectedEntityRRF	MURAL	mrr	0.527676	0.245041	1.059420	NA	NA	NA
ProjectedEntityRRF	MURAL	complete	1.800000	0.761397	2.487562	9	0	0.00390625
