baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
Dense_raw	Dense_local	20	astropy__astropy-13398	baseline_only	6	NA
Dense_raw	Dense_local	20	astropy__astropy-14539	baseline_only	5	NA
Dense_raw	Dense_local	20	django__django-10097	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-10880	baseline_only	11	NA
Dense_raw	Dense_local	20	django__django-10914	baseline_only	2	NA
Dense_raw	Dense_local	20	django__django-11138	baseline_only	13	NA
Dense_raw	Dense_local	20	django__django-11490	baseline_only	4	NA
Dense_raw	Dense_local	20	django__django-11551	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-11790	treatment_only	NA	19
Dense_raw	Dense_local	20	django__django-11880	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-12209	baseline_only	16	NA
Dense_raw	Dense_local	20	django__django-12273	baseline_only	2	NA
Dense_raw	Dense_local	20	django__django-12304	baseline_only	4	NA
Dense_raw	Dense_local	20	django__django-12308	baseline_only	16	NA
Dense_raw	Dense_local	20	django__django-12708	baseline_only	6	NA
Dense_raw	Dense_local	20	django__django-13012	treatment_only	NA	6
Dense_raw	Dense_local	20	django__django-13158	baseline_only	19	NA
Dense_raw	Dense_local	20	django__django-13212	treatment_only	NA	3
Dense_raw	Dense_local	20	django__django-13344	treatment_only	NA	12
Dense_raw	Dense_local	20	django__django-13363	baseline_only	12	NA
Dense_raw	Dense_local	20	django__django-13406	treatment_only	NA	19
Dense_raw	Dense_local	20	django__django-13658	baseline_only	3	NA
Dense_raw	Dense_local	20	django__django-13786	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-13925	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-13933	treatment_only	NA	6
Dense_raw	Dense_local	20	django__django-13964	baseline_only	4	NA
Dense_raw	Dense_local	20	django__django-14011	treatment_only	NA	6
Dense_raw	Dense_local	20	django__django-14140	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-14349	baseline_only	4	NA
Dense_raw	Dense_local	20	django__django-14373	baseline_only	2	NA
Dense_raw	Dense_local	20	django__django-14672	treatment_only	NA	7
Dense_raw	Dense_local	20	django__django-14725	baseline_only	20	NA
Dense_raw	Dense_local	20	django__django-14771	baseline_only	9	NA
Dense_raw	Dense_local	20	django__django-15022	baseline_only	6	NA
Dense_raw	Dense_local	20	django__django-15098	baseline_only	7	NA
Dense_raw	Dense_local	20	django__django-15104	treatment_only	NA	16
Dense_raw	Dense_local	20	django__django-15252	treatment_only	NA	3
Dense_raw	Dense_local	20	django__django-15277	baseline_only	7	NA
Dense_raw	Dense_local	20	django__django-15278	treatment_only	NA	7
Dense_raw	Dense_local	20	django__django-15280	baseline_only	2	NA
Dense_raw	Dense_local	20	django__django-15499	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-15525	baseline_only	18	NA
Dense_raw	Dense_local	20	django__django-15561	baseline_only	9	NA
Dense_raw	Dense_local	20	django__django-15563	baseline_only	4	NA
Dense_raw	Dense_local	20	django__django-15741	treatment_only	NA	2
Dense_raw	Dense_local	20	django__django-15957	baseline_only	7	NA
Dense_raw	Dense_local	20	django__django-15973	treatment_only	NA	6
Dense_raw	Dense_local	20	django__django-16255	treatment_only	NA	6
Dense_raw	Dense_local	20	django__django-16263	treatment_only	NA	3
Dense_raw	Dense_local	20	django__django-16333	treatment_only	NA	7
Dense_raw	Dense_local	20	django__django-16502	baseline_only	7	NA
Dense_raw	Dense_local	20	django__django-16527	baseline_only	2	NA
Dense_raw	Dense_local	20	django__django-16631	baseline_only	12	NA
Dense_raw	Dense_local	20	django__django-16642	baseline_only	1	NA
Dense_raw	Dense_local	20	django__django-16662	baseline_only	5	NA
Dense_raw	Dense_local	20	django__django-16938	baseline_only	7	NA
Dense_raw	Dense_local	20	django__django-16950	baseline_only	12	NA
Dense_raw	Dense_local	20	django__django-17084	baseline_only	11	NA
Dense_raw	Dense_local	20	django__django-9296	baseline_only	1	NA
Dense_raw	Dense_local	20	matplotlib__matplotlib-13989	treatment_only	NA	1
Dense_raw	Dense_local	20	matplotlib__matplotlib-21568	baseline_only	9	NA
Dense_raw	Dense_local	20	matplotlib__matplotlib-22719	treatment_only	NA	4
Dense_raw	Dense_local	20	matplotlib__matplotlib-22865	treatment_only	NA	18
Dense_raw	Dense_local	20	matplotlib__matplotlib-22871	treatment_only	NA	5
Dense_raw	Dense_local	20	matplotlib__matplotlib-23412	treatment_only	NA	20
Dense_raw	Dense_local	20	matplotlib__matplotlib-24570	treatment_only	NA	5
Dense_raw	Dense_local	20	matplotlib__matplotlib-24637	treatment_only	NA	1
Dense_raw	Dense_local	20	matplotlib__matplotlib-24870	treatment_only	NA	14
Dense_raw	Dense_local	20	matplotlib__matplotlib-25479	treatment_only	NA	17
Dense_raw	Dense_local	20	matplotlib__matplotlib-25775	treatment_only	NA	12
Dense_raw	Dense_local	20	matplotlib__matplotlib-25960	treatment_only	NA	1
Dense_raw	Dense_local	20	matplotlib__matplotlib-26113	treatment_only	NA	1
Dense_raw	Dense_local	20	matplotlib__matplotlib-26208	treatment_only	NA	13
Dense_raw	Dense_local	20	matplotlib__matplotlib-26291	treatment_only	NA	6
Dense_raw	Dense_local	20	matplotlib__matplotlib-26342	treatment_only	NA	5
Dense_raw	Dense_local	20	mwaskom__seaborn-3069	treatment_only	NA	8
Dense_raw	Dense_local	20	mwaskom__seaborn-3187	baseline_only	9	NA
Dense_raw	Dense_local	20	pallets__flask-5014	treatment_only	NA	1
Dense_raw	Dense_local	20	psf__requests-1921	baseline_only	4	NA
Dense_raw	Dense_local	20	pydata__xarray-2905	baseline_only	11	NA
Dense_raw	Dense_local	20	pydata__xarray-3095	treatment_only	NA	4
Dense_raw	Dense_local	20	pydata__xarray-3305	treatment_only	NA	7
Dense_raw	Dense_local	20	pydata__xarray-3677	baseline_only	6	NA
Dense_raw	Dense_local	20	pydata__xarray-4695	baseline_only	2	NA
Dense_raw	Dense_local	20	pydata__xarray-4966	baseline_only	17	NA
Dense_raw	Dense_local	20	pydata__xarray-7229	treatment_only	NA	13
Dense_raw	Dense_local	20	pydata__xarray-7393	baseline_only	13	NA
Dense_raw	Dense_local	20	pytest-dev__pytest-10051	treatment_only	NA	5
Dense_raw	Dense_local	20	pytest-dev__pytest-10081	treatment_only	NA	7
Dense_raw	Dense_local	20	pytest-dev__pytest-5262	treatment_only	NA	4
Dense_raw	Dense_local	20	pytest-dev__pytest-5840	treatment_only	NA	7
Dense_raw	Dense_local	20	pytest-dev__pytest-7236	treatment_only	NA	2
Dense_raw	Dense_local	20	pytest-dev__pytest-7571	treatment_only	NA	1
Dense_raw	Dense_local	20	pytest-dev__pytest-7982	baseline_only	13	NA
Dense_raw	Dense_local	20	pytest-dev__pytest-8399	treatment_only	NA	13
Dense_raw	Dense_local	20	scikit-learn__scikit-learn-10297	treatment_only	NA	7
Dense_raw	Dense_local	20	scikit-learn__scikit-learn-10908	treatment_only	NA	13
Dense_raw	Dense_local	20	scikit-learn__scikit-learn-11310	treatment_only	NA	3
Dense_raw	Dense_local	20	scikit-learn__scikit-learn-12973	treatment_only	NA	1
