baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
Dense_raw	Dense_local	20	file	500	0.894	0.83	-0.06400000000000006	-0.094	-0.036	15	47	438	5.778372004920304e-05
Dense_raw	Dense_local	20	method	500	0.552525333000333	0.5665228354978353	0.013997502497502312	-0.030714807414807428	0.05893820346320347	104	86	310	NA
Dense_raw	Dense_local	20	mrr	500	0.3635078330939786	0.3203856921973794	-0.043122140896599215	-0.08012940125749717	-0.0062135175368147446	142	182	176	NA
Dense_raw	Dense_local	20	hit	500	0.62	0.64	0.020000000000000018	-0.03	0.068	80	70	350	0.4625495178668303
BM25_local	Dense_local	20	file	500	0.736	0.83	0.09399999999999997	0.06	0.13	66	19	415	3.040683333139466e-07
BM25_local	Dense_local	20	method	500	0.5007613275613275	0.5665228354978353	0.06576150793650781	0.035588888888888885	0.09696468253968253	63	25	412	NA
BM25_local	Dense_local	20	mrr	500	0.2864737545478257	0.3203856921973794	0.03391193764955369	0.01247678958468432	0.055839064203770085	109	75	316	NA
BM25_local	Dense_local	20	hit	500	0.57	0.64	0.07000000000000006	0.038	0.104	54	19	427	5.0622659111780655e-05
MURAL_2src	Dense_local	20	file	500	0.77	0.83	0.05999999999999994	0.026	0.094	54	24	422	0.0009010035205219422
MURAL_2src	Dense_local	20	method	500	0.5528888888888888	0.5665228354978353	0.013633946608946568	-0.02001161616161616	0.0474252886002886	61	49	390	NA
MURAL_2src	Dense_local	20	mrr	500	0.31976817442103816	0.3203856921973794	0.0006175177763412254	-0.023010007630828073	0.02472804339623226	101	131	268	NA
MURAL_2src	Dense_local	20	hit	500	0.628	0.64	0.01200000000000001	-0.024	0.048	46	40	414	0.5900356111485574
MURAL_2src	MURAL_3src	20	file	500	0.77	0.826	0.05599999999999994	0.034	0.08	31	3	466	7.660128176212311e-07
MURAL_2src	MURAL_3src	20	method	500	0.5528888888888888	0.5973700577200575	0.044481168831168705	0.022466883116883114	0.06733939393939395	47	14	439	NA
MURAL_2src	MURAL_3src	20	mrr	500	0.31976817442103816	0.34245798058151	0.022689806160471837	0.010568428965255592	0.0356254375139824	102	45	353	NA
MURAL_2src	MURAL_3src	20	hit	500	0.628	0.674	0.04600000000000004	0.022	0.072	33	10	457	0.0006061066312668117
Dense_local	MURAL_3src	20	file	500	0.83	0.826	-0.0040000000000000036	-0.034	0.024	26	28	446	0.8919231511047494
Dense_local	MURAL_3src	20	method	500	0.5665228354978353	0.5973700577200575	0.030847222222222137	0.003604761904761905	0.05890833333333335	46	29	425	NA
Dense_local	MURAL_3src	20	mrr	500	0.3203856921973794	0.34245798058151	0.02207228838413061	-0.00036421184594560244	0.04457756574351002	146	64	290	NA
Dense_local	MURAL_3src	20	hit	500	0.64	0.674	0.03400000000000003	0.006	0.064	35	18	447	0.027008317653722358
GLM5_issue	GLM5_MURAL_3src	20	file	500	0.874	0.952	0.07799999999999996	0.056	0.102	39	0	461	3.637978807091713e-12
GLM5_issue	GLM5_MURAL_3src	20	method	500	0.529893573093573	0.71657668997669	0.186683116883117	0.1559744588744589	0.21840454545454543	127	0	373	NA
GLM5_issue	GLM5_MURAL_3src	20	mrr	500	0.5123071428571428	0.5490093152719314	0.03670217241478857	0.027071685624317197	0.04740986656102757	89	0	411	NA
GLM5_issue	GLM5_MURAL_3src	20	hit	500	0.624	0.802	0.17800000000000005	0.144	0.212	89	0	411	3.2311742677852644e-27
GLM5_BM25_local	GLM5_MURAL_3src	20	file	500	0.942	0.952	0.010000000000000009	-0.002	0.022	7	2	491	0.1796875
GLM5_BM25_local	GLM5_MURAL_3src	20	method	500	0.6922465312465312	0.71657668997669	0.024330158730158757	0.0050007936507936515	0.0443452380952381	30	12	458	NA
GLM5_BM25_local	GLM5_MURAL_3src	20	mrr	500	0.5437262324191117	0.5490093152719314	0.005283082852819754	0.001897107304460246	0.009125554476483272	44	16	440	NA
GLM5_BM25_local	GLM5_MURAL_3src	20	hit	500	0.78	0.802	0.02200000000000002	0.0	0.044	21	10	469	0.07075554598122835
GLM5_MURAL_2src	GLM5_MURAL_3src	20	file	500	0.946	0.952	0.006000000000000005	-0.002	0.014	4	1	495	0.375
GLM5_MURAL_2src	GLM5_MURAL_3src	20	method	500	0.7086232267732268	0.71657668997669	0.00795346320346324	-0.004696536796536798	0.020997402597402598	17	8	475	NA
GLM5_MURAL_2src	GLM5_MURAL_3src	20	mrr	500	0.5469265406506119	0.5490093152719314	0.002082774621319561	-0.00031246286393345207	0.0049329164385665935	29	11	460	NA
GLM5_MURAL_2src	GLM5_MURAL_3src	20	hit	500	0.79	0.802	0.01200000000000001	-0.002	0.026	9	3	488	0.14599609375
