name	N	top_k	file_rate	method_or_entity_rate	mrr	hit_rate	dir
Dense_raw	500	20	0.894	0.552525333000333	0.3635078330939786	0.62	runs/text_baselines_nohints/2001
Dense_local	500	20	0.83	0.5665228354978353	0.3203856921973794	0.64	temp_run/mural_experiment_additions/dense_top20_files_filelocal_v2
BM25_local	500	20	0.736	0.5007613275613275	0.2864737545478257	0.57	temp_run/private_bm25_filelocal_20260704/bm25_top20_files_filelocal
KG_local	500	20	0.592	0.4542596681096681	0.26336495101046187	0.508	runs/kg_verified_evidence_graph/tse_timesafe_main_20260531_pathunion_v1
MURAL_2src	500	20	0.77	0.5528888888888888	0.31976817442103816	0.628	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/BM25_KG_deterministic_rrf
MURAL_3src	500	20	0.826	0.5973700577200575	0.34245798058151	0.674	temp_run/mural_experiment_additions/mural_3src_dense_v2
GLM5_issue	500	20	0.874	0.529893573093573	0.5123071428571428	0.624	temp_run/eval_aliyun_glm5_issueonly
GLM5_BM25_local	500	20	0.942	0.6922465312465312	0.5437262324191117	0.78	temp_run/private_bm25_filelocal_20260704/budget_fusions/GLM5_BM25FileLocal_b20_p10
GLM5_MURAL_2src	500	20	0.946	0.7086232267732268	0.5469265406506119	0.79	temp_run/private_bm25_filelocal_20260704/hybrid_rrf/deterministic_budget_fusions/GLM5_Hybrid_b20_p10
GLM5_MURAL_3src	500	20	0.952	0.71657668997669	0.5490093152719314	0.802	temp_run/mural_experiment_additions/glm5_mural_3src_b20_p10
