baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25 raw	BM25 local	20	edit_recall	500	0.3920462481962482	0.5010113275613275	0.10896507936507926	0.06563073593073593	0.15209025974025978	122	55	323	NA
BM25 raw	BM25 local	20	complete_edit	500	0.35	0.446	0.09600000000000003	0.052	0.14	89	41	370	3.092192388382927e-05
KG raw	KG local	20	edit_recall	500	0.3377373737373737	0.4527596681096681	0.11502229437229439	0.08667857142857141	0.14403607503607505	80	9	411	NA
KG raw	KG local	20	complete_edit	500	0.308	0.412	0.10399999999999998	0.074	0.136	59	7	434	2.3834933267526115e-11
KG local	BM25 local	20	edit_recall	500	0.4527596681096681	0.5010113275613275	0.04825165945165938	0.005192929292929291	0.09091673881673881	101	69	330	NA
KG local	BM25 local	20	complete_edit	500	0.412	0.446	0.03400000000000003	-0.01	0.076	68	51	381	0.1421320280750586
BM25 local	MURAL-2	20	edit_recall	500	0.5010113275613275	0.5519722222222222	0.05096089466089471	0.02363160173160173	0.07815303030303032	50	22	428	NA
BM25 local	MURAL-2	20	complete_edit	500	0.446	0.49	0.043999999999999984	0.018	0.072	36	14	450	0.0026021714567221466
MURAL-2	MURAL-3	20	edit_recall	500	0.5519722222222222	0.5961367243867242	0.04416450216450196	0.02127380952380953	0.06791623376623376	46	15	439	NA
MURAL-2	MURAL-3	20	complete_edit	500	0.49	0.534	0.04400000000000004	0.02	0.07	31	9	460	0.0006795482549932785
GLM issue	GLM+BM25	20	edit_recall	500	0.529893573093573	0.691663197913198	0.16176962481962498	0.13238881673881675	0.19180317460317464	114	0	386	NA
GLM issue	GLM+BM25	20	complete_edit	500	0.462	0.62	0.15799999999999997	0.126	0.19	79	0	421	3.308722450212111e-24
GLM issue	GLM+KG	20	edit_recall	500	0.529893573093573	0.6585265817515819	0.12863300865800886	0.10230119047619048	0.15599902597402598	85	0	415	NA
GLM issue	GLM+KG	20	complete_edit	500	0.462	0.592	0.12999999999999995	0.102	0.16	65	0	435	5.421010862427522e-20
GLM issue	GLM+MURAL-2	20	edit_recall	500	0.529893573093573	0.7112065601065601	0.18131298701298715	0.1505448051948052	0.2125378787878788	123	0	377	NA
GLM issue	GLM+MURAL-2	20	complete_edit	500	0.462	0.644	0.182	0.148	0.216	91	0	409	8.077935669463161e-28
GLM+BM25	GLM+MURAL-2	20	edit_recall	500	0.691663197913198	0.7112065601065601	0.019543362193362168	0.0004930735930735942	0.03903333333333332	29	17	454	NA
GLM+BM25	GLM+MURAL-2	20	complete_edit	500	0.62	0.644	0.02400000000000002	0.002	0.046	21	9	470	0.04277394525706768
GLM+MURAL-2	GLM+MURAL-3	20	edit_recall	500	0.7112065601065601	0.71632668997669	0.005120129870129886	-0.0087	0.018850000000000002	16	10	474	NA
GLM+MURAL-2	GLM+MURAL-3	20	complete_edit	500	0.644	0.646	0.0020000000000000018	-0.014	0.018	9	8	483	1.0
