source	token_budget	N	selected_mean	selected_p50	selected_p95	context_tokens_mean	context_tokens_p50	context_tokens_p95	budget_fill_mean	entity_tokens_p50	entity_tokens_p95	truncated_entity_rate	changed_line_recall	complete_changed_line_rate
CoSIL_Remainder	4000	500	5.182	5.0	8.0	1076.9	990.0	1802.0	0.269225	129.0	986.0	0.24469316866074875	0.32619886209699267	0.298
CoSIL_BM25	4000	500	18.768	18.0	29.0	3833.468	3903.5	3987.0	0.958367	119.0	1017.0	0.2739769820971867	0.406664860471417	0.334
CoSIL_Structural	4000	500	19.638	20.0	35.0	3406.022	3896.0	3993.0	0.8515055	82.0	822.0	0.19900193502393318	0.38986724464914657	0.344
CoSIL_Dense	4000	500	20.86	20.0	33.0	3834.128	3905.5	3991.0	0.958532	88.0	839.0	0.2131351869606903	0.42319154700623135	0.332
CoSIL_EqualRR	4000	500	19.13	19.0	29.0	3813.25	3903.0	3994.0	0.9533125	104.0	929.0	0.24464192368008364	0.40991601192088867	0.346
CoSIL_MURAL	4000	500	20.758	20.0	32.0	3847.552	3904.0	3989.0	0.961888	99.0	902.0	0.23325946622988727	0.4229206177187754	0.34
Agentless_Remainder	4000	500	15.704	13.0	39.0	2131.482	1924.5	3979.0	0.5328705	52.0	505.0	0.12429954151808456	0.270658358168518	0.226
Agentless_BM25	4000	500	20.586	20.0	31.0	3798.166	3888.5	3992.0	0.9495415	94.0	929.0	0.23676284853784124	0.34949878081820646	0.276
Agentless_Structural	4000	500	21.372	21.5	36.0	3402.738	3885.5	3990.0	0.8506845	69.0	707.0	0.17546322290847838	0.34624762936873477	0.266
Agentless_Dense	4000	500	22.636	22.0	35.0	3845.52	3916.0	3992.0	0.96138	73.0	742.0	0.18899098780703305	0.3822812246003793	0.276
Agentless_EqualRR	4000	500	20.916	21.0	30.0	3789.516	3896.0	3989.0	0.947379	84.0	839.0	0.2150506789061006	0.35600108371714984	0.274
Agentless_MURAL	4000	500	22.4	21.0	33.0	3836.284	3892.5	3990.0	0.959071	82.0	812.0	0.20660714285714285	0.3690056895150366	0.28
LocAgent_Remainder	4000	500	3.89	4.0	9.0	883.1	863.5	1985.0	0.220775	159.0	1063.0	0.28380462724935734	0.30560823625033867	0.28
LocAgent_BM25	4000	500	18.598	18.0	29.0	3819.868	3904.0	3992.0	0.954967	120.0	1027.0	0.27766426497472846	0.39149282037388244	0.318
LocAgent_Structural	4000	500	19.386	20.0	34.0	3364.716	3897.0	3990.0	0.841179	82.0	795.0	0.19962859795728877	0.37875914386345166	0.326
LocAgent_Dense	4000	500	20.772	20.0	32.0	3842.678	3919.0	3993.0	0.9606695	88.0	817.0	0.21567494704409781	0.4156055269574641	0.332
LocAgent_EqualRR	4000	500	18.936	19.0	29.0	3783.436	3896.0	3991.0	0.945859	106.0	929.0	0.24820447824250105	0.40124627472229746	0.334
LocAgent_MURAL	4000	500	20.516	20.0	31.0	3837.128	3898.0	3992.0	0.959282	101.0	907.0	0.23581594852797816	0.41018694120834465	0.332
OrcaLoca_Remainder	4000	500	12.124	7.0	38.0	1623.934	918.5	3959.0	0.4059835	51.0	529.0	0.12372154404486968	0.23245732863722568	0.224
OrcaLoca_BM25	4000	500	20.314	21.0	30.0	3801.74	3893.5	3992.0	0.950435	93.0	942.0	0.24140986511765286	0.3280953671091845	0.27
OrcaLoca_Structural	4000	500	21.264	22.0	37.0	3347.624	3884.5	3990.0	0.836906	65.0	703.0	0.1689240030097818	0.31996748848550527	0.27
OrcaLoca_Dense	4000	500	22.542	22.0	34.0	3835.738	3914.5	3992.0	0.9589345	70.0	746.0	0.18756099724957856	0.3616905987537253	0.278
OrcaLoca_EqualRR	4000	500	20.716	21.0	31.0	3784.016	3903.0	3989.0	0.946004	82.0	848.0	0.21365128403166633	0.34028718504470334	0.278
OrcaLoca_MURAL	4000	500	22.352	22.0	34.0	3847.836	3907.0	3990.0	0.961959	81.0	809.0	0.207319255547602	0.35871037659170957	0.276
