baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
CoSIL_Remainder_t4000	CoSIL_MURAL_t4000	file_hit	11.600000	8.842012	14.883721	58	0	6.93889390391e-18
CoSIL_Remainder_t4000	CoSIL_MURAL_t4000	target_coverage	14.014134	9.829819	16.061218	NA	NA	NA
CoSIL_Remainder_t4000	CoSIL_MURAL_t4000	hit	14.000000	10.384563	17.692387	71	1	3.09167025748e-20
CoSIL_Remainder_t4000	CoSIL_MURAL_t4000	mrr	2.805032	2.173286	3.470570	NA	NA	NA
CoSIL_Remainder_t4000	CoSIL_MURAL_t4000	complete	12.400000	8.503367	14.136919	63	1	7.04731412116e-18
CoSIL_BM25_t4000	CoSIL_MURAL_t4000	file_hit	2.200000	1.203589	4.977423	15	4	0.0192108154297
CoSIL_BM25_t4000	CoSIL_MURAL_t4000	target_coverage	2.169841	0.744870	4.824930	NA	NA	NA
CoSIL_BM25_t4000	CoSIL_MURAL_t4000	hit	2.000000	0.000000	6.030151	18	8	0.0755186975002
CoSIL_BM25_t4000	CoSIL_MURAL_t4000	mrr	0.583769	0.189231	1.399389	NA	NA	NA
CoSIL_BM25_t4000	CoSIL_MURAL_t4000	complete	1.800000	0.406463	3.347330	15	6	0.0783538818359
CoSIL_Structural_t4000	CoSIL_MURAL_t4000	file_hit	3.600000	2.000000	6.606731	21	3	0.000277161598206
CoSIL_Structural_t4000	CoSIL_MURAL_t4000	target_coverage	3.472215	0.359225	5.760081	NA	NA	NA
CoSIL_Structural_t4000	CoSIL_MURAL_t4000	hit	4.000000	1.960784	7.000097	27	7	0.000821395311505
CoSIL_Structural_t4000	CoSIL_MURAL_t4000	mrr	0.827770	0.458151	1.481611	NA	NA	NA
CoSIL_Structural_t4000	CoSIL_MURAL_t4000	complete	2.000000	-0.684932	2.908600	23	13	0.132498163963
CoSIL_Dense_t4000	CoSIL_MURAL_t4000	file_hit	-1.000000	-2.280161	0.000000	4	9	0.266845703125
CoSIL_Dense_t4000	CoSIL_MURAL_t4000	target_coverage	0.032222	-1.296949	1.937630	NA	NA	NA
CoSIL_Dense_t4000	CoSIL_MURAL_t4000	hit	-0.600000	-2.586277	1.470697	7	10	0.629058837891
CoSIL_Dense_t4000	CoSIL_MURAL_t4000	mrr	0.011529	-0.457279	0.670587	NA	NA	NA
CoSIL_Dense_t4000	CoSIL_MURAL_t4000	complete	0.800000	-0.617316	2.605978	13	9	0.523467063904
CoSIL_EqualRR_t4000	CoSIL_MURAL_t4000	file_hit	-0.200000	-1.521446	3.057036	7	8	1
CoSIL_EqualRR_t4000	CoSIL_MURAL_t4000	target_coverage	0.191746	-1.151188	3.195792	NA	NA	NA
CoSIL_EqualRR_t4000	CoSIL_MURAL_t4000	hit	0.400000	-1.412211	4.666822	13	11	0.838819742203
CoSIL_EqualRR_t4000	CoSIL_MURAL_t4000	mrr	0.263308	-0.125241	1.160712	NA	NA	NA
CoSIL_EqualRR_t4000	CoSIL_MURAL_t4000	complete	0.400000	-0.766357	2.409639	14	12	0.845018982887
Agentless_Remainder_t4000	Agentless_MURAL_t4000	file_hit	18.600000	12.399829	22.113935	96	3	5.10550777859e-25
Agentless_Remainder_t4000	Agentless_MURAL_t4000	target_coverage	16.953954	9.823083	19.331126	NA	NA	NA
Agentless_Remainder_t4000	Agentless_MURAL_t4000	hit	16.800000	9.199885	19.495798	96	12	1.95774998349e-17
Agentless_Remainder_t4000	Agentless_MURAL_t4000	mrr	4.837168	2.291036	5.700438	NA	NA	NA
Agentless_Remainder_t4000	Agentless_MURAL_t4000	complete	15.800000	9.090909	18.120805	90	11	1.42359117652e-16
Agentless_BM25_t4000	Agentless_MURAL_t4000	file_hit	2.400000	0.960214	6.451613	20	8	0.0356981381774
Agentless_BM25_t4000	Agentless_MURAL_t4000	target_coverage	2.794286	0.583697	4.832989	NA	NA	NA
Agentless_BM25_t4000	Agentless_MURAL_t4000	hit	3.000000	0.896761	6.625373	26	11	0.0200738519197
Agentless_BM25_t4000	Agentless_MURAL_t4000	mrr	1.174257	0.375919	1.716369	NA	NA	NA
Agentless_BM25_t4000	Agentless_MURAL_t4000	complete	2.400000	0.000000	4.034018	22	10	0.0501024597324
Agentless_Structural_t4000	Agentless_MURAL_t4000	file_hit	6.400000	2.654867	8.203147	37	5	4.43370481662e-07
Agentless_Structural_t4000	Agentless_MURAL_t4000	target_coverage	5.025469	-0.660452	7.101762	NA	NA	NA
Agentless_Structural_t4000	Agentless_MURAL_t4000	hit	5.600000	0.609572	7.582938	37	9	4.05603613274e-05
Agentless_Structural_t4000	Agentless_MURAL_t4000	mrr	1.743623	0.386020	2.616734	NA	NA	NA
Agentless_Structural_t4000	Agentless_MURAL_t4000	complete	4.000000	-1.379390	5.738584	33	13	0.00453386158219
Agentless_Dense_t4000	Agentless_MURAL_t4000	file_hit	-1.000000	-2.469181	3.252364	13	18	0.473129659891
Agentless_Dense_t4000	Agentless_MURAL_t4000	target_coverage	0.436183	-0.946841	4.000829	NA	NA	NA
Agentless_Dense_t4000	Agentless_MURAL_t4000	hit	0.800000	-0.387654	3.921569	17	13	0.584664711729
Agentless_Dense_t4000	Agentless_MURAL_t4000	mrr	0.893962	-0.096973	1.463178	NA	NA	NA
Agentless_Dense_t4000	Agentless_MURAL_t4000	complete	0.400000	-1.578294	4.918159	19	17	0.867939400428
Agentless_EqualRR_t4000	Agentless_MURAL_t4000	file_hit	-0.600000	-2.564103	4.529669	10	13	0.677639484406
Agentless_EqualRR_t4000	Agentless_MURAL_t4000	target_coverage	1.013802	-0.416959	3.999300	NA	NA	NA
Agentless_EqualRR_t4000	Agentless_MURAL_t4000	hit	1.000000	-1.214575	5.809129	17	12	0.458258319646
Agentless_EqualRR_t4000	Agentless_MURAL_t4000	mrr	0.899135	0.304623	1.471814	NA	NA	NA
Agentless_EqualRR_t4000	Agentless_MURAL_t4000	complete	1.400000	0.202368	3.654586	18	11	0.264930896461
LocAgent_Remainder_t4000	LocAgent_MURAL_t4000	file_hit	16.600000	12.781895	23.563310	83	0	2.06795153138e-25
LocAgent_Remainder_t4000	LocAgent_MURAL_t4000	target_coverage	15.353846	10.675270	18.706195	NA	NA	NA
LocAgent_Remainder_t4000	LocAgent_MURAL_t4000	hit	16.200000	12.374357	20.833608	81	0	8.27180612553e-25
LocAgent_Remainder_t4000	LocAgent_MURAL_t4000	mrr	4.616082	2.854699	8.321396	NA	NA	NA
LocAgent_Remainder_t4000	LocAgent_MURAL_t4000	complete	13.800000	9.316694	16.265132	69	0	3.38813178902e-21
LocAgent_BM25_t4000	LocAgent_MURAL_t4000	file_hit	4.000000	2.857075	6.159420	21	1	1.09672546387e-05
LocAgent_BM25_t4000	LocAgent_MURAL_t4000	target_coverage	3.851746	2.644021	5.292405	NA	NA	NA
LocAgent_BM25_t4000	LocAgent_MURAL_t4000	hit	4.400000	3.401361	6.285757	24	2	1.04904174805e-05
LocAgent_BM25_t4000	LocAgent_MURAL_t4000	mrr	1.249097	0.772418	2.307167	NA	NA	NA
LocAgent_BM25_t4000	LocAgent_MURAL_t4000	complete	3.600000	1.762115	5.194805	21	3	0.000277161598206
LocAgent_Structural_t4000	LocAgent_MURAL_t4000	file_hit	6.000000	3.716216	11.801666	33	3	2.27213604376e-07
LocAgent_Structural_t4000	LocAgent_MURAL_t4000	target_coverage	3.674149	-0.448184	7.014586	NA	NA	NA
LocAgent_Structural_t4000	LocAgent_MURAL_t4000	hit	4.600000	1.907292	7.929690	31	8	0.000294076875434
LocAgent_Structural_t4000	LocAgent_MURAL_t4000	mrr	1.657217	0.430379	4.780053	NA	NA	NA
LocAgent_Structural_t4000	LocAgent_MURAL_t4000	complete	2.600000	-1.321659	4.932874	27	14	0.0595838880181
LocAgent_Dense_t4000	LocAgent_MURAL_t4000	file_hit	0.000000	-2.481544	3.055697	14	14	1
LocAgent_Dense_t4000	LocAgent_MURAL_t4000	target_coverage	0.554127	-0.439817	3.094982	NA	NA	NA
LocAgent_Dense_t4000	LocAgent_MURAL_t4000	hit	0.600000	-0.203879	2.808989	15	12	0.701108038425
LocAgent_Dense_t4000	LocAgent_MURAL_t4000	mrr	0.353293	-0.006474	1.182544	NA	NA	NA
LocAgent_Dense_t4000	LocAgent_MURAL_t4000	complete	0.800000	-0.443471	3.862661	19	15	0.607591361273
LocAgent_EqualRR_t4000	LocAgent_MURAL_t4000	file_hit	0.600000	-0.709251	4.195871	11	8	0.647605895996
LocAgent_EqualRR_t4000	LocAgent_MURAL_t4000	target_coverage	0.274517	-0.906137	2.828205	NA	NA	NA
LocAgent_EqualRR_t4000	LocAgent_MURAL_t4000	hit	0.800000	-0.590580	4.166667	14	10	0.541256189346
LocAgent_EqualRR_t4000	LocAgent_MURAL_t4000	mrr	0.641268	0.283470	1.568603	NA	NA	NA
LocAgent_EqualRR_t4000	LocAgent_MURAL_t4000	complete	0.200000	-1.146515	2.953638	16	15	1
OrcaLoca_Remainder_t4000	OrcaLoca_MURAL_t4000	file_hit	24.800000	18.181818	39.394385	124	0	9.40395480658e-38
OrcaLoca_Remainder_t4000	OrcaLoca_MURAL_t4000	target_coverage	20.316768	15.234093	24.735147	NA	NA	NA
OrcaLoca_Remainder_t4000	OrcaLoca_MURAL_t4000	hit	22.000000	17.694318	30.078523	119	9	1.21032599257e-25
OrcaLoca_Remainder_t4000	OrcaLoca_MURAL_t4000	mrr	8.658635	6.228398	15.290038	NA	NA	NA
OrcaLoca_Remainder_t4000	OrcaLoca_MURAL_t4000	complete	18.600000	12.979295	21.383779	100	7	3.45063680241e-22
OrcaLoca_BM25_t4000	OrcaLoca_MURAL_t4000	file_hit	3.600000	1.357415	9.756098	24	6	0.00143090635538
OrcaLoca_BM25_t4000	OrcaLoca_MURAL_t4000	target_coverage	4.447619	2.961139	7.227492	NA	NA	NA
OrcaLoca_BM25_t4000	OrcaLoca_MURAL_t4000	hit	5.000000	3.063441	9.248555	32	7	7.02547840774e-05
OrcaLoca_BM25_t4000	OrcaLoca_MURAL_t4000	mrr	2.127551	0.928905	5.193329	NA	NA	NA
OrcaLoca_BM25_t4000	OrcaLoca_MURAL_t4000	complete	4.000000	2.500000	6.083733	27	7	0.000821395311505
OrcaLoca_Structural_t4000	OrcaLoca_MURAL_t4000	file_hit	10.800000	5.555281	22.047534	57	3	6.25385160324e-14
OrcaLoca_Structural_t4000	OrcaLoca_MURAL_t4000	target_coverage	6.171602	-0.379230	11.717667	NA	NA	NA
OrcaLoca_Structural_t4000	OrcaLoca_MURAL_t4000	hit	7.800000	2.232072	14.970258	50	11	4.58883121951e-07
OrcaLoca_Structural_t4000	OrcaLoca_MURAL_t4000	mrr	3.056928	1.233077	7.715734	NA	NA	NA
OrcaLoca_Structural_t4000	OrcaLoca_MURAL_t4000	complete	5.000000	-1.234568	9.235800	40	15	0.00101584719413
OrcaLoca_Dense_t4000	OrcaLoca_MURAL_t4000	file_hit	-2.800000	-7.065355	1.652893	13	27	0.0384773082842
OrcaLoca_Dense_t4000	OrcaLoca_MURAL_t4000	target_coverage	-0.354848	-1.870690	2.621581	NA	NA	NA
OrcaLoca_Dense_t4000	OrcaLoca_MURAL_t4000	hit	-0.600000	-2.362205	2.500314	15	18	0.728332480881
OrcaLoca_Dense_t4000	OrcaLoca_MURAL_t4000	mrr	0.776122	0.128007	1.762383	NA	NA	NA
OrcaLoca_Dense_t4000	OrcaLoca_MURAL_t4000	complete	0.400000	-0.955452	3.930400	21	19	0.87462931238
OrcaLoca_EqualRR_t4000	OrcaLoca_MURAL_t4000	file_hit	0.000000	-3.052391	6.283135	16	16	1
OrcaLoca_EqualRR_t4000	OrcaLoca_MURAL_t4000	target_coverage	0.441746	-2.286837	4.298431	NA	NA	NA
OrcaLoca_EqualRR_t4000	OrcaLoca_MURAL_t4000	hit	0.600000	-2.204486	6.698626	20	17	0.742829358729
OrcaLoca_EqualRR_t4000	OrcaLoca_MURAL_t4000	mrr	1.282691	0.283692	3.313268	NA	NA	NA
OrcaLoca_EqualRR_t4000	OrcaLoca_MURAL_t4000	complete	1.000000	-2.325581	3.940931	25	20	0.551484329803
