approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
CoSIL_Remainder_t4000	500	50	5.182000	81.200000	60.117684	56.754848	69.600000	52.600000
CoSIL_BM25_t4000	500	50	18.768000	90.600000	71.961977	58.976111	81.600000	63.200000
CoSIL_Structural_t4000	500	50	19.638000	89.200000	70.659603	58.732110	79.600000	63.000000
CoSIL_Dense_t4000	500	50	20.860000	93.800000	74.099596	59.548351	84.200000	64.200000
CoSIL_EqualRR_t4000	500	50	19.130000	93.000000	73.940072	59.296572	83.200000	64.600000
CoSIL_MURAL_t4000	500	50	20.758000	92.800000	74.131818	59.559880	83.600000	65.000000
Agentless_Remainder_t4000	500	50	15.704000	70.400000	50.903636	43.232983	60.400000	43.200000
Agentless_BM25_t4000	500	50	20.586000	86.600000	65.063304	46.895893	74.200000	56.600000
Agentless_Structural_t4000	500	50	21.372000	82.600000	62.832121	46.326527	71.600000	55.000000
Agentless_Dense_t4000	500	50	22.636000	90.000000	67.421407	47.176189	76.400000	58.600000
Agentless_EqualRR_t4000	500	50	20.916000	89.600000	66.843788	47.171016	76.200000	57.600000
Agentless_MURAL_t4000	500	50	22.400000	89.000000	67.857590	48.070151	77.200000	59.000000
LocAgent_Remainder_t4000	500	50	3.890000	75.200000	56.080974	57.279048	65.200000	49.200000
LocAgent_BM25_t4000	500	50	18.598000	87.800000	67.583074	60.646033	77.000000	59.400000
LocAgent_Structural_t4000	500	50	19.386000	85.800000	67.760671	60.237913	76.800000	60.400000
LocAgent_Dense_t4000	500	50	20.772000	91.800000	70.880693	61.541837	80.800000	62.200000
LocAgent_EqualRR_t4000	500	50	18.936000	91.200000	71.160303	61.253862	80.600000	62.800000
LocAgent_MURAL_t4000	500	50	20.516000	91.800000	71.434820	61.895130	81.400000	63.000000
OrcaLoca_Remainder_t4000	500	50	12.124000	60.800000	44.686696	36.714973	51.600000	39.200000
OrcaLoca_BM25_t4000	500	50	20.314000	82.000000	60.555844	43.246057	68.600000	53.800000
OrcaLoca_Structural_t4000	500	50	21.264000	74.800000	58.831861	42.316681	65.800000	52.800000
OrcaLoca_Dense_t4000	500	50	22.542000	88.400000	65.358312	44.597487	74.200000	57.400000
OrcaLoca_EqualRR_t4000	500	50	20.716000	85.600000	64.561717	44.090918	73.000000	56.800000
OrcaLoca_MURAL_t4000	500	50	22.352000	85.600000	65.003463	45.373608	73.600000	57.800000
