baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
Original	MURAL	20	astropy__astropy-13579	treatment_only	NA	15
Original	MURAL	20	astropy__astropy-14365	treatment_only	NA	8
Original	MURAL	20	astropy__astropy-14369	treatment_only	NA	13
Original	MURAL	20	astropy__astropy-14539	treatment_only	NA	16
Original	MURAL	20	astropy__astropy-7166	treatment_only	NA	7
Original	MURAL	20	astropy__astropy-7336	treatment_only	NA	4
Original	MURAL	20	django__django-10999	treatment_only	NA	2
Original	MURAL	20	django__django-11099	treatment_only	NA	5
Original	MURAL	20	django__django-11239	treatment_only	NA	10
Original	MURAL	20	django__django-11400	treatment_only	NA	3
Original	MURAL	20	django__django-11477	treatment_only	NA	13
Original	MURAL	20	django__django-11532	treatment_only	NA	7
Original	MURAL	20	django__django-11603	treatment_only	NA	5
Original	MURAL	20	django__django-11728	treatment_only	NA	6
Original	MURAL	20	django__django-11880	treatment_only	NA	14
Original	MURAL	20	django__django-11951	treatment_only	NA	3
Original	MURAL	20	django__django-12262	treatment_only	NA	6
Original	MURAL	20	django__django-12419	treatment_only	NA	10
Original	MURAL	20	django__django-12774	treatment_only	NA	6
Original	MURAL	20	django__django-13023	treatment_only	NA	3
Original	MURAL	20	django__django-13212	treatment_only	NA	12
Original	MURAL	20	django__django-13315	treatment_only	NA	18
Original	MURAL	20	django__django-13344	treatment_only	NA	19
Original	MURAL	20	django__django-13658	treatment_only	NA	10
Original	MURAL	20	django__django-13821	treatment_only	NA	5
Original	MURAL	20	django__django-14404	treatment_only	NA	2
Original	MURAL	20	django__django-14672	treatment_only	NA	3
Original	MURAL	20	django__django-14787	treatment_only	NA	3
Original	MURAL	20	django__django-15252	treatment_only	NA	9
Original	MURAL	20	django__django-15503	treatment_only	NA	9
Original	MURAL	20	django__django-15731	treatment_only	NA	2
Original	MURAL	20	django__django-15851	treatment_only	NA	2
Original	MURAL	20	django__django-15987	treatment_only	NA	6
Original	MURAL	20	django__django-16136	treatment_only	NA	6
Original	MURAL	20	django__django-16145	treatment_only	NA	13
Original	MURAL	20	django__django-16899	treatment_only	NA	10
Original	MURAL	20	django__django-9296	treatment_only	NA	6
Original	MURAL	20	matplotlib__matplotlib-22719	treatment_only	NA	17
Original	MURAL	20	matplotlib__matplotlib-22871	treatment_only	NA	4
Original	MURAL	20	matplotlib__matplotlib-24570	treatment_only	NA	3
Original	MURAL	20	matplotlib__matplotlib-24870	treatment_only	NA	15
Original	MURAL	20	matplotlib__matplotlib-26113	treatment_only	NA	1
Original	MURAL	20	matplotlib__matplotlib-26291	treatment_only	NA	14
Original	MURAL	20	matplotlib__matplotlib-26342	treatment_only	NA	5
Original	MURAL	20	mwaskom__seaborn-3187	treatment_only	NA	13
Original	MURAL	20	pallets__flask-5014	treatment_only	NA	5
Original	MURAL	20	pydata__xarray-4966	treatment_only	NA	8
Original	MURAL	20	pydata__xarray-7229	treatment_only	NA	19
Original	MURAL	20	pylint-dev__pylint-6528	treatment_only	NA	10
Original	MURAL	20	pylint-dev__pylint-7277	treatment_only	NA	2
Original	MURAL	20	pytest-dev__pytest-5262	treatment_only	NA	7
Original	MURAL	20	pytest-dev__pytest-5631	treatment_only	NA	11
Original	MURAL	20	scikit-learn__scikit-learn-10297	treatment_only	NA	9
Original	MURAL	20	scikit-learn__scikit-learn-10908	treatment_only	NA	10
Original	MURAL	20	scikit-learn__scikit-learn-12682	treatment_only	NA	6
Original	MURAL	20	scikit-learn__scikit-learn-12973	treatment_only	NA	15
Original	MURAL	20	scikit-learn__scikit-learn-13142	treatment_only	NA	14
Original	MURAL	20	scikit-learn__scikit-learn-13439	treatment_only	NA	2
Original	MURAL	20	scikit-learn__scikit-learn-13496	treatment_only	NA	18
Original	MURAL	20	scikit-learn__scikit-learn-13779	treatment_only	NA	8
Original	MURAL	20	scikit-learn__scikit-learn-14053	treatment_only	NA	3
Original	MURAL	20	scikit-learn__scikit-learn-14087	treatment_only	NA	3
Original	MURAL	20	scikit-learn__scikit-learn-14983	treatment_only	NA	13
Original	MURAL	20	sphinx-doc__sphinx-10466	treatment_only	NA	19
Original	MURAL	20	sphinx-doc__sphinx-7440	treatment_only	NA	6
Original	MURAL	20	sphinx-doc__sphinx-7462	treatment_only	NA	2
Original	MURAL	20	sphinx-doc__sphinx-7748	treatment_only	NA	7
Original	MURAL	20	sphinx-doc__sphinx-7889	treatment_only	NA	13
Original	MURAL	20	sphinx-doc__sphinx-7910	treatment_only	NA	12
Original	MURAL	20	sphinx-doc__sphinx-7985	treatment_only	NA	16
Original	MURAL	20	sphinx-doc__sphinx-8269	treatment_only	NA	12
Original	MURAL	20	sphinx-doc__sphinx-8548	treatment_only	NA	19
Original	MURAL	20	sphinx-doc__sphinx-8593	treatment_only	NA	16
Original	MURAL	20	sphinx-doc__sphinx-8595	treatment_only	NA	14
Original	MURAL	20	sphinx-doc__sphinx-9229	treatment_only	NA	16
Original	MURAL	20	sphinx-doc__sphinx-9698	treatment_only	NA	11
Original	MURAL	20	sphinx-doc__sphinx-9711	treatment_only	NA	1
Original	MURAL	20	sympy__sympy-13372	treatment_only	NA	3
Original	MURAL	20	sympy__sympy-13647	treatment_only	NA	2
Original	MURAL	20	sympy__sympy-15599	treatment_only	NA	2
Original	MURAL	20	sympy__sympy-15809	treatment_only	NA	8
Original	MURAL	20	sympy__sympy-16450	treatment_only	NA	14
Original	MURAL	20	sympy__sympy-16886	treatment_only	NA	2
Original	MURAL	20	sympy__sympy-18698	treatment_only	NA	14
Original	MURAL	20	sympy__sympy-20438	treatment_only	NA	16
Original	MURAL	20	sympy__sympy-22456	treatment_only	NA	10
Original	MURAL	20	sympy__sympy-23413	treatment_only	NA	3
Original	MURAL	20	sympy__sympy-23534	treatment_only	NA	8
Original	MURAL	20	sympy__sympy-24213	treatment_only	NA	1
OwnRemaining	MURAL	20	astropy__astropy-13579	treatment_only	NA	15
OwnRemaining	MURAL	20	astropy__astropy-14365	treatment_only	NA	8
OwnRemaining	MURAL	20	astropy__astropy-14369	treatment_only	NA	13
OwnRemaining	MURAL	20	astropy__astropy-14539	treatment_only	NA	16
OwnRemaining	MURAL	20	astropy__astropy-7166	treatment_only	NA	7
OwnRemaining	MURAL	20	astropy__astropy-7336	treatment_only	NA	4
OwnRemaining	MURAL	20	django__django-10999	treatment_only	NA	2
OwnRemaining	MURAL	20	django__django-11099	treatment_only	NA	5
OwnRemaining	MURAL	20	django__django-11239	treatment_only	NA	10
OwnRemaining	MURAL	20	django__django-11400	treatment_only	NA	3
OwnRemaining	MURAL	20	django__django-11477	treatment_only	NA	13
OwnRemaining	MURAL	20	django__django-11532	treatment_only	NA	7
OwnRemaining	MURAL	20	django__django-11603	treatment_only	NA	5
OwnRemaining	MURAL	20	django__django-11728	treatment_only	NA	6
OwnRemaining	MURAL	20	django__django-11880	treatment_only	NA	14
OwnRemaining	MURAL	20	django__django-11951	treatment_only	NA	3
OwnRemaining	MURAL	20	django__django-12262	treatment_only	NA	6
OwnRemaining	MURAL	20	django__django-12419	treatment_only	NA	10
OwnRemaining	MURAL	20	django__django-12774	treatment_only	NA	6
OwnRemaining	MURAL	20	django__django-13023	treatment_only	NA	3
OwnRemaining	MURAL	20	django__django-13212	treatment_only	NA	12
OwnRemaining	MURAL	20	django__django-13315	treatment_only	NA	18
OwnRemaining	MURAL	20	django__django-13344	treatment_only	NA	19
OwnRemaining	MURAL	20	django__django-13658	treatment_only	NA	10
OwnRemaining	MURAL	20	django__django-13821	treatment_only	NA	5
OwnRemaining	MURAL	20	django__django-14404	treatment_only	NA	2
OwnRemaining	MURAL	20	django__django-14672	treatment_only	NA	3
OwnRemaining	MURAL	20	django__django-14787	treatment_only	NA	3
OwnRemaining	MURAL	20	django__django-15252	treatment_only	NA	9
OwnRemaining	MURAL	20	django__django-15503	treatment_only	NA	9
OwnRemaining	MURAL	20	django__django-15731	treatment_only	NA	2
OwnRemaining	MURAL	20	django__django-15851	treatment_only	NA	2
OwnRemaining	MURAL	20	django__django-15987	treatment_only	NA	6
OwnRemaining	MURAL	20	django__django-16136	treatment_only	NA	6
OwnRemaining	MURAL	20	django__django-16145	treatment_only	NA	13
OwnRemaining	MURAL	20	django__django-16899	treatment_only	NA	10
OwnRemaining	MURAL	20	django__django-9296	treatment_only	NA	6
OwnRemaining	MURAL	20	matplotlib__matplotlib-22719	treatment_only	NA	17
OwnRemaining	MURAL	20	matplotlib__matplotlib-22871	treatment_only	NA	4
OwnRemaining	MURAL	20	matplotlib__matplotlib-24570	treatment_only	NA	3
OwnRemaining	MURAL	20	matplotlib__matplotlib-24870	treatment_only	NA	15
OwnRemaining	MURAL	20	matplotlib__matplotlib-26113	treatment_only	NA	1
OwnRemaining	MURAL	20	matplotlib__matplotlib-26291	treatment_only	NA	14
OwnRemaining	MURAL	20	matplotlib__matplotlib-26342	treatment_only	NA	5
OwnRemaining	MURAL	20	mwaskom__seaborn-3187	treatment_only	NA	13
OwnRemaining	MURAL	20	pallets__flask-5014	treatment_only	NA	5
OwnRemaining	MURAL	20	pydata__xarray-4966	treatment_only	NA	8
OwnRemaining	MURAL	20	pydata__xarray-7229	treatment_only	NA	19
OwnRemaining	MURAL	20	pylint-dev__pylint-6528	treatment_only	NA	10
OwnRemaining	MURAL	20	pylint-dev__pylint-7277	treatment_only	NA	2
OwnRemaining	MURAL	20	pytest-dev__pytest-5262	treatment_only	NA	7
OwnRemaining	MURAL	20	pytest-dev__pytest-5631	treatment_only	NA	11
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-10297	treatment_only	NA	9
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-10908	treatment_only	NA	10
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-12682	treatment_only	NA	6
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-12973	treatment_only	NA	15
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-13142	treatment_only	NA	14
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-13439	treatment_only	NA	2
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-13496	treatment_only	NA	18
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-13779	treatment_only	NA	8
OwnRemaining	MURAL	20	scikit-learn__scikit-learn-14053	treatment_only	NA	3
