baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
Original	MURAL	20	file	500	0.874	0.952	0.07799999999999996	0.056	0.102	39	0	461	3.637978807091713e-12
Original	MURAL	20	method	500	0.529893573093573	0.71632668997669	0.18643311688311703	0.15558484848484846	0.21830324675324675	127	0	373	NA
Original	MURAL	20	mrr	500	0.5123071428571428	0.5495297780564808	0.037222635199337994	0.027434305314568454	0.048054053256684846	89	0	411	NA
Original	MURAL	20	hit	500	0.624	0.802	0.17800000000000005	0.144	0.212	89	0	411	3.2311742677852644e-27
OwnRemaining	MURAL	20	file	500	0.874	0.952	0.07799999999999996	0.056	0.102	39	0	461	3.637978807091713e-12
OwnRemaining	MURAL	20	method	500	0.529893573093573	0.71632668997669	0.18643311688311703	0.15558484848484846	0.21830324675324675	127	0	373	NA
OwnRemaining	MURAL	20	mrr	500	0.5123071428571428	0.5495297780564808	0.037222635199337994	0.027434305314568454	0.048054053256684846	89	0	411	NA
OwnRemaining	MURAL	20	hit	500	0.624	0.802	0.17800000000000005	0.144	0.212	89	0	411	3.2311742677852644e-27
SameFileNeighbors	MURAL	20	file	500	0.87	0.952	0.08199999999999996	0.058	0.106	41	0	459	9.094947017729282e-13
SameFileNeighbors	MURAL	20	method	500	0.6446327505827505	0.71632668997669	0.07169393939393953	0.03962727272727273	0.10476277056277059	79	33	388	NA
SameFileNeighbors	MURAL	20	mrr	500	0.5260443903705514	0.5495297780564808	0.02348538768592945	0.014846571385271075	0.033377453016539695	77	27	396	NA
SameFileNeighbors	MURAL	20	hit	500	0.73	0.802	0.07200000000000006	0.04	0.106	56	20	424	4.36893220622444e-05
FileSourceOrder	MURAL	20	file	500	0.902	0.952	0.04999999999999993	0.03	0.072	28	3	469	4.649162292480469e-06
FileSourceOrder	MURAL	20	method	500	0.5878697635697636	0.71632668997669	0.1284569264069264	0.0994277056277056	0.15917619047619053	104	12	384	NA
FileSourceOrder	MURAL	20	mrr	500	0.5184024120873966	0.5495297780564808	0.031127365969084275	0.022200453992172256	0.040878721072529114	85	7	408	NA
FileSourceOrder	MURAL	20	hit	500	0.676	0.802	0.126	0.094	0.158	68	5	427	3.4249061479387204e-15
WithinFileBM25	MURAL	20	file	500	0.902	0.952	0.04999999999999993	0.03	0.072	28	3	469	4.649162292480469e-06
WithinFileBM25	MURAL	20	method	500	0.6320741286491285	0.71632668997669	0.08425256132756154	0.056221608946608936	0.1132702380952381	78	18	404	NA
WithinFileBM25	MURAL	20	mrr	500	0.5361719260271892	0.5495297780564808	0.013357852029291628	0.004451191524333938	0.022304232025284646	61	26	413	NA
WithinFileBM25	MURAL	20	hit	500	0.71	0.802	0.09200000000000008	0.06	0.122	55	9	436	3.542223380175076e-09
EqualRoundRobin	MURAL	20	file	500	0.956	0.952	-0.0040000000000000036	-0.018	0.01	6	8	486	0.79052734375
EqualRoundRobin	MURAL	20	method	500	0.6410345182595184	0.71632668997669	0.07529217171717162	0.04648589466089466	0.10461230158730159	80	21	399	NA
EqualRoundRobin	MURAL	20	mrr	500	0.541790320137379	0.5495297780564808	0.0077394579191018	-0.001273137732580457	0.016767298499574035	58	37	405	NA
EqualRoundRobin	MURAL	20	hit	500	0.75	0.802	0.052000000000000046	0.022	0.084	44	18	438	0.0012990027709550095
WeightedFeatures	MURAL	20	file	500	0.954	0.952	-0.0020000000000000018	-0.016	0.01	5	6	489	1.0
WeightedFeatures	MURAL	20	method	500	0.7102393883893885	0.71632668997669	0.00608730158730153	-0.018059523809523814	0.03013095238095238	38	32	430	NA
WeightedFeatures	MURAL	20	mrr	500	0.5441623158661083	0.5495297780564808	0.005367462190372541	-0.0021781742423383284	0.013191983953439056	51	38	411	NA
WeightedFeatures	MURAL	20	hit	500	0.794	0.802	0.008000000000000007	-0.018	0.034	25	21	454	0.6587380770236564
StableRandom	MURAL	20	file	500	0.92	0.952	0.03199999999999992	0.016	0.05	18	2	480	0.0004024505615234375
StableRandom	MURAL	20	method	500	0.540425319125319	0.71632668997669	0.17590137085137103	0.14541356421356422	0.2076645021645022	120	2	378	NA
StableRandom	MURAL	20	mrr	500	0.5137256557168322	0.5495297780564808	0.03580412233964869	0.026134095754606578	0.04645999804289276	88	2	410	NA
StableRandom	MURAL	20	hit	500	0.638	0.802	0.16400000000000003	0.132	0.198	83	1	416	8.788794008375919e-24
BM25Projection	MURAL	20	file	500	0.942	0.952	0.010000000000000009	-0.002	0.022	7	2	491	0.1796875
BM25Projection	MURAL	20	method	500	0.691663197913198	0.71632668997669	0.024663492063492054	0.004911904761904762	0.04468333333333334	30	12	458	NA
BM25Projection	MURAL	20	mrr	500	0.544059565752445	0.5495297780564808	0.005470212304035882	0.002036579674195774	0.009320728248359828	43	16	441	NA
BM25Projection	MURAL	20	hit	500	0.78	0.802	0.02200000000000002	0.0	0.044	21	10	469	0.07075554598122835
DenseProjection	MURAL	20	file	500	0.952	0.952	0.0	-0.014	0.014	6	6	488	1.0
DenseProjection	MURAL	20	method	500	0.7150492368742369	0.71632668997669	0.0012774531024530855	-0.019798593073593076	0.022606349206349206	28	28	444	NA
DenseProjection	MURAL	20	mrr	500	0.5462438041490674	0.5495297780564808	0.0032859739074134753	-0.00024973021474569457	0.00712639626455416	41	27	432	NA
DenseProjection	MURAL	20	hit	500	0.794	0.802	0.008000000000000007	-0.014	0.03	19	15	466	0.6075913612730801
