name	N	top_k	file_rate	method_or_entity_rate	mrr	hit_rate	dir
Original	500	20	0.874	0.529893573093573	0.5123071428571428	0.624	temp_run/eval_aliyun_glm5_issueonly
OwnRemaining	500	20	0.874	0.529893573093573	0.5123071428571428	0.624	temp_run/mural_reviewer_controls_20260718/prefix_tails/OwnRemaining
SameFileNeighbors	500	20	0.87	0.6446327505827505	0.5260443903705514	0.73	temp_run/mural_reviewer_controls_20260718/prefix_tails/SameFileNeighbors
FileSourceOrder	500	20	0.902	0.5878697635697636	0.5184024120873966	0.676	temp_run/mural_reviewer_controls_20260718/prefix_tails/FileSourceOrder
WithinFileBM25	500	20	0.902	0.6320741286491285	0.5361719260271892	0.71	temp_run/mural_reviewer_controls_20260718/prefix_tails/WithinFileBM25
EqualRoundRobin	500	20	0.956	0.6410345182595184	0.541790320137379	0.75	temp_run/mural_reviewer_controls_20260718/prefix_tails/EqualRoundRobin
WeightedFeatures	500	20	0.954	0.7102393883893885	0.5441623158661083	0.794	temp_run/mural_reviewer_controls_20260718/prefix_tails/WeightedFeatures
StableRandom	500	20	0.92	0.540425319125319	0.5137256557168322	0.638	temp_run/mural_reviewer_controls_20260718/prefix_tails/StableRandom
BM25Projection	500	20	0.942	0.691663197913198	0.544059565752445	0.78	temp_run/mural_reviewer_controls_20260718/prefix_tails/BM25Projection
DenseProjection	500	20	0.952	0.7150492368742369	0.5462438041490674	0.794	temp_run/mural_reviewer_controls_20260718/prefix_tails/DenseProjection
MURAL	500	20	0.952	0.71632668997669	0.5495297780564808	0.802	temp_run/mural_reviewer_controls_20260718/prefix_tails/MURAL
