baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
CodeOnlyStructural	HistoricalStructural	20	astropy__astropy-13033	treatment_only	NA	2
CodeOnlyStructural	HistoricalStructural	20	astropy__astropy-13236	treatment_only	NA	9
CodeOnlyStructural	HistoricalStructural	20	astropy__astropy-13453	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	astropy__astropy-14182	baseline_only	13	NA
CodeOnlyStructural	HistoricalStructural	20	astropy__astropy-14369	baseline_only	2	NA
CodeOnlyStructural	HistoricalStructural	20	astropy__astropy-7671	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	astropy__astropy-8872	baseline_only	2	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-10973	baseline_only	6	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-11087	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-11179	baseline_only	2	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-11292	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-11477	baseline_only	6	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-11551	treatment_only	NA	3
CodeOnlyStructural	HistoricalStructural	20	django__django-11603	baseline_only	9	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-11880	treatment_only	NA	1
CodeOnlyStructural	HistoricalStructural	20	django__django-12143	baseline_only	9	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-12193	treatment_only	NA	1
CodeOnlyStructural	HistoricalStructural	20	django__django-12419	treatment_only	NA	2
CodeOnlyStructural	HistoricalStructural	20	django__django-13212	baseline_only	2	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-13346	treatment_only	NA	1
CodeOnlyStructural	HistoricalStructural	20	django__django-13512	baseline_only	10	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-13670	baseline_only	6	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-13786	treatment_only	NA	16
CodeOnlyStructural	HistoricalStructural	20	django__django-13809	baseline_only	5	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-14089	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-14122	baseline_only	7	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-14500	baseline_only	2	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-14534	treatment_only	NA	3
CodeOnlyStructural	HistoricalStructural	20	django__django-14608	baseline_only	12	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-14765	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-14915	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-15022	treatment_only	NA	19
CodeOnlyStructural	HistoricalStructural	20	django__django-15161	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-15278	baseline_only	6	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-15382	treatment_only	NA	9
CodeOnlyStructural	HistoricalStructural	20	django__django-15554	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-15731	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-15987	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-16139	treatment_only	NA	3
CodeOnlyStructural	HistoricalStructural	20	django__django-16263	baseline_only	14	NA
CodeOnlyStructural	HistoricalStructural	20	django__django-16527	treatment_only	NA	7
CodeOnlyStructural	HistoricalStructural	20	django__django-16595	treatment_only	NA	2
CodeOnlyStructural	HistoricalStructural	20	django__django-16631	treatment_only	NA	1
CodeOnlyStructural	HistoricalStructural	20	django__django-16661	treatment_only	NA	2
CodeOnlyStructural	HistoricalStructural	20	django__django-16662	treatment_only	NA	5
CodeOnlyStructural	HistoricalStructural	20	django__django-16901	treatment_only	NA	9
CodeOnlyStructural	HistoricalStructural	20	django__django-9296	treatment_only	NA	1
CodeOnlyStructural	HistoricalStructural	20	matplotlib__matplotlib-20676	baseline_only	20	NA
CodeOnlyStructural	HistoricalStructural	20	matplotlib__matplotlib-23412	treatment_only	NA	16
CodeOnlyStructural	HistoricalStructural	20	matplotlib__matplotlib-25479	baseline_only	16	NA
CodeOnlyStructural	HistoricalStructural	20	pallets__flask-5014	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	psf__requests-1766	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	psf__requests-1921	baseline_only	18	NA
CodeOnlyStructural	HistoricalStructural	20	psf__requests-5414	baseline_only	6	NA
CodeOnlyStructural	HistoricalStructural	20	pydata__xarray-3677	treatment_only	NA	3
CodeOnlyStructural	HistoricalStructural	20	pydata__xarray-4356	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	pydata__xarray-4695	baseline_only	10	NA
CodeOnlyStructural	HistoricalStructural	20	pydata__xarray-4966	treatment_only	NA	1
CodeOnlyStructural	HistoricalStructural	20	pydata__xarray-6992	treatment_only	NA	1
CodeOnlyStructural	HistoricalStructural	20	pydata__xarray-7233	treatment_only	NA	11
CodeOnlyStructural	HistoricalStructural	20	pylint-dev__pylint-4604	baseline_only	16	NA
CodeOnlyStructural	HistoricalStructural	20	pylint-dev__pylint-4661	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-10081	baseline_only	5	NA
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-10356	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-5809	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-5840	baseline_only	8	NA
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-7236	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-7324	treatment_only	NA	14
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-7982	baseline_only	17	NA
CodeOnlyStructural	HistoricalStructural	20	pytest-dev__pytest-8399	baseline_only	12	NA
CodeOnlyStructural	HistoricalStructural	20	scikit-learn__scikit-learn-13496	baseline_only	17	NA
CodeOnlyStructural	HistoricalStructural	20	scikit-learn__scikit-learn-9288	baseline_only	18	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-10435	baseline_only	11	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-10466	baseline_only	19	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-7590	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-7748	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-7889	treatment_only	NA	10
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-7910	baseline_only	6	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-8035	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-8056	treatment_only	NA	2
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-8459	treatment_only	NA	3
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-8548	baseline_only	10	NA
CodeOnlyStructural	HistoricalStructural	20	sphinx-doc__sphinx-9461	treatment_only	NA	17
CodeOnlyStructural	HistoricalStructural	20	sympy__sympy-11618	baseline_only	1	NA
CodeOnlyStructural	HistoricalStructural	20	sympy__sympy-12419	baseline_only	14	NA
CodeOnlyStructural	HistoricalStructural	20	sympy__sympy-12481	baseline_only	13	NA
CodeOnlyStructural	HistoricalStructural	20	sympy__sympy-13798	baseline_only	13	NA
