annotation_id	instance_id	assignment	method_a	source_a	window_a_sha256	exact_match_a	method_b	source_b	window_b_sha256	exact_match_b
WIN-001	astropy__astropy-14598	仅学生A	MURAL_2src	MURAL_2src	d703820a388997e7fbf8037582ae60763838913286d2b9f3b61ecfb54a0b2474	1	BM25_projection	BM25_projection	0869c38c70b86f5930837bf5a464e1ec65e2473101a50f0c5d0b3109382469b9	1
WIN-002	django__django-15572	共同标注	MURAL_2src	MURAL_2src	42eaebad17a29a86eb2230d70d1dba78c0edbb15193ced3c965bd91f9757f7ee	1	BM25_projection	BM25_projection	44a3397798700668d9aac7c175da363ca3a1f0494a0773299cca9a65224e18fe	1
WIN-003	sphinx-doc__sphinx-9367	仅学生A	BM25_projection	BM25_projection	eb087d80a84c08f6c6b5c823d19b9a49ee374a10f80bec0b8ef2512adb6f7ea0	1	MURAL_2src	MURAL_2src	eb087d80a84c08f6c6b5c823d19b9a49ee374a10f80bec0b8ef2512adb6f7ea0	1
WIN-004	sympy__sympy-24661	仅学生B	BM25_projection	BM25_projection	d49af7552511349aecf9d1869c5a051fa00dd04bb92f61a11f2d8fa20bfb23e7	1	MURAL_2src	MURAL_2src	d1d821a486a65865be28194a203e59c626e3497a003554f929175c54348129ab	1
WIN-005	pydata__xarray-4356	仅学生A	MURAL_2src	MURAL_2src	d5d7d3ded96fda00bab7683fae7740a64c096c84bacbe7c140f342e7e5b06737	1	BM25_projection	BM25_projection	489840d46591f746b888f3825c264325bb8ded1da31a3e86038a8641ad22945a	1
WIN-006	pallets__flask-5014	共同标注	MURAL_2src	MURAL_2src	9e83ef14d6f7d0abc5b889481cbe95f0f512cfbd7f0ce7070dd15d0811d4e663	1	BM25_projection	BM25_projection	9e83ef14d6f7d0abc5b889481cbe95f0f512cfbd7f0ce7070dd15d0811d4e663	1
WIN-007	mwaskom__seaborn-3187	共同标注	BM25_projection	BM25_projection	3b0b56e36383ad92ae82930b4c9807d3492c96405e87ff3e0a48ccc2cc74a427	1	MURAL_2src	MURAL_2src	108dc2a86be5cf574a8973021c7db6cac06022c22ea4ec7585f7f5628060129d	1
WIN-008	django__django-16631	仅学生B	MURAL_2src	MURAL_2src	6fda65df0da93e732c7ad5b750676fe1f02320b0ff8b58b07c2f1d00bede4b60	1	BM25_projection	BM25_projection	c3031f62e4843ee98e0979326bb8248984c6373398a53de82d90a287440e12f9	1
WIN-009	django__django-16642	仅学生B	BM25_projection	BM25_projection	ca1745e7f31c17443ca7c2cb38881e8ff5c143d2a7148fbfa03773bbcbd142d6	1	MURAL_2src	MURAL_2src	c21f2150ce99f0423d2eb276c9a8882eb18f295e7803071aef72fd68224ca6ad	1
WIN-010	django__django-11880	仅学生B	MURAL_2src	MURAL_2src	91db5b3c451dcc95ff27ab3440ba7386638d7c2528d249e03889ce46a2f3926d	1	BM25_projection	BM25_projection	201ae1d6a31cbd3b3c9cfc2377754cbeb58a349e2173514f8073e09c98f5fbf9	1
WIN-011	mwaskom__seaborn-3069	共同标注	BM25_projection	BM25_projection	9af765249d171d28f6a2d41db6691028f3a110808c7dedc4c4f1816feb3b4fb3	1	MURAL_2src	MURAL_2src	cfcbe1f0d82168f3b1e1077c82bbcf3cb7b00ec83bc3904dbdf687d657af4cf9	1
WIN-012	sympy__sympy-19495	仅学生A	BM25_projection	BM25_projection	7e0bdab0a7655d7343eb5af5e2ae21735b00e0e7367991001bc0f68101235716	1	MURAL_2src	MURAL_2src	6a3b14a92bc1f905c073c323958341a3305b88935c50bee3536602402c8f6200	1
WIN-013	django__django-15973	仅学生B	MURAL_2src	MURAL_2src	c7ed20a261c9a83f4950b11c7d166e50f2e4274f747b3bf5fd7136e761754687	1	BM25_projection	BM25_projection	72ab5c45f53ddf56897ffcacb29e51c0d75936b3d7581b674247650f7f9a53bc	1
WIN-014	django__django-15503	仅学生B	MURAL_2src	MURAL_2src	98521e8153c563b4602d722bf8aef1590f84e8f9bf44070b2941722bb3c75038	1	BM25_projection	BM25_projection	265aac99fb56fc5560e647a6e44e9ed2a9334e089aa091198fcc385039b441f5	1
WIN-015	pytest-dev__pytest-8399	共同标注	MURAL_2src	MURAL_2src	f299a446ec058db9a0972aaee6558a17c6fcf3b5922633150b5d94545dc4e6ff	1	BM25_projection	BM25_projection	01573502dfb5b13601c4e9c1708ee9df9a98bb4b99e89167783cb417890050cb	1
WIN-016	astropy__astropy-12907	仅学生A	MURAL_2src	MURAL_2src	1695e1214bd393206b69a70cc7952be5ab6194eb80f84932989e7cdeec8a407a	1	BM25_projection	BM25_projection	512cae19a7fa450f99be809aa70dd95d529204c5f2d07ceaf284b766d6365ca3	1
WIN-017	astropy__astropy-8707	共同标注	MURAL_2src	MURAL_2src	c85ae3ad727763771d0a85b0da0d3e63d9e9296e03e61eceaaf2bb1dc37f1596	1	BM25_projection	BM25_projection	cc4e1bb5645bfeb2aa74daa261bc03fa704b1fd73ca7d98d5b0079f09049a401	1
WIN-018	sympy__sympy-21930	仅学生A	MURAL_2src	MURAL_2src	d9b58ab5f2c6e6ec391783ef2eaaffda775852ad5da63b082278d415b6328a13	1	BM25_projection	BM25_projection	6848f54fb221124364bc3d4c6837e9b3219ef6dd50dfe1073ddbf3ea601b0bab	1
