approach	instance_id	repository	candidate_count	target_count	matched_target_count	first_rank	file_hit	target_coverage	hit	mrr	complete
BM25-local	astropy__astropy-14598	astropy__astropy	20	2	0	0	1	0.0	0	0.0	0
MURAL	astropy__astropy-14598	astropy__astropy	20	2	0	0	1	0.0	0	0.0	0
BM25-local	django__django-15572	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-15572	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25-local	sphinx-doc__sphinx-9367	sphinx-doc__sphinx	20	1	0	0	0	0.0	0	0.0	0
MURAL	sphinx-doc__sphinx-9367	sphinx-doc__sphinx	20	1	0	0	0	0.0	0	0.0	0
BM25-local	sympy__sympy-24661	sympy__sympy	20	1	1	1	1	1.0	1	1.0	1
MURAL	sympy__sympy-24661	sympy__sympy	20	1	1	1	1	1.0	1	1.0	1
BM25-local	pydata__xarray-4356	pydata__xarray	20	1	1	3	1	1.0	1	0.3333333333333333	1
MURAL	pydata__xarray-4356	pydata__xarray	20	1	0	0	0	0.0	0	0.0	0
BM25-local	pallets__flask-5014	pallets__flask	20	1	1	1	1	1.0	1	1.0	1
MURAL	pallets__flask-5014	pallets__flask	20	1	1	1	1	1.0	1	1.0	1
BM25-local	mwaskom__seaborn-3187	mwaskom__seaborn	20	2	0	0	1	0.0	0	0.0	0
MURAL	mwaskom__seaborn-3187	mwaskom__seaborn	20	2	1	3	1	0.5	1	0.3333333333333333	0
BM25-local	django__django-16631	django__django	20	3	0	0	0	0.0	0	0.0	0
MURAL	django__django-16631	django__django	20	3	2	3	1	0.6666666666666666	1	0.3333333333333333	0
BM25-local	django__django-16642	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-16642	django__django	20	1	1	6	1	1.0	1	0.16666666666666666	1
BM25-local	django__django-11880	django__django	20	1	0	0	1	0.0	0	0.0	0
MURAL	django__django-11880	django__django	20	1	1	9	1	1.0	1	0.1111111111111111	1
BM25-local	mwaskom__seaborn-3069	mwaskom__seaborn	20	3	2	7	1	0.6666666666666666	1	0.14285714285714285	0
MURAL	mwaskom__seaborn-3069	mwaskom__seaborn	20	3	2	6	1	0.6666666666666666	1	0.16666666666666666	0
BM25-local	sympy__sympy-19495	sympy__sympy	20	2	0	0	0	0.0	0	0.0	0
MURAL	sympy__sympy-19495	sympy__sympy	20	2	2	16	1	1.0	1	0.0625	1
BM25-local	django__django-15973	django__django	20	1	1	9	1	1.0	1	0.1111111111111111	1
MURAL	django__django-15973	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25-local	django__django-15503	django__django	20	5	0	0	0	0.0	0	0.0	0
MURAL	django__django-15503	django__django	20	5	2	4	1	0.4	1	0.25	0
BM25-local	pytest-dev__pytest-8399	pytest-dev__pytest	20	5	1	12	1	0.2	1	0.08333333333333333	0
MURAL	pytest-dev__pytest-8399	pytest-dev__pytest	20	5	0	0	1	0.0	0	0.0	0
BM25-local	astropy__astropy-12907	astropy__astropy	20	1	0	0	1	0.0	0	0.0	0
MURAL	astropy__astropy-12907	astropy__astropy	20	1	0	0	1	0.0	0	0.0	0
BM25-local	astropy__astropy-8707	astropy__astropy	20	3	1	1	1	0.3333333333333333	1	1.0	0
MURAL	astropy__astropy-8707	astropy__astropy	20	3	1	1	1	0.3333333333333333	1	1.0	0
BM25-local	sympy__sympy-21930	sympy__sympy	20	3	0	0	0	0.0	0	0.0	0
MURAL	sympy__sympy-21930	sympy__sympy	20	3	3	10	1	1.0	1	0.1	1
BM25-local	django__django-13363	django__django	20	2	0	0	1	0.0	0	0.0	0
MURAL	django__django-13363	django__django	20	2	2	14	1	1.0	1	0.07142857142857142	1
BM25-local	django__django-12713	django__django	20	1	0	0	0	0.0	0	0.0	0
MURAL	django__django-12713	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25-local	django__django-13449	django__django	20	1	1	5	1	1.0	1	0.2	1
MURAL	django__django-13449	django__django	20	1	1	10	1	1.0	1	0.1	1
BM25-local	psf__requests-5414	psf__requests	20	1	1	6	1	1.0	1	0.16666666666666666	1
MURAL	psf__requests-5414	psf__requests	20	1	1	11	1	1.0	1	0.09090909090909091	1
BM25-local	pydata__xarray-6599	pydata__xarray	20	1	0	0	1	0.0	0	0.0	0
