instance_id	stratum	judgments	decision
astropy__astropy-12907	neither	1	not_exclusive
astropy__astropy-13579	MURAL_only	1	neutral
astropy__astropy-14539	MURAL_only	2	aligned
astropy__astropy-14598	neither	1	not_exclusive
astropy__astropy-8707	both	2	not_exclusive
django__django-10914	MURAL_only	1	neutral
django__django-11433	neither	1	not_exclusive
django__django-11880	MURAL_only	1	aligned
django__django-12039	MURAL_only	1	aligned
django__django-12143	BM25_only	1	aligned
django__django-12193	MURAL_only	1	aligned
django__django-12308	MURAL_only	1	aligned
django__django-12419	MURAL_only	1	aligned
django__django-12713	MURAL_only	1	aligned
django__django-13343	MURAL_only	1	opposed
django__django-13344	MURAL_only	1	aligned
django__django-13346	MURAL_only	1	aligned
django__django-13363	MURAL_only	1	aligned
django__django-13449	both	1	not_exclusive
django__django-13590	MURAL_only	1	aligned
django__django-13794	both	1	not_exclusive
django__django-14007	BM25_only	1	aligned
django__django-14017	MURAL_only	1	aligned
django__django-14999	MURAL_only	1	aligned
django__django-15278	BM25_only	1	aligned
django__django-15368	both	1	not_exclusive
django__django-15467	MURAL_only	1	aligned
django__django-15499	MURAL_only	1	aligned
django__django-15503	MURAL_only	1	aligned
django__django-15572	MURAL_only	2	aligned
django__django-15863	BM25_only	1	aligned
django__django-15973	BM25_only	1	aligned
django__django-16139	MURAL_only	2	aligned
django__django-16263	BM25_only	1	aligned
django__django-16631	MURAL_only	1	aligned
django__django-16642	MURAL_only	1	aligned
django__django-16662	MURAL_only	1	aligned
django__django-16901	both	1	not_exclusive
django__django-9296	both	1	not_exclusive
matplotlib__matplotlib-20488	neither	1	not_exclusive
matplotlib__matplotlib-20676	MURAL_only	2	aligned
matplotlib__matplotlib-24026	BM25_only	1	aligned
matplotlib__matplotlib-24637	both	2	not_exclusive
matplotlib__matplotlib-26208	MURAL_only	1	aligned
mwaskom__seaborn-3069	both	2	not_exclusive
mwaskom__seaborn-3187	MURAL_only	2	neutral
pallets__flask-5014	both	2	not_exclusive
psf__requests-1766	neither	2	not_exclusive
psf__requests-5414	both	2	not_exclusive
pydata__xarray-4356	BM25_only	1	aligned
pydata__xarray-4966	MURAL_only	2	aligned
pydata__xarray-6599	neither	2	not_exclusive
pydata__xarray-6744	both	1	not_exclusive
pylint-dev__pylint-4604	neither	2	not_exclusive
pylint-dev__pylint-4661	both	1	not_exclusive
pylint-dev__pylint-6528	BM25_only	2	no_consensus
pytest-dev__pytest-5840	neither	2	not_exclusive
pytest-dev__pytest-7571	neither	1	not_exclusive
pytest-dev__pytest-8399	BM25_only	2	no_consensus
scikit-learn__scikit-learn-12973	MURAL_only	1	aligned
scikit-learn__scikit-learn-13142	neither	1	not_exclusive
scikit-learn__scikit-learn-13496	neither	1	not_exclusive
scikit-learn__scikit-learn-14141	both	2	not_exclusive
scikit-learn__scikit-learn-14983	both	1	not_exclusive
scikit-learn__scikit-learn-25931	MURAL_only	1	aligned
sphinx-doc__sphinx-10323	BM25_only	1	neutral
sphinx-doc__sphinx-10614	MURAL_only	2	aligned
sphinx-doc__sphinx-7748	both	1	not_exclusive
sphinx-doc__sphinx-8056	MURAL_only	1	aligned
sphinx-doc__sphinx-9367	neither	1	not_exclusive
sphinx-doc__sphinx-9461	both	1	not_exclusive
sympy__sympy-13615	MURAL_only	1	aligned
sympy__sympy-16597	both	1	not_exclusive
sympy__sympy-16792	BM25_only	1	aligned
sympy__sympy-17630	neither	1	not_exclusive
sympy__sympy-19495	MURAL_only	1	opposed
sympy__sympy-20438	MURAL_only	1	opposed
sympy__sympy-21930	MURAL_only	1	aligned
sympy__sympy-23413	MURAL_only	2	aligned
sympy__sympy-24661	both	1	not_exclusive
