annotation_id	instance_id	annotator	strict_stratum	preferred_method	directional_alignment
WIN-001	astropy__astropy-14598	A	neither	MURAL	not_exclusive
WIN-002	django__django-15572	A	MURAL_only	MURAL	aligned
WIN-002	django__django-15572	B	MURAL_only	MURAL	aligned
WIN-003	sphinx-doc__sphinx-9367	A	neither	Comparable	not_exclusive
WIN-004	sympy__sympy-24661	B	both	MURAL	not_exclusive
WIN-005	pydata__xarray-4356	A	both	BM25-local	not_exclusive
WIN-006	pallets__flask-5014	A	both	Comparable	not_exclusive
WIN-006	pallets__flask-5014	B	both	Comparable	not_exclusive
WIN-007	mwaskom__seaborn-3187	A	MURAL_only	Both insufficient	neutral
WIN-007	mwaskom__seaborn-3187	B	MURAL_only	Both insufficient	neutral
WIN-008	django__django-16631	B	neither	MURAL	not_exclusive
WIN-009	django__django-16642	B	MURAL_only	MURAL	aligned
WIN-010	django__django-11880	B	MURAL_only	MURAL	aligned
WIN-011	mwaskom__seaborn-3069	A	both	MURAL	not_exclusive
WIN-011	mwaskom__seaborn-3069	B	both	Both insufficient	not_exclusive
WIN-012	sympy__sympy-19495	A	MURAL_only	BM25-local	opposed
WIN-013	django__django-15973	B	both	BM25-local	not_exclusive
WIN-014	django__django-15503	B	MURAL_only	MURAL	aligned
WIN-015	pytest-dev__pytest-8399	A	both	Both insufficient	not_exclusive
WIN-015	pytest-dev__pytest-8399	B	both	BM25-local	not_exclusive
WIN-016	astropy__astropy-12907	A	neither	BM25-local	not_exclusive
WIN-017	astropy__astropy-8707	A	both	MURAL	not_exclusive
WIN-017	astropy__astropy-8707	B	both	MURAL	not_exclusive
WIN-018	sympy__sympy-21930	A	neither	MURAL	not_exclusive
WIN-019	django__django-13363	B	MURAL_only	MURAL	aligned
WIN-020	django__django-12713	B	MURAL_only	MURAL	aligned
WIN-021	django__django-13449	B	both	BM25-local	not_exclusive
WIN-022	psf__requests-5414	A	both	MURAL	not_exclusive
WIN-022	psf__requests-5414	B	both	BM25-local	not_exclusive
WIN-023	pydata__xarray-6599	A	neither	MURAL	not_exclusive
WIN-023	pydata__xarray-6599	B	neither	Both insufficient	not_exclusive
WIN-024	django__django-12308	B	MURAL_only	MURAL	aligned
WIN-025	scikit-learn__scikit-learn-25931	A	MURAL_only	MURAL	aligned
WIN-026	sympy__sympy-13615	A	MURAL_only	MURAL	aligned
WIN-027	matplotlib__matplotlib-26208	A	MURAL_only	MURAL	aligned
WIN-028	scikit-learn__scikit-learn-14141	A	both	Comparable	not_exclusive
WIN-028	scikit-learn__scikit-learn-14141	B	both	Comparable	not_exclusive
WIN-029	sphinx-doc__sphinx-7748	A	both	Comparable	not_exclusive
WIN-030	pydata__xarray-4966	A	MURAL_only	MURAL	aligned
WIN-030	pydata__xarray-4966	B	MURAL_only	MURAL	aligned
WIN-031	scikit-learn__scikit-learn-12973	A	neither	MURAL	not_exclusive
WIN-032	sympy__sympy-17630	A	neither	MURAL	not_exclusive
WIN-033	matplotlib__matplotlib-20676	A	MURAL_only	MURAL	aligned
WIN-033	matplotlib__matplotlib-20676	B	MURAL_only	MURAL	aligned
WIN-034	astropy__astropy-14539	A	MURAL_only	MURAL	aligned
WIN-034	astropy__astropy-14539	B	MURAL_only	MURAL	aligned
WIN-035	sympy__sympy-16597	B	BM25_only	Comparable	neutral
WIN-036	django__django-12039	A	neither	MURAL	not_exclusive
WIN-037	django__django-13590	B	MURAL_only	MURAL	aligned
WIN-038	scikit-learn__scikit-learn-13142	A	neither	MURAL	not_exclusive
WIN-039	matplotlib__matplotlib-24637	A	both	BM25-local	not_exclusive
WIN-039	matplotlib__matplotlib-24637	B	both	MURAL	not_exclusive
WIN-040	django__django-15863	A	both	BM25-local	not_exclusive
WIN-041	pytest-dev__pytest-5840	A	neither	Comparable	not_exclusive
WIN-041	pytest-dev__pytest-5840	B	neither	Both insufficient	not_exclusive
WIN-042	scikit-learn__scikit-learn-13496	A	MURAL_only	MURAL	aligned
WIN-043	sympy__sympy-16792	B	both	BM25-local	not_exclusive
WIN-044	django__django-16139	A	neither	MURAL	not_exclusive
WIN-044	django__django-16139	B	neither	MURAL	not_exclusive
WIN-045	sphinx-doc__sphinx-10614	A	MURAL_only	MURAL	aligned
WIN-045	sphinx-doc__sphinx-10614	B	MURAL_only	MURAL	aligned
WIN-046	django__django-11433	B	neither	Both insufficient	not_exclusive
WIN-047	django__django-9296	B	both	MURAL	not_exclusive
WIN-048	psf__requests-1766	A	neither	Comparable	not_exclusive
WIN-048	psf__requests-1766	B	neither	Comparable	not_exclusive
WIN-049	django__django-15278	B	BM25_only	BM25-local	aligned
WIN-050	django__django-12193	B	MURAL_only	MURAL	aligned
WIN-051	sympy__sympy-23413	A	MURAL_only	MURAL	aligned
WIN-051	sympy__sympy-23413	B	MURAL_only	MURAL	aligned
WIN-052	django__django-15368	B	both	Comparable	not_exclusive
WIN-053	pydata__xarray-6744	A	both	Comparable	not_exclusive
WIN-054	django__django-13343	A	MURAL_only	BM25-local	opposed
WIN-055	pytest-dev__pytest-7571	A	neither	BM25-local	not_exclusive
WIN-056	django__django-14017	B	neither	MURAL	not_exclusive
WIN-057	django__django-13794	B	both	MURAL	not_exclusive
WIN-058	django__django-14999	A	MURAL_only	MURAL	aligned
WIN-059	pylint-dev__pylint-4661	A	both	Comparable	not_exclusive
WIN-060	django__django-13344	B	MURAL_only	MURAL	aligned
WIN-061	sphinx-doc__sphinx-10323	A	both	Both insufficient	not_exclusive
WIN-062	django__django-16662	B	MURAL_only	MURAL	aligned
WIN-063	django__django-13346	B	MURAL_only	MURAL	aligned
WIN-064	pylint-dev__pylint-6528	A	both	MURAL	not_exclusive
WIN-064	pylint-dev__pylint-6528	B	both	Both insufficient	not_exclusive
WIN-065	scikit-learn__scikit-learn-14983	A	both	MURAL	not_exclusive
WIN-066	sphinx-doc__sphinx-8056	A	MURAL_only	MURAL	aligned
WIN-067	django__django-16263	B	BM25_only	BM25-local	aligned
WIN-068	django__django-15499	B	MURAL_only	MURAL	aligned
WIN-069	django__django-15467	B	neither	MURAL	not_exclusive
WIN-070	django__django-10914	A	MURAL_only	Both insufficient	neutral
WIN-071	django__django-16901	B	both	MURAL	not_exclusive
WIN-072	astropy__astropy-13579	A	MURAL_only	Comparable	neutral
WIN-073	django__django-14007	B	BM25_only	BM25-local	aligned
WIN-074	matplotlib__matplotlib-20488	A	neither	Both insufficient	not_exclusive
WIN-075	sphinx-doc__sphinx-9461	A	both	BM25-local	not_exclusive
WIN-076	matplotlib__matplotlib-24026	A	BM25_only	BM25-local	aligned
WIN-077	django__django-12143	B	BM25_only	BM25-local	aligned
WIN-078	pylint-dev__pylint-4604	A	neither	Comparable	not_exclusive
WIN-078	pylint-dev__pylint-4604	B	neither	Both insufficient	not_exclusive
WIN-079	django__django-12419	B	MURAL_only	MURAL	aligned
WIN-080	sympy__sympy-20438	A	MURAL_only	BM25-local	opposed
