baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
Raw_BM25_entities	BM25_projection	20	file	91	0.6153846153846154	0.6703296703296703	0.054945054945054944	-0.10714285714285714	0.1111111111111111	12	7	72	0.359283447265625
Raw_BM25_entities	BM25_projection	20	method	91	0.1992583423902105	0.31934347703578475	0.1200851346455742	-0.045987654320987656	0.15295371295371296	31	13	47	NA
Raw_BM25_entities	BM25_projection	20	mrr	91	0.13498812895863213	0.2414052262468552	0.10641709728822307	0.039955544074537205	0.2368814825954919	35	16	40	NA
Raw_BM25_entities	BM25_projection	20	hit	91	0.34065934065934067	0.4725274725274725	0.13186813186813187	-0.25	0.2261904761904762	23	11	57	0.05761267291381955
BM25_projection	Structural_projection	20	file	91	0.6703296703296703	0.6373626373626373	-0.03296703296703297	-0.125	0.043478260869565216	11	14	66	0.6900379657745361
BM25_projection	Structural_projection	20	method	91	0.31934347703578475	0.34731854937898893	0.027975072343204208	-0.03149744572158368	0.11937204533358378	18	13	60	NA
BM25_projection	Structural_projection	20	mrr	91	0.2414052262468552	0.24350711685068505	0.0021018906038298402	-0.095467980442405	0.07829510954510953	23	12	56	NA
BM25_projection	Structural_projection	20	hit	91	0.4725274725274725	0.5164835164835165	0.04395604395604396	-0.027777777777777776	0.2	15	11	65	0.557197093963623
BM25_projection	Lexical_structural_fusion	20	file	91	0.6703296703296703	0.7032967032967034	0.03296703296703297	-0.02702702702702703	0.13043478260869565	6	3	82	0.5078125
BM25_projection	Lexical_structural_fusion	20	method	91	0.31934347703578475	0.34605215195874534	0.026708674922960637	-0.04420679759662809	0.16069223985890652	13	7	71	NA
BM25_projection	Lexical_structural_fusion	20	mrr	91	0.2414052262468552	0.259345240224191	0.017940013977335786	-0.013592278249785998	0.04603174603174603	20	8	63	NA
BM25_projection	Lexical_structural_fusion	20	hit	91	0.4725274725274725	0.5494505494505495	0.07692307692307693	-0.037037037037037035	0.25301204819277107	11	4	76	0.11846923828125
Structural_projection	Lexical_structural_fusion	20	file	91	0.6373626373626373	0.7032967032967034	0.06593406593406594	0.0	0.1875	11	5	75	0.210113525390625
Structural_projection	Lexical_structural_fusion	20	method	91	0.34731854937898893	0.34605215195874534	-0.001266397420243573	-0.0508274544385655	0.13036006546644843	8	9	74	NA
Structural_projection	Lexical_structural_fusion	20	mrr	91	0.24350711685068505	0.259345240224191	0.015838123373505947	-0.045730905277377845	0.08370135107884655	12	9	70	NA
Structural_projection	Lexical_structural_fusion	20	hit	91	0.5164835164835165	0.5494505494505495	0.03296703296703297	-0.042735042735042736	0.20689655172413793	8	5	78	0.5810546875
