baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25_B5	MURAL_B5	5	file	500	0.884	0.884	0.0	-0.012	0.012	4	4	492	1.0
BM25_B5	MURAL_B5	5	method	500	0.5684414363414363	0.575998507048507	0.007557070707070679	-0.004524747474747475	0.020000000000000004	15	8	477	NA
BM25_B5	MURAL_B5	5	mrr	500	0.5328333333333334	0.5372666666666668	0.0044333333333334	0.00020000000000000028	0.0091	15	6	479	NA
BM25_B5	MURAL_B5	5	hit	500	0.664	0.67	0.006000000000000005	-0.008	0.02	8	5	487	0.5810546875
BM25_B10	MURAL_B10	10	file	500	0.91	0.922	0.01200000000000001	-0.002	0.026	9	3	488	0.14599609375
BM25_B10	MURAL_B10	10	method	500	0.6345995393495394	0.6498864441114443	0.015286904761904863	-0.0032333333333333337	0.034061904761904765	25	12	463	NA
BM25_B10	MURAL_B10	10	mrr	500	0.5400920634920634	0.5453841269841269	0.005292063492063459	0.0013785714285714287	0.009580158730158727	29	11	460	NA
BM25_B10	MURAL_B10	10	hit	500	0.724	0.738	0.014000000000000012	-0.006	0.034	16	9	475	0.2295229434967041
BM25_B20	MURAL_B20	20	file	500	0.942	0.952	0.010000000000000009	-0.002	0.022	7	2	491	0.1796875
BM25_B20	MURAL_B20	20	method	500	0.691663197913198	0.71632668997669	0.024663492063492054	0.004911904761904762	0.04468333333333334	30	12	458	NA
BM25_B20	MURAL_B20	20	mrr	500	0.544059565752445	0.5495297780564808	0.005470212304035882	0.002036579674195774	0.009320728248359828	43	16	441	NA
BM25_B20	MURAL_B20	20	hit	500	0.78	0.802	0.02200000000000002	0.0	0.044	21	10	469	0.07075554598122835
BM25_B40	MURAL_B40	40	file	500	0.956	0.972	0.016000000000000014	0.004	0.03	10	2	488	0.03857421875
BM25_B40	MURAL_B40	40	method	500	0.73386487956488	0.7836890859140861	0.049824206349206146	0.032045634920634926	0.06939563492063491	37	2	461	NA
BM25_B40	MURAL_B40	40	mrr	500	0.5452191556258528	0.5513492330731161	0.006130077447263349	0.0028605759765406693	0.009782282934566205	59	18	423	NA
BM25_B40	MURAL_B40	40	hit	500	0.814	0.856	0.04200000000000004	0.024	0.062	23	2	475	1.9431114196777344e-05
