baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25Proj	MURAL	20	edit_recall	500	0.5010113275613275	0.5961367243867242	0.09512539682539667	0.06831190476190475	0.12397539682539681	66	8	426	NA
BM25Proj	MURAL	20	complete_edit	500	0.446	0.534	0.08800000000000002	0.06	0.116	49	5	446	3.8913883226854296e-10
DenseProj	MURAL	20	edit_recall	500	0.5646061688311687	0.5961367243867242	0.031530555555555506	0.00290277777777778	0.05935833333333334	48	32	420	NA
DenseProj	MURAL	20	complete_edit	500	0.504	0.534	0.030000000000000027	0.0	0.06	37	22	441	0.06744461190078899
MURALwoDense	MURAL	20	edit_recall	500	0.5519722222222222	0.5961367243867242	0.04416450216450196	0.02105238095238095	0.06803506493506492	46	15	439	NA
MURALwoDense	MURAL	20	complete_edit	500	0.49	0.534	0.04400000000000004	0.02	0.068	31	9	460	0.0006795482549932785
GLM5	GLM5MURAL	20	edit_recall	500	0.529893573093573	0.71632668997669	0.18643311688311703	0.15602792207792204	0.21885411255411252	127	0	373	NA
GLM5	GLM5MURAL	20	complete_edit	500	0.462	0.646	0.184	0.15	0.218	92	0	408	4.0389678347315804e-28
GLM5BM25	GLM5MURAL	20	edit_recall	500	0.691663197913198	0.71632668997669	0.024663492063492054	0.005321428571428574	0.04468809523809524	30	12	458	NA
GLM5BM25	GLM5MURAL	20	complete_edit	500	0.62	0.646	0.026000000000000023	0.006	0.046	20	7	473	0.0191572904586792
GLM5woDense	GLM5MURAL	20	edit_recall	500	0.7112065601065601	0.71632668997669	0.005120129870129886	-0.008352597402597401	0.0190974025974026	16	10	474	NA
GLM5woDense	GLM5MURAL	20	complete_edit	500	0.644	0.646	0.0020000000000000018	-0.014	0.018	9	8	483	1.0
