baseline	treatment	instance_id	direction
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	astropy__astropy-13453	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	astropy__astropy-13579	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	astropy__astropy-14369	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	astropy__astropy-7166	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-10554	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-10999	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-11099	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-11603	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-11728	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-11820	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-12708	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-12858	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13012	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13023	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13033	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13121	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13279	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13315	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13344	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13401	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13449	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13512	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13794	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13821	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-13933	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-14170	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-14404	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-15103	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-15252	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-15503	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-15695	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-15732	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-15973	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-16032	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-16256	treatment_only
CoSIL-Qwen2.5-32B	CoSIL-Qwen2.5-32B+MURAL	django__django-16819	treatment_only
