baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25_entities	BM25_projection	20	file	500	0.77	0.736	-0.03400000000000003	-0.062	-0.008	15	32	453	0.01862383661500644
BM25_entities	BM25_projection	20	method	500	0.3920462481962482	0.5010113275613275	0.10896507936507926	0.06626053391053395	0.15178427128427135	122	55	323	NA
BM25_entities	BM25_projection	20	mrr	500	0.25258785381285387	0.28811683707589275	0.03552898326303888	0.00010256503042881216	0.07194841318811902	164	116	220	NA
BM25_entities	BM25_projection	20	hit	500	0.46	0.57	0.10999999999999993	0.064	0.158	101	46	353	6.6718656940094816e-06
Structural_entities	Structural_projection	20	file	500	0.556	0.592	0.03599999999999992	0.02	0.054	19	1	480	4.00543212890625e-05
Structural_entities	Structural_projection	20	method	500	0.3377373737373737	0.4527596681096681	0.11502229437229439	0.08670490620490624	0.14430952380952386	80	9	411	NA
Structural_entities	Structural_projection	20	mrr	500	0.2224038519873659	0.2631367764072873	0.04073292441992138	0.029577773593795265	0.05250164222602302	105	44	351	NA
Structural_entities	Structural_projection	20	hit	500	0.378	0.506	0.128	0.098	0.16	66	2	432	1.5903890617646743e-17
MURAL_without_dense	MURAL	20	file	500	0.77	0.83	0.05999999999999994	0.038	0.084	33	3	464	2.2721360437572002e-07
MURAL_without_dense	MURAL	20	method	500	0.5519722222222222	0.5961367243867242	0.04416450216450196	0.021427922077922077	0.06756471861471862	46	15	439	NA
MURAL_without_dense	MURAL	20	mrr	500	0.3199049013765731	0.3448987389201785	0.0249938375436054	0.012271436260677749	0.038658068694291586	107	44	349	NA
MURAL_without_dense	MURAL	20	hit	500	0.626	0.672	0.04600000000000004	0.02	0.072	34	11	455	0.0008240823595997426
Dense_projection	MURAL	20	file	500	0.83	0.83	0.0	-0.03	0.028	27	27	446	1.0
Dense_projection	MURAL	20	method	500	0.5646061688311687	0.5961367243867242	0.031530555555555506	0.0034107142857142856	0.06038055555555556	48	32	420	NA
Dense_projection	MURAL	20	mrr	500	0.32057909610169666	0.3448987389201785	0.024319642818481868	0.0019595906157825675	0.04674022811553772	148	66	286	NA
Dense_projection	MURAL	20	hit	500	0.636	0.672	0.03600000000000003	0.008	0.066	37	19	444	0.022241389472860112
BM25_projection	MURAL	20	file	500	0.736	0.83	0.09399999999999997	0.066	0.124	54	7	439	4.32210722073334e-10
BM25_projection	MURAL	20	method	500	0.5010113275613275	0.5961367243867242	0.09512539682539667	0.06752142857142857	0.12284523809523812	66	8	426	NA
BM25_projection	MURAL	20	mrr	500	0.28811683707589275	0.3448987389201785	0.056781901844285776	0.03759961210959665	0.07585518823281981	161	38	301	NA
BM25_projection	MURAL	20	hit	500	0.57	0.672	0.10200000000000009	0.072	0.132	58	7	435	4.270521620792361e-11
GLM5	GLM5_MURAL	20	file	500	0.874	0.952	0.07799999999999996	0.056	0.102	39	0	461	3.637978807091713e-12
GLM5	GLM5_MURAL	20	method	500	0.529893573093573	0.71632668997669	0.18643311688311703	0.15558484848484846	0.21830324675324675	127	0	373	NA
GLM5	GLM5_MURAL	20	mrr	500	0.5123071428571428	0.5495297780564808	0.037222635199337994	0.027434305314568454	0.048054053256684846	89	0	411	NA
GLM5	GLM5_MURAL	20	hit	500	0.624	0.802	0.17800000000000005	0.144	0.212	89	0	411	3.2311742677852644e-27
GLM5_BM25	GLM5_MURAL	20	file	500	0.942	0.952	0.010000000000000009	-0.002	0.022	7	2	491	0.1796875
GLM5_BM25	GLM5_MURAL	20	method	500	0.691663197913198	0.71632668997669	0.024663492063492054	0.004911904761904762	0.04468333333333334	30	12	458	NA
GLM5_BM25	GLM5_MURAL	20	mrr	500	0.544059565752445	0.5495297780564808	0.005470212304035882	0.002036579674195774	0.009320728248359828	43	16	441	NA
GLM5_BM25	GLM5_MURAL	20	hit	500	0.78	0.802	0.02200000000000002	0.0	0.044	21	10	469	0.07075554598122835
GLM5_MURAL_without_dense	GLM5_MURAL	20	file	500	0.946	0.952	0.006000000000000005	-0.002	0.014	4	1	495	0.375
GLM5_MURAL_without_dense	GLM5_MURAL	20	method	500	0.7112065601065601	0.71632668997669	0.005120129870129886	-0.008420346320346321	0.01885	16	10	474	NA
GLM5_MURAL_without_dense	GLM5_MURAL	20	mrr	500	0.5476293905784618	0.5495297780564808	0.0019003874780190166	-0.0005472656858105774	0.004766785905872594	28	12	460	NA
GLM5_MURAL_without_dense	GLM5_MURAL	20	hit	500	0.792	0.802	0.010000000000000009	-0.004	0.024	9	4	487	0.266845703125
