name	N	top_k	file_rate	method_or_entity_rate	mrr	hit_rate	dir
BM25_entities	500	20	0.77	0.3920462481962482	0.25258785381285387	0.46	runs/text_baselines_nohints/2000
BLUiR	500	20	0.556	0.3859401154401154	0.2889741785991786	0.434	runs/text_baselines_bluir/2300
CodeGraph	500	20	0.636	0.3516647047397047	0.22870842347367112	0.41	runs/codegraph_anchor/tse_timesafe_main_20260531_v2
Structural_entities	500	20	0.556	0.3377373737373737	0.2224038519873659	0.378	runs/kg_verified_evidence_graph/tse_timesafe_main_20260529_v6
BM25_projection	500	20	0.736	0.5010113275613275	0.28811683707589275	0.57	temp_run/mural_experiment_additions/selector_minimal_20260715c/title_exact_file_rank_ast
Structural_projection	500	20	0.592	0.4527596681096681	0.2631367764072873	0.506	temp_run/mural_experiment_additions/selector_compact_main_20260715/kg_local
Dense_projection	500	20	0.83	0.5646061688311687	0.32057909610169666	0.636	temp_run/mural_experiment_additions/selector_compact_main_20260715/dense_local/title_exact_file_rank_ast
MURAL_without_dense	500	20	0.77	0.5519722222222222	0.3199049013765731	0.626	temp_run/mural_experiment_additions/selector_compact_main_20260715/mural_2src
MURAL	500	20	0.83	0.5961367243867242	0.3448987389201785	0.672	temp_run/mural_experiment_additions/selector_compact_main_20260715/mural_3src
GLM5	500	20	0.874	0.529893573093573	0.5123071428571428	0.624	temp_run/eval_aliyun_glm5_issueonly
GLM5_CodeGraph	500	20	0.936	0.6088621017871019	0.530056717869334	0.696	temp_run/fusions_glm5_baseline_controls_20260614_head10/GLM5_CodeGraph_ht10
GLM5_Structural	500	20	0.932	0.6585265817515819	0.5370751254851099	0.742	temp_run/mural_experiment_additions/selector_compact_main_20260715/glm5_kg_b20_p10
GLM5_BM25	500	20	0.942	0.691663197913198	0.544059565752445	0.78	temp_run/mural_experiment_additions/selector_compact_main_20260715/glm5_bm25_b20_p10
GLM5_MURAL_without_dense	500	20	0.946	0.7112065601065601	0.5476293905784618	0.792	temp_run/mural_experiment_additions/selector_compact_main_20260715/glm5_mural2_b20_p10
GLM5_MURAL	500	20	0.952	0.71632668997669	0.5495297780564808	0.802	temp_run/mural_experiment_additions/selector_compact_main_20260715/glm5_mural3_b20_p10
