repository	N	variant	nonempty	applied	resolved	resolved_rate
astropy/astropy	22	bm25	17	17	2	0.09090909090909091
astropy/astropy	22	issue	14	14	2	0.09090909090909091
astropy/astropy	22	mural	10	10	2	0.09090909090909091
django/django	231	bm25	183	181	70	0.30303030303030304
django/django	231	issue	153	152	56	0.24242424242424243
django/django	231	mural	171	170	67	0.29004329004329005
matplotlib/matplotlib	34	bm25	16	16	2	0.058823529411764705
matplotlib/matplotlib	34	issue	17	17	5	0.14705882352941177
matplotlib/matplotlib	34	mural	17	17	2	0.058823529411764705
mwaskom/seaborn	2	bm25	0	0	0	0.0
mwaskom/seaborn	2	issue	0	0	0	0.0
mwaskom/seaborn	2	mural	1	1	0	0.0
pallets/flask	1	bm25	0	0	0	0.0
pallets/flask	1	issue	0	0	0	0.0
pallets/flask	1	mural	0	0	0	0.0
psf/requests	8	bm25	4	4	1	0.125
psf/requests	8	issue	6	6	1	0.125
psf/requests	8	mural	3	3	1	0.125
pydata/xarray	22	bm25	14	13	3	0.13636363636363635
pydata/xarray	22	issue	13	13	5	0.22727272727272727
pydata/xarray	22	mural	16	16	2	0.09090909090909091
pylint-dev/pylint	10	bm25	8	8	3	0.3
pylint-dev/pylint	10	issue	5	5	2	0.2
pylint-dev/pylint	10	mural	5	5	1	0.1
pytest-dev/pytest	19	bm25	11	11	5	0.2631578947368421
pytest-dev/pytest	19	issue	11	11	3	0.15789473684210525
pytest-dev/pytest	19	mural	12	12	4	0.21052631578947367
scikit-learn/scikit-learn	32	bm25	23	23	9	0.28125
scikit-learn/scikit-learn	32	issue	20	19	10	0.3125
scikit-learn/scikit-learn	32	mural	25	25	9	0.28125
sphinx-doc/sphinx	44	bm25	30	30	1	0.022727272727272728
sphinx-doc/sphinx	44	issue	32	31	5	0.11363636363636363
sphinx-doc/sphinx	44	mural	33	32	5	0.11363636363636363
sympy/sympy	75	bm25	60	58	15	0.2
sympy/sympy	75	issue	55	54	11	0.14666666666666667
sympy/sympy	75	mural	67	65	20	0.26666666666666666
ALL	500	bm25	366	361	111	0.222
ALL	500	issue	326	322	100	0.2
ALL	500	mural	360	356	113	0.226
