baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
k60	k10	20	astropy__astropy-13033	treatment_only	NA	5
k60	k10	20	astropy__astropy-14539	baseline_only	16	NA
k60	k10	20	django__django-10914	treatment_only	NA	15
k60	k10	20	django__django-13033	baseline_only	16	NA
k60	k10	20	django__django-13297	baseline_only	18	NA
k60	k10	20	django__django-14017	treatment_only	NA	14
k60	k10	20	django__django-14089	treatment_only	NA	12
k60	k10	20	django__django-14608	baseline_only	18	NA
k60	k10	20	django__django-15098	baseline_only	19	NA
k60	k10	20	django__django-15278	treatment_only	NA	14
k60	k10	20	django__django-15467	treatment_only	NA	17
k60	k10	20	django__django-16082	treatment_only	NA	6
k60	k10	20	django__django-16139	treatment_only	NA	20
k60	k10	20	django__django-16631	treatment_only	NA	14
k60	k10	20	matplotlib__matplotlib-20676	baseline_only	20	NA
k60	k10	20	psf__requests-1766	treatment_only	NA	11
k60	k10	20	pydata__xarray-6992	treatment_only	NA	18
k60	k10	20	pytest-dev__pytest-5840	treatment_only	NA	19
k60	k10	20	scikit-learn__scikit-learn-13496	baseline_only	13	NA
k60	k10	20	sphinx-doc__sphinx-9591	baseline_only	16	NA
k60	k10	20	sphinx-doc__sphinx-9673	treatment_only	NA	17
k60	k10	20	sympy__sympy-13480	baseline_only	4	NA
k60	k10	20	sympy__sympy-19954	treatment_only	NA	15
k60	k30	20	astropy__astropy-13033	treatment_only	NA	12
k60	k30	20	django__django-14089	treatment_only	NA	20
k60	k30	20	django__django-15278	treatment_only	NA	20
k60	k30	20	django__django-16082	treatment_only	NA	16
k60	k30	20	matplotlib__matplotlib-20676	baseline_only	20	NA
k60	k100	20	sphinx-doc__sphinx-9461	baseline_only	16	NA
k60	dense05	20	django__django-10973	baseline_only	13	NA
k60	dense05	20	django__django-13279	baseline_only	12	NA
k60	dense05	20	django__django-14155	baseline_only	19	NA
k60	dense05	20	django__django-14765	baseline_only	9	NA
k60	dense05	20	django__django-15161	baseline_only	3	NA
k60	dense05	20	django__django-16082	treatment_only	NA	15
k60	dense05	20	django__django-16901	treatment_only	NA	16
k60	dense05	20	sphinx-doc__sphinx-11445	baseline_only	14	NA
k60	dense05	20	sphinx-doc__sphinx-7985	baseline_only	8	NA
k60	dense05	20	sphinx-doc__sphinx-8638	baseline_only	15	NA
k60	dense05	20	sphinx-doc__sphinx-9367	baseline_only	8	NA
k60	dense05	20	sphinx-doc__sphinx-9461	baseline_only	16	NA
k60	dense05	20	sphinx-doc__sphinx-9698	baseline_only	7	NA
k60	dense05	20	sympy__sympy-13852	baseline_only	14	NA
k60	dense05	20	sympy__sympy-16597	treatment_only	NA	19
k60	dense075	20	django__django-10973	baseline_only	13	NA
k60	dense075	20	django__django-13279	baseline_only	12	NA
k60	dense075	20	django__django-14155	baseline_only	19	NA
k60	dense075	20	django__django-14765	baseline_only	9	NA
k60	dense075	20	django__django-15161	baseline_only	3	NA
k60	dense075	20	django__django-16082	treatment_only	NA	19
k60	dense075	20	django__django-16901	treatment_only	NA	16
k60	dense075	20	sphinx-doc__sphinx-11445	baseline_only	14	NA
k60	dense075	20	sphinx-doc__sphinx-7985	baseline_only	8	NA
k60	dense075	20	sphinx-doc__sphinx-8638	baseline_only	15	NA
k60	dense075	20	sphinx-doc__sphinx-9367	baseline_only	8	NA
k60	dense075	20	sphinx-doc__sphinx-9698	baseline_only	7	NA
k60	dense075	20	sympy__sympy-13852	baseline_only	14	NA
k60	dense075	20	sympy__sympy-16597	treatment_only	NA	19
k60	dense125	20	django__django-11815	treatment_only	NA	15
k60	dense125	20	django__django-13590	baseline_only	13	NA
k60	dense125	20	matplotlib__matplotlib-20676	baseline_only	20	NA
k60	dense125	20	pytest-dev__pytest-10081	treatment_only	NA	10
k60	dense125	20	sympy__sympy-13798	treatment_only	NA	12
k60	dense125	20	sympy__sympy-16450	baseline_only	12	NA
k60	dense15	20	astropy__astropy-13033	treatment_only	NA	20
k60	dense15	20	django__django-11815	treatment_only	NA	15
k60	dense15	20	django__django-13590	baseline_only	13	NA
k60	dense15	20	matplotlib__matplotlib-20676	baseline_only	20	NA
k60	dense15	20	pytest-dev__pytest-10081	treatment_only	NA	10
k60	dense15	20	sphinx-doc__sphinx-9230	treatment_only	NA	20
k60	dense15	20	sympy__sympy-13798	treatment_only	NA	12
k60	dense15	20	sympy__sympy-16450	baseline_only	12	NA
