baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
k60	k10	20	file	500	0.83	0.868	0.038000000000000034	0.018	0.06	24	5	471	0.0005461126565933228
k60	k10	20	method	500	0.5961367243867242	0.6033629148629147	0.007226190476190553	-0.011466666666666667	0.025607142857142856	24	17	459	NA
k60	k10	20	mrr	500	0.3448987389201785	0.3594798065883205	0.01458106766814199	0.006885073019515745	0.02324376041055607	66	45	389	NA
k60	k10	20	hit	500	0.672	0.682	0.010000000000000009	-0.008	0.028	14	9	477	0.4048728942871094
k60	k30	20	file	500	0.83	0.85	0.020000000000000018	0.008	0.034	10	0	490	0.001953125
k60	k30	20	method	500	0.5961367243867242	0.6026486291486288	0.006511904761904663	-0.002119047619047619	0.01633333333333333	7	4	489	NA
k60	k30	20	mrr	500	0.3448987389201785	0.35098777961804273	0.006089040697864201	0.0027755486343721643	0.009985583860583862	38	8	454	NA
k60	k30	20	hit	500	0.672	0.678	0.006000000000000005	-0.002	0.016	4	1	495	0.375
k60	k100	20	file	500	0.83	0.828	-0.0020000000000000018	-0.006	0.0	0	1	499	1.0
k60	k100	20	method	500	0.5961367243867242	0.5955652958152956	-0.0005714285714285561	-0.0017142857142857142	0.0	0	1	499	NA
k60	k100	20	mrr	500	0.3448987389201785	0.3437170973161685	-0.0011816416040100197	-0.003397619047619048	2.7380952380952366e-05	3	6	491	NA
k60	k100	20	hit	500	0.672	0.67	-0.0020000000000000018	-0.006	0.0	0	1	499	1.0
k60	dense05	20	file	500	0.83	0.792	-0.03799999999999992	-0.056	-0.022	0	19	481	3.814697265625e-06
k60	dense05	20	method	500	0.5961367243867242	0.5825295815295815	-0.013607142857142707	-0.026380952380952383	-0.001714285714285714	4	14	482	NA
k60	dense05	20	mrr	500	0.3448987389201785	0.33535317492105415	-0.009545563999124373	-0.016963679947503484	-0.003156150634711006	21	44	435	NA
k60	dense05	20	hit	500	0.672	0.654	-0.018000000000000016	-0.034	-0.004	3	12	485	0.03515625
k60	dense075	20	file	500	0.83	0.796	-0.03399999999999992	-0.05	-0.02	0	17	483	1.52587890625e-05
k60	dense075	20	method	500	0.5961367243867242	0.5824700577200577	-0.013666666666666494	-0.026285714285714287	-0.002	3	12	485	NA
k60	dense075	20	mrr	500	0.3448987389201785	0.3379489477756506	-0.006949791144527928	-0.012550570190043875	-0.0023034347231715665	19	29	452	NA
k60	dense075	20	hit	500	0.672	0.656	-0.016000000000000014	-0.032	-0.002	3	11	486	0.057373046875
k60	dense125	20	file	500	0.83	0.828	-0.0020000000000000018	-0.01	0.004	1	2	497	1.0
k60	dense125	20	method	500	0.5961367243867242	0.5968033910533908	0.0006666666666665932	-0.009999999999999998	0.010666666666666668	5	4	491	NA
k60	dense125	20	mrr	500	0.3448987389201785	0.3454810943958003	0.0005823554756217986	-0.004557853086026462	0.005643482420572204	33	17	450	NA
k60	dense125	20	hit	500	0.672	0.672	0.0	-0.01	0.01	3	3	494	1.0
k60	dense15	20	file	500	0.83	0.83	0.0	-0.012	0.012	5	5	490	1.0
k60	dense15	20	method	500	0.5961367243867242	0.6021033910533907	0.005966666666666565	-0.005900000000000001	0.01796666666666667	9	4	487	NA
k60	dense15	20	mrr	500	0.3448987389201785	0.34625653758006697	0.0013577986598884428	-0.0041216608039363455	0.006527023148849778	44	27	429	NA
k60	dense15	20	hit	500	0.672	0.676	0.0040000000000000036	-0.006	0.016	5	3	492	0.7265625
