category	item	count	source_ledger
population	instances	500	artifacts/results/strict_reference_targets_20260719.json
targets	total	1044	artifacts/results/strict_reference_targets_20260719.json
target_type	function	836	artifacts/results/strict_reference_targets_20260719.json
target_type	assignment	32	artifacts/results/strict_reference_targets_20260719.json
target_type	file_fallback	176	artifacts/results/strict_reference_targets_20260719.json
target_stratum	entity_only	349	artifacts/results/strict_reference_targets_20260719.json
target_stratum	mixed	121	artifacts/results/strict_reference_targets_20260719.json
target_stratum	file_only	30	artifacts/results/strict_reference_targets_20260719.json
target_multiplicity	single	319	artifacts/results/strict_reference_targets_20260719.json
target_multiplicity	multi	181	artifacts/results/strict_reference_targets_20260719.json
file_fallback	instances_with_file_fallback	151	artifacts/results/strict_reference_targets_20260719.json
