endpoint	repository	instances	delta	sum_paired_difference
Hit@20	astropy__astropy	22	0.090909	2.000000
Hit@20	django__django	231	0.103896	24.000000
Hit@20	matplotlib__matplotlib	34	0.088235	3.000000
Hit@20	mwaskom__seaborn	2	0.500000	1.000000
Hit@20	pallets__flask	1	0.000000	0.000000
Hit@20	psf__requests	8	0.000000	0.000000
Hit@20	pydata__xarray	22	0.045455	1.000000
Hit@20	pylint-dev__pylint	10	0.000000	0.000000
Hit@20	pytest-dev__pytest	19	0.000000	0.000000
Hit@20	scikit-learn__scikit-learn	32	0.062500	2.000000
Hit@20	sphinx-doc__sphinx	44	0.113636	5.000000
Hit@20	sympy__sympy	75	0.120000	9.000000
TargetCov@20	astropy__astropy	22	0.090909	2.000000
TargetCov@20	django__django	231	0.104473	24.133333
TargetCov@20	matplotlib__matplotlib	34	0.024265	0.825000
TargetCov@20	mwaskom__seaborn	2	0.250000	0.500000
TargetCov@20	pallets__flask	1	0.000000	0.000000
TargetCov@20	psf__requests	8	0.000000	0.000000
TargetCov@20	pydata__xarray	22	0.040404	0.888889
TargetCov@20	pylint-dev__pylint	10	0.016667	0.166667
TargetCov@20	pytest-dev__pytest	19	0.000000	0.000000
TargetCov@20	scikit-learn__scikit-learn	32	0.041667	1.333333
TargetCov@20	sphinx-doc__sphinx	44	0.094697	4.166667
TargetCov@20	sympy__sympy	75	0.100635	7.547619
CompleteTarget@20	astropy__astropy	22	0.090909	2.000000
CompleteTarget@20	django__django	231	0.103896	24.000000
CompleteTarget@20	matplotlib__matplotlib	34	0.000000	0.000000
CompleteTarget@20	mwaskom__seaborn	2	0.000000	0.000000
CompleteTarget@20	pallets__flask	1	0.000000	0.000000
CompleteTarget@20	psf__requests	8	0.000000	0.000000
CompleteTarget@20	pydata__xarray	22	0.045455	1.000000
CompleteTarget@20	pylint-dev__pylint	10	0.000000	0.000000
CompleteTarget@20	pytest-dev__pytest	19	0.000000	0.000000
CompleteTarget@20	scikit-learn__scikit-learn	32	0.031250	1.000000
CompleteTarget@20	sphinx-doc__sphinx	44	0.068182	3.000000
CompleteTarget@20	sympy__sympy	75	0.080000	6.000000
LineRecall@4000	astropy__astropy	22	0.100840	24.000000
LineRecall@4000	django__django	231	0.071429	105.000000
LineRecall@4000	matplotlib__matplotlib	34	0.067416	12.000000
LineRecall@4000	mwaskom__seaborn	2	0.142857	1.000000
LineRecall@4000	pallets__flask	1	0.000000	0.000000
LineRecall@4000	psf__requests	8	-0.100000	-2.000000
LineRecall@4000	pydata__xarray	22	0.024155	5.000000
LineRecall@4000	pylint-dev__pylint	10	0.025000	2.000000
LineRecall@4000	pytest-dev__pytest	19	0.018433	4.000000
LineRecall@4000	scikit-learn__scikit-learn	32	0.075556	17.000000
LineRecall@4000	sphinx-doc__sphinx	44	0.059375	19.000000
LineRecall@4000	sympy__sympy	75	0.031593	23.000000
CompleteLine@4000	astropy__astropy	22	0.000000	0.000000
CompleteLine@4000	django__django	231	0.051948	12.000000
CompleteLine@4000	matplotlib__matplotlib	34	0.029412	1.000000
CompleteLine@4000	mwaskom__seaborn	2	0.000000	0.000000
CompleteLine@4000	pallets__flask	1	0.000000	0.000000
CompleteLine@4000	psf__requests	8	-0.125000	-1.000000
CompleteLine@4000	pydata__xarray	22	0.090909	2.000000
CompleteLine@4000	pylint-dev__pylint	10	0.100000	1.000000
CompleteLine@4000	pytest-dev__pytest	19	0.000000	0.000000
CompleteLine@4000	scikit-learn__scikit-learn	32	0.093750	3.000000
CompleteLine@4000	sphinx-doc__sphinx	44	0.022727	1.000000
CompleteLine@4000	sympy__sympy	75	0.000000	0.000000
