instance_id	variant	compact_nonempty	fallback_attempted	fallback_nonempty	selected_source	patch_sha256	patch_chars
astropy__astropy-12907	issue	0	1	0	empty		0
astropy__astropy-13033	issue	0	1	0	empty		0
astropy__astropy-13236	issue	0	1	0	empty		0
astropy__astropy-13398	issue	0	1	0	empty		0
astropy__astropy-13453	issue	0	1	1	expanded_fallback	699987ddf3a78fd1de42d2a1dd4f864ac6de5989607834e01c52606b03129e57	549
astropy__astropy-13579	issue	1	0	0	compact	dd40ccc0666c03348fa4d66db22b34712fbe76c07daa0f67b897ae01279b59f0	1041
astropy__astropy-13977	issue	0	1	0	empty		0
astropy__astropy-14096	issue	0	1	0	empty		0
astropy__astropy-14182	issue	1	0	0	compact	f9bfd947827593829ebbf284af22c87f1b6fab3434511189ef1f0124dc6a14ab	456
astropy__astropy-14309	issue	0	1	1	expanded_fallback	117b453439e8c6a299b0651438c6230e01212cba5ffc7c27c48d7b0e8aeeb9e1	310
astropy__astropy-14365	issue	0	1	0	empty		0
astropy__astropy-14369	issue	0	1	0	empty		0
astropy__astropy-14508	issue	1	0	0	compact	4e72e88aa3a99e8615517990544988db3b43fddee4423c35a58ac56c915631a8	501
astropy__astropy-14539	issue	0	1	0	empty		0
astropy__astropy-14598	issue	1	0	0	compact	dd68e6909b78d04ced114bd275aa2c0cdbd15fd1f75b087020bf7a19fa9f655c	663
astropy__astropy-14995	issue	1	0	0	compact	a9a1aedc0943cd942d2350fea9b99c7865656672463b9b4f3b3a4958382c4dfc	2381
astropy__astropy-7166	issue	1	0	0	compact	94d2ea9bdb8f5d2980173099d4cbcc81c32d7f2adac7a2e3cbe446d376749cc9	625
astropy__astropy-7336	issue	0	1	0	empty		0
astropy__astropy-7606	issue	1	0	0	compact	dc1020b69929fe40102180674d5b06a679807548a8e906e2b41050b26d0b33d5	362
astropy__astropy-7671	issue	0	1	0	empty		0
astropy__astropy-8707	issue	0	1	0	empty		0
astropy__astropy-8872	issue	0	1	0	empty		0
django__django-10097	issue	0	1	0	empty		0
django__django-10554	issue	0	1	0	empty		0
django__django-10880	issue	0	1	1	expanded_fallback	02ee666ba67a728189831627fc770f4b6a82e75fb1ab0997ce53038e7dd5470c	639
django__django-10914	issue	1	0	0	compact	1f194930c41ab9e597cff1094a5b908a48e4c0151de99ee711852587b99a2e39	461
django__django-10973	issue	0	1	0	empty		0
django__django-10999	issue	0	1	0	empty		0
django__django-11066	issue	1	0	0	compact	b8902182cc96a81fde52c15a2c4c27235d937347bee1eec31dc4c975986950b3	567
django__django-11087	issue	0	1	0	empty		0
django__django-11095	issue	1	0	0	compact	bdb897fe4a8fb1f77d84b5b7343e0d49a4b093e1776b8e712c9d19251ea59944	361
django__django-11099	issue	0	1	0	empty		0
django__django-11119	issue	0	1	0	empty		0
django__django-11133	issue	0	1	0	empty		0
django__django-11138	issue	0	1	1	expanded_fallback	304fba17b26b3712aeb16f7da8bac3fbbeb6686b0e0761983405dc273226147a	480
django__django-11141	issue	1	0	0	compact	d33f3a4047253257f09e79dc076dce6f50de1b83a44bbceb94078f6e03d83beb	1007
django__django-11149	issue	0	1	0	empty		0
django__django-11163	issue	1	0	0	compact	771f69a5d163b6815070df2bf389110317a5f38242d77537904fe8ecc93dc1a8	417
django__django-11179	issue	1	0	0	compact	a0f460702fe5ccdef24f5e6b4fbb46e6a7eda639118a7bf2c55a33f6c174a680	342
django__django-11206	issue	1	0	0	compact	e24d1635c29fb3ed096df4dabe7159e178454323cd8672f7c3f2af685b65aa0d	653
