repository	N	method	file_rate	entity_coverage	mrr	hit_rate
astropy/astropy	22	BM25-local	0.7727272727272727	0.5015151515151515	0.2974025974025974	0.5909090909090909
astropy/astropy	22	MURAL-2	0.8181818181818182	0.5924242424242424	0.3125	0.6818181818181818
astropy/astropy	22	MURAL-3	0.8181818181818182	0.5924242424242424	0.3025883838383838	0.6818181818181818
django/django	231	BM25-local	0.7575757575757576	0.5186409550045914	0.2965759596016724	0.5844155844155844
django/django	231	MURAL-2	0.7878787878787878	0.5868566618566619	0.32995818760765905	0.658008658008658
django/django	231	MURAL-3	0.8311688311688312	0.6180517294153659	0.360803429754216	0.683982683982684
matplotlib/matplotlib	34	BM25-local	0.7647058823529411	0.42401960784313725	0.1771358543417367	0.4411764705882353
matplotlib/matplotlib	34	MURAL-2	0.7352941176470589	0.40931372549019607	0.19280153237765696	0.47058823529411764
matplotlib/matplotlib	34	MURAL-3	0.8235294117647058	0.4387254901960784	0.19868388531883344	0.47058823529411764
mwaskom/seaborn	2	BM25-local	1.0	0.25	0.0625	0.5
mwaskom/seaborn	2	MURAL-2	1.0	0.5	0.25	1.0
mwaskom/seaborn	2	MURAL-3	1.0	0.5	0.25	1.0
pallets/flask	1	BM25-local	1.0	1.0	1.0	1.0
pallets/flask	1	MURAL-2	1.0	1.0	1.0	1.0
pallets/flask	1	MURAL-3	1.0	1.0	1.0	1.0
psf/requests	8	BM25-local	0.875	0.625	0.30257936507936506	0.625
psf/requests	8	MURAL-2	0.875	0.5625	0.1820050837320574	0.625
psf/requests	8	MURAL-3	0.875	0.625	0.1913690476190476	0.625
pydata/xarray	22	BM25-local	0.8181818181818182	0.48737373737373735	0.24740259740259737	0.5909090909090909
pydata/xarray	22	MURAL-2	0.8636363636363636	0.48737373737373735	0.2963924963924964	0.5909090909090909
pydata/xarray	22	MURAL-3	0.9090909090909091	0.5328282828282828	0.2933621933621934	0.6363636363636364
pylint-dev/pylint	10	BM25-local	0.8	0.37333333333333335	0.2333333333333333	0.5
pylint-dev/pylint	10	MURAL-2	0.7	0.33999999999999997	0.2325	0.4
pylint-dev/pylint	10	MURAL-3	0.8	0.39333333333333337	0.27111111111111114	0.5
pytest-dev/pytest	19	BM25-local	0.8421052631578947	0.4654135338345864	0.2324162679425837	0.5789473684210527
pytest-dev/pytest	19	MURAL-2	0.7894736842105263	0.42857142857142855	0.24444444444444446	0.5263157894736842
pytest-dev/pytest	19	MURAL-3	0.8947368421052632	0.48045112781954885	0.2882205513784461	0.5789473684210527
scikit-learn/scikit-learn	32	BM25-local	0.84375	0.7630208333333333	0.46248759920634924	0.8125
scikit-learn/scikit-learn	32	MURAL-2	0.9375	0.8919270833333333	0.566765873015873	0.9375
scikit-learn/scikit-learn	32	MURAL-3	0.96875	0.9192708333333333	0.5657761942918194	0.96875
sphinx-doc/sphinx	44	BM25-local	0.5454545454545454	0.35725108225108226	0.1975206611570248	0.45454545454545453
sphinx-doc/sphinx	44	MURAL-2	0.6136363636363636	0.3621212121212121	0.20146185884822246	0.45454545454545453
sphinx-doc/sphinx	44	MURAL-3	0.75	0.5390692640692639	0.2924287518037518	0.6590909090909091
sympy/sympy	75	BM25-local	0.6266666666666667	0.4708730158730159	0.3167419856831622	0.5333333333333333
sympy/sympy	75	MURAL-2	0.6933333333333334	0.5364285714285715	0.35806543319082024	0.6
sympy/sympy	75	MURAL-3	0.7733333333333333	0.5657142857142857	0.3606354016354017	0.6533333333333333
ALL	500	BM25-local	0.736	0.5010113275613275	0.28811683707589275	0.57
ALL	500	MURAL-2	0.77	0.5519722222222222	0.3199049013765731	0.626
ALL	500	MURAL-3	0.83	0.5961367243867242	0.3448987389201785	0.672
