baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
BM25_B5	MURAL_B5	5	astropy__astropy-7166	treatment_only	NA	4
BM25_B5	MURAL_B5	5	django__django-11099	treatment_only	NA	5
BM25_B5	MURAL_B5	5	django__django-11149	treatment_only	NA	4
BM25_B5	MURAL_B5	5	django__django-12774	treatment_only	NA	5
BM25_B5	MURAL_B5	5	django__django-13212	baseline_only	5	NA
BM25_B5	MURAL_B5	5	django__django-13315	baseline_only	5	NA
BM25_B5	MURAL_B5	5	django__django-13794	treatment_only	NA	5
BM25_B5	MURAL_B5	5	django__django-14672	treatment_only	NA	3
BM25_B5	MURAL_B5	5	django__django-15554	baseline_only	4	NA
BM25_B5	MURAL_B5	5	django__django-15731	baseline_only	2	NA
BM25_B5	MURAL_B5	5	django__django-15987	baseline_only	5	NA
BM25_B5	MURAL_B5	5	django__django-9296	treatment_only	NA	4
BM25_B5	MURAL_B5	5	matplotlib__matplotlib-22719	baseline_only	5	NA
BM25_B5	MURAL_B5	5	matplotlib__matplotlib-24026	baseline_only	4	NA
BM25_B5	MURAL_B5	5	matplotlib__matplotlib-24570	treatment_only	NA	3
BM25_B5	MURAL_B5	5	pytest-dev__pytest-5631	treatment_only	NA	3
BM25_B5	MURAL_B5	5	sphinx-doc__sphinx-7462	baseline_only	5	NA
BM25_B5	MURAL_B5	5	sympy__sympy-23413	treatment_only	NA	3
BM25_B10	MURAL_B10	10	astropy__astropy-14369	baseline_only	8	NA
BM25_B10	MURAL_B10	10	django__django-11099	treatment_only	NA	5
BM25_B10	MURAL_B10	10	django__django-11734	baseline_only	10	NA
BM25_B10	MURAL_B10	10	django__django-11880	treatment_only	NA	9
BM25_B10	MURAL_B10	10	django__django-12419	treatment_only	NA	9
BM25_B10	MURAL_B10	10	django__django-12774	treatment_only	NA	5
BM25_B10	MURAL_B10	10	django__django-13315	baseline_only	7	NA
BM25_B10	MURAL_B10	10	django__django-15503	treatment_only	NA	10
BM25_B10	MURAL_B10	10	django__django-9296	treatment_only	NA	4
BM25_B10	MURAL_B10	10	matplotlib__matplotlib-22719	baseline_only	5	NA
BM25_B10	MURAL_B10	10	matplotlib__matplotlib-24026	baseline_only	4	NA
BM25_B10	MURAL_B10	10	mwaskom__seaborn-3187	treatment_only	NA	8
BM25_B10	MURAL_B10	10	pydata__xarray-4356	baseline_only	8	NA
BM25_B10	MURAL_B10	10	pydata__xarray-4966	treatment_only	NA	7
BM25_B10	MURAL_B10	10	pytest-dev__pytest-5631	treatment_only	NA	3
BM25_B10	MURAL_B10	10	sphinx-doc__sphinx-7462	baseline_only	5	NA
BM25_B10	MURAL_B10	10	sphinx-doc__sphinx-8269	baseline_only	9	NA
BM25_B10	MURAL_B10	10	sympy__sympy-13615	treatment_only	NA	7
BM25_B10	MURAL_B10	10	sympy__sympy-16792	baseline_only	10	NA
BM25_B10	MURAL_B10	10	sympy__sympy-18698	treatment_only	NA	9
BM25_B10	MURAL_B10	10	sympy__sympy-20438	treatment_only	NA	8
BM25_B10	MURAL_B10	10	sympy__sympy-23413	treatment_only	NA	3
BM25_B20	MURAL_B20	20	astropy__astropy-13579	treatment_only	NA	18
BM25_B20	MURAL_B20	20	astropy__astropy-14539	treatment_only	NA	18
BM25_B20	MURAL_B20	20	django__django-10914	treatment_only	NA	16
BM25_B20	MURAL_B20	20	django__django-11477	baseline_only	18	NA
BM25_B20	MURAL_B20	20	django__django-11734	baseline_only	15	NA
BM25_B20	MURAL_B20	20	django__django-11880	treatment_only	NA	9
BM25_B20	MURAL_B20	20	django__django-12143	baseline_only	11	NA
BM25_B20	MURAL_B20	20	django__django-12419	treatment_only	NA	11
BM25_B20	MURAL_B20	20	django__django-15503	treatment_only	NA	15
BM25_B20	MURAL_B20	20	django__django-15973	baseline_only	19	NA
BM25_B20	MURAL_B20	20	django__django-16263	baseline_only	20	NA
BM25_B20	MURAL_B20	20	django__django-9296	treatment_only	NA	4
BM25_B20	MURAL_B20	20	matplotlib__matplotlib-24026	baseline_only	4	NA
BM25_B20	MURAL_B20	20	matplotlib__matplotlib-24870	baseline_only	15	NA
BM25_B20	MURAL_B20	20	mwaskom__seaborn-3187	treatment_only	NA	13
BM25_B20	MURAL_B20	20	psf__requests-2931	baseline_only	13	NA
BM25_B20	MURAL_B20	20	pydata__xarray-4356	baseline_only	9	NA
BM25_B20	MURAL_B20	20	pydata__xarray-4966	treatment_only	NA	7
BM25_B20	MURAL_B20	20	pydata__xarray-7229	treatment_only	NA	19
BM25_B20	MURAL_B20	20	pylint-dev__pylint-6528	baseline_only	15	NA
BM25_B20	MURAL_B20	20	scikit-learn__scikit-learn-12973	treatment_only	NA	16
BM25_B20	MURAL_B20	20	scikit-learn__scikit-learn-13142	treatment_only	NA	17
BM25_B20	MURAL_B20	20	scikit-learn__scikit-learn-14983	treatment_only	NA	13
BM25_B20	MURAL_B20	20	scikit-learn__scikit-learn-9288	treatment_only	NA	19
BM25_B20	MURAL_B20	20	sphinx-doc__sphinx-9229	treatment_only	NA	16
BM25_B20	MURAL_B20	20	sympy__sympy-16597	baseline_only	17	NA
BM25_B20	MURAL_B20	20	sympy__sympy-16792	baseline_only	14	NA
BM25_B20	MURAL_B20	20	sympy__sympy-20438	treatment_only	NA	11
BM25_B20	MURAL_B20	20	sympy__sympy-23413	treatment_only	NA	3
BM25_B20	MURAL_B20	20	sympy__sympy-24661	treatment_only	NA	20
BM25_B40	MURAL_B40	40	astropy__astropy-13236	treatment_only	NA	40
BM25_B40	MURAL_B40	40	astropy__astropy-13579	treatment_only	NA	20
BM25_B40	MURAL_B40	40	django__django-10914	treatment_only	NA	16
BM25_B40	MURAL_B40	40	django__django-12419	treatment_only	NA	11
BM25_B40	MURAL_B40	40	django__django-13344	treatment_only	NA	23
BM25_B40	MURAL_B40	40	django__django-14170	treatment_only	NA	27
BM25_B40	MURAL_B40	40	django__django-15277	treatment_only	NA	36
BM25_B40	MURAL_B40	40	django__django-15503	treatment_only	NA	18
BM25_B40	MURAL_B40	40	django__django-16263	baseline_only	20	NA
BM25_B40	MURAL_B40	40	pydata__xarray-4695	treatment_only	NA	26
BM25_B40	MURAL_B40	40	pydata__xarray-4966	treatment_only	NA	7
BM25_B40	MURAL_B40	40	pytest-dev__pytest-7324	treatment_only	NA	31
BM25_B40	MURAL_B40	40	scikit-learn__scikit-learn-12973	treatment_only	NA	16
BM25_B40	MURAL_B40	40	scikit-learn__scikit-learn-13142	treatment_only	NA	17
BM25_B40	MURAL_B40	40	scikit-learn__scikit-learn-14983	treatment_only	NA	13
BM25_B40	MURAL_B40	40	sphinx-doc__sphinx-7889	treatment_only	NA	27
BM25_B40	MURAL_B40	40	sphinx-doc__sphinx-9591	baseline_only	33	NA
BM25_B40	MURAL_B40	40	sympy__sympy-16792	baseline_only	16	NA
BM25_B40	MURAL_B40	40	sympy__sympy-21596	baseline_only	35	NA
BM25_B40	MURAL_B40	40	sympy__sympy-24443	treatment_only	NA	29
BM25_B40	MURAL_B40	40	sympy__sympy-24661	treatment_only	NA	23
