baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25_B5	MURAL_B5	5	file	500	0.884	0.892	0.008000000000000007	-0.004	0.02	7	3	490	0.34375
BM25_B5	MURAL_B5	5	method	500	0.5684414363414363	0.5757111333111331	0.007269696969696815	-0.006900000000000001	0.021887878787878786	12	11	477	NA
BM25_B5	MURAL_B5	5	mrr	500	0.5328333333333334	0.5357666666666667	0.0029333333333333433	-0.001966666666666667	0.008066666666666666	15	10	475	NA
BM25_B5	MURAL_B5	5	hit	500	0.664	0.668	0.0040000000000000036	-0.012	0.02	10	8	482	0.8145294189453125
BM25_B10	MURAL_B10	10	file	500	0.91	0.916	0.006000000000000005	-0.004	0.016	5	2	493	0.453125
BM25_B10	MURAL_B10	10	method	500	0.6345995393495394	0.6430326562326562	0.008433116883116765	-0.00793203463203463	0.02531969696969697	18	15	467	NA
BM25_B10	MURAL_B10	10	mrr	500	0.5400920634920634	0.5437309523809525	0.0036388888888890802	-0.0005753968253968259	0.008137301587301589	23	14	463	NA
BM25_B10	MURAL_B10	10	hit	500	0.724	0.732	0.008000000000000007	-0.01	0.026	13	9	478	0.5234670639038086
BM25_B20	MURAL_B20	20	file	500	0.942	0.946	0.0040000000000000036	-0.006	0.016	5	3	492	0.7265625
BM25_B20	MURAL_B20	20	method	500	0.691663197913198	0.7112065601065601	0.019543362193362168	0.00030209235209235143	0.03937034632034632	29	17	454	NA
BM25_B20	MURAL_B20	20	mrr	500	0.544059565752445	0.5476293905784618	0.0035698248260168652	-0.00034230026939005234	0.007730985973091235	34	24	442	NA
BM25_B20	MURAL_B20	20	hit	500	0.78	0.792	0.01200000000000001	-0.008	0.034	18	12	470	0.361594608053565
BM25_B40	MURAL_B40	40	file	500	0.956	0.958	0.0020000000000000018	-0.01	0.014	6	5	489	1.0
BM25_B40	MURAL_B40	40	method	500	0.73386487956488	0.7614611055611059	0.02759622599622591	0.011046298146298147	0.04508056943056943	27	11	462	NA
BM25_B40	MURAL_B40	40	mrr	500	0.5452191556258528	0.5492498671681612	0.004030711542308385	0.0003249336917709831	0.007985787040686927	46	28	426	NA
BM25_B40	MURAL_B40	40	hit	500	0.814	0.84	0.026000000000000023	0.008	0.044	17	4	479	0.007197380065917969
