baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
BM25	BM25_filelocal	20	astropy__astropy-13236	baseline_only	1	NA
BM25	BM25_filelocal	20	astropy__astropy-13453	treatment_only	NA	5
BM25	BM25_filelocal	20	astropy__astropy-14309	baseline_only	2	NA
BM25	BM25_filelocal	20	django__django-11292	treatment_only	NA	1
BM25	BM25_filelocal	20	django__django-11433	baseline_only	5	NA
BM25	BM25_filelocal	20	django__django-11490	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-11551	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-11603	treatment_only	NA	5
BM25	BM25_filelocal	20	django__django-12039	baseline_only	5	NA
BM25	BM25_filelocal	20	django__django-12193	baseline_only	4	NA
BM25	BM25_filelocal	20	django__django-12209	baseline_only	20	NA
BM25	BM25_filelocal	20	django__django-12325	baseline_only	13	NA
BM25	BM25_filelocal	20	django__django-12708	treatment_only	NA	16
BM25	BM25_filelocal	20	django__django-13012	treatment_only	NA	6
BM25	BM25_filelocal	20	django__django-13023	treatment_only	NA	2
BM25	BM25_filelocal	20	django__django-13033	baseline_only	8	NA
BM25	BM25_filelocal	20	django__django-13109	treatment_only	NA	3
BM25	BM25_filelocal	20	django__django-13128	treatment_only	NA	10
BM25	BM25_filelocal	20	django__django-13401	treatment_only	NA	14
BM25	BM25_filelocal	20	django__django-13406	treatment_only	NA	19
BM25	BM25_filelocal	20	django__django-13449	treatment_only	NA	14
BM25	BM25_filelocal	20	django__django-13512	treatment_only	NA	1
BM25	BM25_filelocal	20	django__django-13568	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-13590	baseline_only	14	NA
BM25	BM25_filelocal	20	django__django-13670	treatment_only	NA	9
BM25	BM25_filelocal	20	django__django-13786	baseline_only	3	NA
BM25	BM25_filelocal	20	django__django-13821	treatment_only	NA	1
BM25	BM25_filelocal	20	django__django-13925	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-13933	treatment_only	NA	6
BM25	BM25_filelocal	20	django__django-13964	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-14007	treatment_only	NA	12
BM25	BM25_filelocal	20	django__django-14017	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-14311	baseline_only	5	NA
BM25	BM25_filelocal	20	django__django-14349	baseline_only	3	NA
BM25	BM25_filelocal	20	django__django-14373	baseline_only	4	NA
BM25	BM25_filelocal	20	django__django-14376	treatment_only	NA	7
BM25	BM25_filelocal	20	django__django-14434	treatment_only	NA	2
BM25	BM25_filelocal	20	django__django-14500	treatment_only	NA	4
BM25	BM25_filelocal	20	django__django-14672	treatment_only	NA	7
BM25	BM25_filelocal	20	django__django-14771	baseline_only	5	NA
BM25	BM25_filelocal	20	django__django-14915	treatment_only	NA	1
BM25	BM25_filelocal	20	django__django-15098	treatment_only	NA	17
BM25	BM25_filelocal	20	django__django-15104	treatment_only	NA	6
BM25	BM25_filelocal	20	django__django-15278	treatment_only	NA	17
BM25	BM25_filelocal	20	django__django-15315	treatment_only	NA	2
BM25	BM25_filelocal	20	django__django-15382	treatment_only	NA	7
BM25	BM25_filelocal	20	django__django-15467	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-15499	baseline_only	15	NA
BM25	BM25_filelocal	20	django__django-15525	baseline_only	1	NA
BM25	BM25_filelocal	20	django__django-15563	baseline_only	13	NA
BM25	BM25_filelocal	20	django__django-15695	treatment_only	NA	3
BM25	BM25_filelocal	20	django__django-15741	treatment_only	NA	2
