baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25	BM25_filelocal	20	file	500	0.77	0.736	-0.03400000000000003	-0.062	-0.008	15	32	453	0.01862383661500644
BM25	BM25_filelocal	20	method	500	0.3920462481962482	0.5010113275613275	0.10896507936507926	0.06626053391053395	0.15178427128427135	122	55	323	NA
BM25	BM25_filelocal	20	mrr	500	0.25258785381285387	0.28811683707589275	0.03552898326303888	0.00010256503042881216	0.07194841318811902	164	116	220	NA
BM25	BM25_filelocal	20	hit	500	0.46	0.57	0.10999999999999993	0.064	0.158	101	46	353	6.6718656940094816e-06
KG_grounded	KG_filelocal	20	file	500	0.556	0.592	0.03599999999999992	0.02	0.054	19	1	480	4.00543212890625e-05
KG_grounded	KG_filelocal	20	method	500	0.3377373737373737	0.4527596681096681	0.11502229437229439	0.08670490620490624	0.14430952380952386	80	9	411	NA
KG_grounded	KG_filelocal	20	mrr	500	0.2224038519873659	0.2631367764072873	0.04073292441992138	0.029577773593795265	0.05250164222602302	105	44	351	NA
KG_grounded	KG_filelocal	20	hit	500	0.378	0.506	0.128	0.098	0.16	66	2	432	1.5903890617646743e-17
KG_filelocal	BM25_filelocal	20	file	500	0.592	0.736	0.14400000000000002	0.096	0.192	115	43	342	9.028801681530523e-09
KG_filelocal	BM25_filelocal	20	method	500	0.4527596681096681	0.5010113275613275	0.04825165945165938	0.006050613275613275	0.09185624098124097	101	69	330	NA
KG_filelocal	BM25_filelocal	20	mrr	500	0.2631367764072873	0.28811683707589275	0.024980060668605475	-0.008404437925335764	0.05935187989684887	174	118	208	NA
KG_filelocal	BM25_filelocal	20	hit	500	0.506	0.57	0.06399999999999995	0.016	0.112	91	59	350	0.011121593847224862
KG_filelocal	BM25_KG_RRF_filelocal	20	file	500	0.592	0.77	0.17800000000000005	0.14	0.216	99	10	391	1.457836211253665e-19
KG_filelocal	BM25_KG_RRF_filelocal	20	method	500	0.4527596681096681	0.5519722222222222	0.09921255411255409	0.06679296536796538	0.13193300865800864	91	29	380	NA
KG_filelocal	BM25_KG_RRF_filelocal	20	mrr	500	0.2631367764072873	0.3199049013765731	0.05676812496928585	0.029076825333249484	0.08480882768762028	191	81	228	NA
KG_filelocal	BM25_KG_RRF_filelocal	20	hit	500	0.506	0.626	0.12	0.082	0.158	80	20	400	1.1159089057251951e-09
BM25_filelocal	BM25_KG_RRF_filelocal	20	file	500	0.736	0.77	0.03400000000000003	0.006	0.062	33	16	451	0.021294114141387155
BM25_filelocal	BM25_KG_RRF_filelocal	20	method	500	0.5010113275613275	0.5519722222222222	0.05096089466089471	0.023330303030303028	0.07800858585858585	50	22	428	NA
BM25_filelocal	BM25_KG_RRF_filelocal	20	mrr	500	0.28811683707589275	0.3199049013765731	0.031788064300680374	0.014432049323225785	0.049646369514558385	122	58	320	NA
BM25_filelocal	BM25_KG_RRF_filelocal	20	hit	500	0.57	0.626	0.05600000000000005	0.028	0.086	43	15	442	0.0003069470155465659
GLM5_issue	GLM5_KG_filelocal	20	file	500	0.874	0.932	0.05800000000000005	0.038	0.08	30	1	469	2.9802322387695312e-08
GLM5_issue	GLM5_KG_filelocal	20	method	500	0.529893573093573	0.6585265817515819	0.12863300865800886	0.10200530303030307	0.15605919913419916	85	0	415	NA
GLM5_issue	GLM5_KG_filelocal	20	mrr	500	0.5123071428571428	0.5370751254851099	0.02476798262796709	0.01661057080174727	0.03437962461515094	59	0	441	NA
GLM5_issue	GLM5_KG_filelocal	20	hit	500	0.624	0.742	0.118	0.09	0.146	59	0	441	3.469446951953614e-18
GLM5_issue	GLM5_BM25_filelocal	20	file	500	0.874	0.942	0.06799999999999995	0.046	0.092	34	0	466	1.1641532182693481e-10
GLM5_issue	GLM5_BM25_filelocal	20	method	500	0.529893573093573	0.691663197913198	0.16176962481962498	0.13270245310245316	0.1921997113997114	114	0	386	NA
GLM5_issue	GLM5_BM25_filelocal	20	mrr	500	0.5123071428571428	0.544059565752445	0.03175242289530211	0.02321851615876383	0.04138471445994664	78	0	422	NA
GLM5_issue	GLM5_BM25_filelocal	20	hit	500	0.624	0.78	0.15600000000000003	0.124	0.188	78	0	422	6.617444900424222e-24
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	file	500	0.874	0.946	0.07199999999999995	0.05	0.096	37	1	462	2.837623469531536e-10
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	method	500	0.529893573093573	0.7112065601065601	0.18131298701298715	0.151162987012987	0.2122062770562771	123	0	377	NA
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	mrr	500	0.5123071428571428	0.5476293905784618	0.03532224772131898	0.02590536644298254	0.04595388932532894	84	0	416	NA
GLM5_issue	GLM5_BM25_KG_RRF_filelocal	20	hit	500	0.624	0.792	0.16800000000000004	0.136	0.202	84	0	416	1.0339757656912846e-25
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	file	500	0.932	0.942	0.009999999999999898	-0.006	0.028	12	7	481	0.359283447265625
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	method	500	0.6585265817515819	0.691663197913198	0.03313661616161612	0.006790476190476192	0.06032958152958152	55	29	416	NA
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	mrr	500	0.5370751254851099	0.544059565752445	0.006984440267335024	-0.0021223160482448404	0.015651239146130785	59	24	417	NA
GLM5_KG_filelocal	GLM5_BM25_filelocal	20	hit	500	0.742	0.78	0.038000000000000034	0.008	0.068	38	19	443	0.01634810389737615
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	file	500	0.932	0.946	0.013999999999999901	0.002	0.028	9	2	489	0.0654296875
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	method	500	0.6585265817515819	0.7112065601065601	0.052679978354978285	0.0320780303030303	0.07482619047619048	49	10	441	NA
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	mrr	500	0.5370751254851099	0.5476293905784618	0.010554265093351889	0.0025315877706744584	0.01848943331350452	61	18	421	NA
GLM5_KG_filelocal	GLM5_BM25_KG_RRF_filelocal	20	hit	500	0.742	0.792	0.050000000000000044	0.028	0.074	31	6	463	4.12575900554657e-05
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	file	500	0.942	0.946	0.0040000000000000036	-0.006	0.016	5	3	492	0.7265625
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	method	500	0.691663197913198	0.7112065601065601	0.019543362193362168	0.00030209235209235143	0.03937034632034632	29	17	454	NA
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	mrr	500	0.544059565752445	0.5476293905784618	0.0035698248260168652	-0.00034230026939005234	0.007730985973091235	34	24	442	NA
GLM5_BM25_filelocal	GLM5_BM25_KG_RRF_filelocal	20	hit	500	0.78	0.792	0.01200000000000001	-0.008	0.034	18	12	470	0.361594608053565
