baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
k60	k10	20	astropy__astropy-13033	treatment_only	NA	11
k60	k10	20	astropy__astropy-14539	baseline_only	18	NA
k60	k10	20	django__django-11551	treatment_only	NA	13
k60	k10	20	django__django-13406	baseline_only	17	NA
k60	k10	20	django__django-14170	treatment_only	NA	12
k60	k10	20	django__django-15863	treatment_only	NA	14
k60	k10	20	django__django-15973	treatment_only	NA	16
k60	k10	20	django__django-16527	treatment_only	NA	20
k60	k10	20	matplotlib__matplotlib-20676	baseline_only	20	NA
k60	k10	20	matplotlib__matplotlib-24026	treatment_only	NA	15
k60	k10	20	pydata__xarray-3677	treatment_only	NA	13
k60	k10	20	pydata__xarray-4356	treatment_only	NA	10
k60	k10	20	pydata__xarray-6992	treatment_only	NA	8
k60	k10	20	sphinx-doc__sphinx-10466	baseline_only	18	NA
k60	k10	20	sphinx-doc__sphinx-7889	treatment_only	NA	20
k60	k10	20	sphinx-doc__sphinx-9461	treatment_only	NA	13
k60	k10	20	sympy__sympy-16792	treatment_only	NA	13
k60	k10	20	sympy__sympy-19954	treatment_only	NA	10
k60	k10	20	sympy__sympy-24443	treatment_only	NA	12
k60	k30	20	django__django-14170	treatment_only	NA	17
k60	k30	20	pydata__xarray-4356	treatment_only	NA	19
k60	k30	20	sphinx-doc__sphinx-9461	treatment_only	NA	20
k60	k100	20	django__django-16139	baseline_only	19	NA
k60	w30_70	20	astropy__astropy-13033	treatment_only	NA	19
k60	w30_70	20	astropy__astropy-13453	baseline_only	12	NA
k60	w30_70	20	astropy__astropy-14369	baseline_only	9	NA
k60	w30_70	20	astropy__astropy-7671	baseline_only	6	NA
k60	w30_70	20	django__django-11087	baseline_only	17	NA
k60	w30_70	20	django__django-11141	baseline_only	19	NA
k60	w30_70	20	django__django-11239	baseline_only	18	NA
k60	w30_70	20	django__django-11477	baseline_only	20	NA
k60	w30_70	20	django__django-11551	treatment_only	NA	20
k60	w30_70	20	django__django-11734	baseline_only	19	NA
k60	w30_70	20	django__django-12858	baseline_only	10	NA
k60	w30_70	20	django__django-13315	baseline_only	12	NA
k60	w30_70	20	django__django-13406	baseline_only	17	NA
k60	w30_70	20	django__django-13512	baseline_only	1	NA
k60	w30_70	20	django__django-13670	baseline_only	17	NA
k60	w30_70	20	django__django-14170	treatment_only	NA	11
k60	w30_70	20	django__django-14915	baseline_only	10	NA
k60	w30_70	20	django__django-15022	treatment_only	NA	19
k60	w30_70	20	django__django-15554	baseline_only	10	NA
k60	w30_70	20	django__django-15731	baseline_only	8	NA
k60	w30_70	20	django__django-15987	baseline_only	3	NA
k60	w30_70	20	django__django-16032	baseline_only	14	NA
k60	w30_70	20	django__django-16145	baseline_only	15	NA
k60	w30_70	20	django__django-16899	baseline_only	3	NA
k60	w30_70	20	django__django-7530	baseline_only	11	NA
k60	w30_70	20	matplotlib__matplotlib-20488	treatment_only	NA	12
k60	w30_70	20	matplotlib__matplotlib-20676	baseline_only	20	NA
k60	w30_70	20	matplotlib__matplotlib-22719	baseline_only	20	NA
k60	w30_70	20	matplotlib__matplotlib-24870	baseline_only	17	NA
k60	w30_70	20	psf__requests-1142	baseline_only	16	NA
k60	w30_70	20	psf__requests-2931	baseline_only	19	NA
k60	w30_70	20	pydata__xarray-3677	treatment_only	NA	20
k60	w30_70	20	pydata__xarray-6992	treatment_only	NA	17
k60	w30_70	20	pylint-dev__pylint-8898	treatment_only	NA	16
k60	w30_70	20	pytest-dev__pytest-10356	baseline_only	1	NA
k60	w30_70	20	pytest-dev__pytest-5809	baseline_only	2	NA
k60	w30_70	20	pytest-dev__pytest-7236	baseline_only	3	NA
k60	w30_70	20	pytest-dev__pytest-7324	treatment_only	NA	14
k60	w30_70	20	sphinx-doc__sphinx-7462	baseline_only	10	NA
k60	w30_70	20	sphinx-doc__sphinx-7889	treatment_only	NA	10
k60	w30_70	20	sphinx-doc__sphinx-8120	baseline_only	12	NA
k60	w30_70	20	sphinx-doc__sphinx-8269	baseline_only	11	NA
k60	w30_70	20	sympy__sympy-13091	treatment_only	NA	19
k60	w30_70	20	sympy__sympy-13551	baseline_only	7	NA
k60	w30_70	20	sympy__sympy-15599	baseline_only	1	NA
k60	w30_70	20	sympy__sympy-16597	baseline_only	19	NA
k60	w30_70	20	sympy__sympy-18763	baseline_only	1	NA
k60	w30_70	20	sympy__sympy-24443	treatment_only	NA	19
k60	w40_60	20	astropy__astropy-13453	baseline_only	12	NA
k60	w40_60	20	astropy__astropy-14369	baseline_only	9	NA
k60	w40_60	20	astropy__astropy-7671	baseline_only	6	NA
k60	w40_60	20	django__django-11087	baseline_only	17	NA
k60	w40_60	20	django__django-11141	baseline_only	19	NA
k60	w40_60	20	django__django-11239	baseline_only	18	NA
k60	w40_60	20	django__django-11477	baseline_only	20	NA
k60	w40_60	20	django__django-11734	baseline_only	19	NA
k60	w40_60	20	django__django-12858	baseline_only	10	NA
k60	w40_60	20	django__django-13315	baseline_only	12	NA
k60	w40_60	20	django__django-13512	baseline_only	1	NA
k60	w40_60	20	django__django-13670	baseline_only	17	NA
k60	w40_60	20	django__django-14170	treatment_only	NA	20
k60	w40_60	20	django__django-14915	baseline_only	10	NA
k60	w40_60	20	django__django-15022	treatment_only	NA	19
k60	w40_60	20	django__django-15554	baseline_only	10	NA
k60	w40_60	20	django__django-15731	baseline_only	8	NA
k60	w40_60	20	django__django-15987	baseline_only	3	NA
k60	w40_60	20	django__django-16032	baseline_only	14	NA
k60	w40_60	20	django__django-16145	baseline_only	15	NA
k60	w40_60	20	django__django-16899	baseline_only	3	NA
k60	w40_60	20	django__django-7530	baseline_only	11	NA
k60	w40_60	20	matplotlib__matplotlib-20488	treatment_only	NA	12
k60	w40_60	20	matplotlib__matplotlib-22719	baseline_only	20	NA
k60	w40_60	20	matplotlib__matplotlib-24870	baseline_only	17	NA
k60	w40_60	20	psf__requests-1142	baseline_only	16	NA
k60	w40_60	20	psf__requests-2931	baseline_only	19	NA
k60	w40_60	20	pylint-dev__pylint-8898	treatment_only	NA	16
k60	w40_60	20	pytest-dev__pytest-10356	baseline_only	1	NA
k60	w40_60	20	pytest-dev__pytest-5809	baseline_only	2	NA
k60	w40_60	20	pytest-dev__pytest-7236	baseline_only	3	NA
k60	w40_60	20	pytest-dev__pytest-7324	treatment_only	NA	14
k60	w40_60	20	sphinx-doc__sphinx-7462	baseline_only	10	NA
k60	w40_60	20	sphinx-doc__sphinx-7889	treatment_only	NA	11
k60	w40_60	20	sphinx-doc__sphinx-8120	baseline_only	12	NA
k60	w40_60	20	sphinx-doc__sphinx-8269	baseline_only	11	NA
k60	w40_60	20	sympy__sympy-13091	treatment_only	NA	19
k60	w40_60	20	sympy__sympy-13551	baseline_only	7	NA
k60	w40_60	20	sympy__sympy-15599	baseline_only	1	NA
k60	w40_60	20	sympy__sympy-16597	baseline_only	19	NA
k60	w40_60	20	sympy__sympy-18763	baseline_only	1	NA
k60	w60_40	20	astropy__astropy-13579	baseline_only	8	NA
k60	w60_40	20	django__django-10914	baseline_only	6	NA
k60	w60_40	20	django__django-12039	baseline_only	11	NA
k60	w60_40	20	django__django-12143	treatment_only	NA	11
k60	w60_40	20	django__django-12308	baseline_only	2	NA
k60	w60_40	20	django__django-12419	baseline_only	4	NA
k60	w60_40	20	django__django-12713	baseline_only	4	NA
k60	w60_40	20	django__django-13343	baseline_only	8	NA
k60	w60_40	20	django__django-13344	baseline_only	13	NA
k60	w60_40	20	django__django-13346	baseline_only	2	NA
k60	w60_40	20	django__django-13449	treatment_only	NA	16
k60	w60_40	20	django__django-13590	baseline_only	9	NA
k60	w60_40	20	django__django-14017	baseline_only	20	NA
k60	w60_40	20	django__django-14999	baseline_only	4	NA
k60	w60_40	20	django__django-15098	treatment_only	NA	18
k60	w60_40	20	django__django-15467	baseline_only	16	NA
k60	w60_40	20	django__django-15503	baseline_only	8	NA
k60	w60_40	20	django__django-15572	baseline_only	4	NA
k60	w60_40	20	django__django-15863	treatment_only	NA	19
k60	w60_40	20	django__django-15973	treatment_only	NA	17
k60	w60_40	20	django__django-16139	baseline_only	19	NA
k60	w60_40	20	django__django-16631	baseline_only	3	NA
k60	w60_40	20	django__django-16642	baseline_only	6	NA
k60	w60_40	20	django__django-16901	baseline_only	16	NA
k60	w60_40	20	pylint-dev__pylint-6528	treatment_only	NA	15
k60	w60_40	20	pytest-dev__pytest-8399	treatment_only	NA	12
k60	w60_40	20	scikit-learn__scikit-learn-12973	baseline_only	14	NA
k60	w60_40	20	scikit-learn__scikit-learn-13142	baseline_only	9	NA
k60	w60_40	20	scikit-learn__scikit-learn-25931	baseline_only	8	NA
k60	w60_40	20	sphinx-doc__sphinx-10323	treatment_only	NA	16
k60	w60_40	20	sphinx-doc__sphinx-10614	baseline_only	7	NA
k60	w60_40	20	sphinx-doc__sphinx-8056	baseline_only	5	NA
k60	w60_40	20	sympy__sympy-19495	baseline_only	16	NA
k60	w60_40	20	sympy__sympy-21930	baseline_only	10	NA
k60	w60_40	20	sympy__sympy-24661	baseline_only	17	NA
k60	w70_30	20	astropy__astropy-13579	baseline_only	8	NA
k60	w70_30	20	django__django-10914	baseline_only	6	NA
k60	w70_30	20	django__django-12039	baseline_only	11	NA
k60	w70_30	20	django__django-12143	treatment_only	NA	11
k60	w70_30	20	django__django-12308	baseline_only	2	NA
k60	w70_30	20	django__django-12419	baseline_only	4	NA
k60	w70_30	20	django__django-12713	baseline_only	4	NA
k60	w70_30	20	django__django-13343	baseline_only	8	NA
k60	w70_30	20	django__django-13344	baseline_only	13	NA
k60	w70_30	20	django__django-13346	baseline_only	2	NA
k60	w70_30	20	django__django-13449	treatment_only	NA	16
k60	w70_30	20	django__django-13590	baseline_only	9	NA
k60	w70_30	20	django__django-14017	baseline_only	20	NA
k60	w70_30	20	django__django-14999	baseline_only	4	NA
k60	w70_30	20	django__django-15098	treatment_only	NA	18
k60	w70_30	20	django__django-15467	baseline_only	16	NA
k60	w70_30	20	django__django-15503	baseline_only	8	NA
k60	w70_30	20	django__django-15572	baseline_only	4	NA
k60	w70_30	20	django__django-15863	treatment_only	NA	16
k60	w70_30	20	django__django-15973	treatment_only	NA	15
k60	w70_30	20	django__django-16139	baseline_only	19	NA
k60	w70_30	20	django__django-16631	baseline_only	3	NA
k60	w70_30	20	django__django-16642	baseline_only	6	NA
k60	w70_30	20	django__django-16901	baseline_only	16	NA
k60	w70_30	20	pydata__xarray-4356	treatment_only	NA	14
k60	w70_30	20	pylint-dev__pylint-6528	treatment_only	NA	15
k60	w70_30	20	pytest-dev__pytest-8399	treatment_only	NA	12
k60	w70_30	20	scikit-learn__scikit-learn-12973	baseline_only	14	NA
k60	w70_30	20	scikit-learn__scikit-learn-13142	baseline_only	9	NA
k60	w70_30	20	scikit-learn__scikit-learn-25931	baseline_only	8	NA
k60	w70_30	20	sphinx-doc__sphinx-10323	treatment_only	NA	16
k60	w70_30	20	sphinx-doc__sphinx-10614	baseline_only	7	NA
k60	w70_30	20	sphinx-doc__sphinx-8056	baseline_only	5	NA
k60	w70_30	20	sphinx-doc__sphinx-9461	treatment_only	NA	16
k60	w70_30	20	sympy__sympy-19495	baseline_only	16	NA
k60	w70_30	20	sympy__sympy-21930	baseline_only	10	NA
k60	w70_30	20	sympy__sympy-24661	baseline_only	17	NA
