baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
k60	k10	20	file	500	0.77	0.798	0.028000000000000025	0.014	0.044	14	0	486	0.0001220703125
k60	k10	20	method	500	0.5519722222222222	0.5704615079365081	0.018489285714285875	0.002816666666666667	0.03512261904761905	20	8	472	NA
k60	k10	20	mrr	500	0.3199049013765731	0.32641340521363726	0.006508503837064139	0.002223452167028018	0.011533223389957138	51	26	423	NA
k60	k10	20	hit	500	0.626	0.648	0.02200000000000002	0.006	0.04	15	4	481	0.0192108154296875
k60	k30	20	file	500	0.77	0.776	0.006000000000000005	0.0	0.014	3	0	497	0.25
k60	k30	20	method	500	0.5519722222222222	0.5563246031746031	0.004352380952380885	0.0006666666666666666	0.009685714285714285	5	0	495	NA
k60	k30	20	mrr	500	0.3199049013765731	0.32101329935114764	0.0011083979745745154	0.00035551576906066074	0.0020912464985994392	13	3	484	NA
k60	k30	20	hit	500	0.626	0.632	0.006000000000000005	0.0	0.014	3	0	497	0.25
k60	k100	20	file	500	0.77	0.77	0.0	0.0	0.0	0	0	500	1.0
k60	k100	20	method	500	0.5519722222222222	0.5499722222222222	-0.0020000000000000018	-0.006	0.0	0	1	499	NA
k60	k100	20	mrr	500	0.3199049013765731	0.31983574932978953	-6.915204678359377e-05	-0.000346345029239766	0.00015555555555555573	2	3	495	NA
k60	k100	20	hit	500	0.626	0.624	-0.0020000000000000018	-0.006	0.0	0	1	499	1.0
k60	w30_70	20	file	500	0.77	0.688	-0.08200000000000007	-0.112	-0.054	8	49	443	2.7168525665310916e-08
k60	w30_70	20	method	500	0.5519722222222222	0.520216919191919	-0.03175530303030316	-0.05485108225108225	-0.009683333333333334	20	38	442	NA
k60	w30_70	20	mrr	500	0.3199049013765731	0.3190994323787667	-0.0008054689978064244	-0.012967434517666717	0.009851325927254722	66	53	381	NA
k60	w30_70	20	hit	500	0.626	0.578	-0.04800000000000004	-0.076	-0.022	12	36	452	0.0007172696733945827
k60	w40_60	20	file	500	0.77	0.678	-0.09199999999999997	-0.12	-0.066	3	49	448	1.042677055806962e-11
k60	w40_60	20	method	500	0.5519722222222222	0.5124835858585858	-0.03948863636363642	-0.06046071428571429	-0.019932034632034627	11	36	453	NA
k60	w40_60	20	mrr	500	0.3199049013765731	0.31392100153888075	-0.005983899837692375	-0.017257384686177258	0.0038567130581836457	51	44	405	NA
k60	w40_60	20	hit	500	0.626	0.572	-0.05400000000000005	-0.08	-0.03	7	34	459	2.532080361561384e-05
k60	w60_40	20	file	500	0.77	0.718	-0.052000000000000046	-0.074	-0.032	3	29	468	2.5560148060321808e-06
k60	w60_40	20	method	500	0.5519722222222222	0.5174676767676767	-0.03450454545454551	-0.05596969696969697	-0.013454545454545459	13	32	455	NA
k60	w60_40	20	mrr	500	0.3199049013765731	0.31091918318179923	-0.008985718194773895	-0.015569346580492093	-0.0025883439659755442	38	49	413	NA
k60	w60_40	20	hit	500	0.626	0.588	-0.038000000000000034	-0.062	-0.016	8	27	465	0.001878225477412343
k60	w70_30	20	file	500	0.77	0.724	-0.04600000000000004	-0.07	-0.024	6	29	465	0.0001168418675661087
k60	w70_30	20	method	500	0.5519722222222222	0.5200391053391054	-0.03193311688311684	-0.05391948051948051	-0.010337229437229438	15	32	453	NA
k60	w70_30	20	mrr	500	0.3199049013765731	0.3132493153045784	-0.006655586071994735	-0.014264734560245395	0.001009908409444014	53	57	390	NA
k60	w70_30	20	hit	500	0.626	0.592	-0.03400000000000003	-0.058	-0.012	10	27	463	0.007632078602910042
