baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
Full	minus_G1	20	file	500	0.736	0.73	-0.006000000000000005	-0.032	0.02	20	23	457	0.7607916425613439
Full	minus_G1	20	method	500	0.5007613275613275	0.48358581696081687	-0.017175510600510646	-0.0509586691086691	0.015910714285714285	44	63	393	NA
Full	minus_G1	20	mrr	500	0.2864737545478257	0.2790361754602466	-0.007437579087579083	-0.034894737658282556	0.019649569676969063	117	120	263	NA
Full	minus_G1	20	hit	500	0.57	0.552	-0.017999999999999905	-0.054	0.018	36	45	419	0.3741744176047079
Full	minus_G2	20	file	500	0.736	0.732	-0.0040000000000000036	-0.01	0.0	0	2	498	0.5
Full	minus_G2	20	method	500	0.5007613275613275	0.49680299422799423	-0.003958333333333286	-0.013041666666666667	0.005083333333333333	5	9	486	NA
Full	minus_G2	20	mrr	500	0.2864737545478257	0.2850734312986634	-0.001400323249162283	-0.008503062993078472	0.006167849548112708	24	44	432	NA
Full	minus_G2	20	hit	500	0.57	0.566	-0.0040000000000000036	-0.014	0.004	2	4	494	0.6875
Full	minus_G3	20	file	500	0.736	0.736	0.0	0.0	0.0	0	0	500	1.0
Full	minus_G3	20	method	500	0.5007613275613275	0.5009279942279942	0.0001666666666666483	-0.005833333333333333	0.006	2	1	497	NA
Full	minus_G3	20	mrr	500	0.2864737545478257	0.2871296632589975	0.0006559087111718265	-0.00305906499760989	0.004656151072869338	9	10	481	NA
Full	minus_G3	20	hit	500	0.57	0.57	0.0	-0.006	0.006	1	1	498	1.0
Full	minus_G4	20	file	500	0.736	0.736	0.0	0.0	0.0	0	0	500	1.0
Full	minus_G4	20	method	500	0.5007613275613275	0.5007613275613275	0.0	0.0	0.0	0	0	500	NA
Full	minus_G4	20	mrr	500	0.2864737545478257	0.28540708788115904	-0.0010666666666666602	-0.003133333333333334	0.0	0	2	498	NA
Full	minus_G4	20	hit	500	0.57	0.57	0.0	0.0	0.0	0	0	500	1.0
Full	minus_G5	20	file	500	0.736	0.736	0.0	0.0	0.0	0	0	500	1.0
Full	minus_G5	20	method	500	0.5007613275613275	0.5007613275613275	0.0	0.0	0.0	0	0	500	NA
Full	minus_G5	20	mrr	500	0.2864737545478257	0.2864737545478257	0.0	0.0	0.0	0	0	500	NA
Full	minus_G5	20	hit	500	0.57	0.57	0.0	0.0	0.0	0	0	500	1.0
