baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
FileSourceOrder	EntityProjection	20	file	500	0.384	0.736	0.352	0.306	0.398	190	14	296	1.3183499096659267e-40
FileSourceOrder	EntityProjection	20	method	500	0.20362896825396826	0.5010113275613275	0.29738235930735923	0.2539515873015873	0.34207582972582967	200	23	277	NA
FileSourceOrder	EntityProjection	20	mrr	500	0.06012938180670378	0.28811683707589275	0.22798745526918895	0.19579750636360557	0.26118777357833084	259	31	210	NA
FileSourceOrder	EntityProjection	20	hit	500	0.224	0.57	0.346	0.298	0.392	189	16	295	1.0824343479807774e-38
FileNameOverlap	EntityProjection	20	file	500	0.384	0.736	0.352	0.306	0.398	190	14	296	1.3183499096659267e-40
FileNameOverlap	EntityProjection	20	method	500	0.30936706349206355	0.5010113275613275	0.19164426406926394	0.1492185425685426	0.2346275613275613	153	32	315	NA
FileNameOverlap	EntityProjection	20	mrr	500	0.16658033355533364	0.28811683707589275	0.12153650352055911	0.08894907983313556	0.15435490567224325	206	74	220	NA
FileNameOverlap	EntityProjection	20	hit	500	0.34	0.57	0.22999999999999993	0.184	0.276	142	27	331	4.781582010165069e-20
WithinFileBM25	EntityProjection	20	file	500	0.384	0.736	0.352	0.306	0.398	190	14	296	1.3183499096659267e-40
WithinFileBM25	EntityProjection	20	method	500	0.33878373015873026	0.5010113275613275	0.16222759740259723	0.11925339105339108	0.20710970418470415	143	44	313	NA
WithinFileBM25	EntityProjection	20	mrr	500	0.26541292195936156	0.28811683707589275	0.022703915116531193	-0.014970883210356896	0.0593110390727264	168	102	230	NA
WithinFileBM25	EntityProjection	20	hit	500	0.366	0.57	0.20399999999999996	0.158	0.252	135	33	332	7.603570013268806e-16
EqualRoundRobin	EntityProjection	20	file	500	0.804	0.736	-0.06800000000000006	-0.092	-0.046	0	34	466	1.1641532182693481e-10
EqualRoundRobin	EntityProjection	20	method	500	0.383651875901876	0.5010113275613275	0.1173594516594515	0.07316919191919191	0.16115670995671	132	52	316	NA
EqualRoundRobin	EntityProjection	20	mrr	500	0.29282991032015804	0.28811683707589275	-0.004713073244265287	-0.04119779962899161	0.0324624695136305	153	126	221	NA
EqualRoundRobin	EntityProjection	20	hit	500	0.474	0.57	0.09599999999999997	0.05	0.144	97	49	354	8.768705718553241e-05
WeightedFeatures	EntityProjection	20	file	500	0.77	0.736	-0.03400000000000003	-0.056	-0.012	7	24	469	0.003326892852783203
WeightedFeatures	EntityProjection	20	method	500	0.5329405483405483	0.5010113275613275	-0.03192922077922078	-0.06612896825396827	0.0021396825396825373	49	69	382	NA
WeightedFeatures	EntityProjection	20	mrr	500	0.3344883147468286	0.28811683707589275	-0.04637147767093586	-0.07826555810031041	-0.014616132611798257	118	133	249	NA
WeightedFeatures	EntityProjection	20	hit	500	0.6	0.57	-0.030000000000000027	-0.066	0.006	34	49	417	0.12385305946180145
StableRandom	EntityProjection	20	file	500	0.522	0.736	0.21399999999999997	0.172	0.256	125	18	357	6.680120457061192e-21
StableRandom	EntityProjection	20	method	500	0.028028715728715733	0.5010113275613275	0.47298261183261175	0.4319915584415584	0.5158702741702743	272	1	227	NA
StableRandom	EntityProjection	20	mrr	500	0.013390376290376286	0.28811683707589275	0.2747264607855165	0.24221618328352085	0.30851278206657456	276	7	217	NA
StableRandom	EntityProjection	20	hit	500	0.05	0.57	0.5199999999999999	0.476	0.564	261	1	238	7.097851031218247e-77
