baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
Expanded	StableOnly	20	astropy__astropy-13453	baseline_only	5	NA
Expanded	StableOnly	20	astropy__astropy-13977	baseline_only	2	NA
Expanded	StableOnly	20	astropy__astropy-14096	baseline_only	5	NA
Expanded	StableOnly	20	astropy__astropy-14369	baseline_only	3	NA
Expanded	StableOnly	20	astropy__astropy-14508	baseline_only	7	NA
Expanded	StableOnly	20	astropy__astropy-14995	baseline_only	3	NA
Expanded	StableOnly	20	astropy__astropy-7166	baseline_only	3	NA
Expanded	StableOnly	20	astropy__astropy-7336	baseline_only	2	NA
Expanded	StableOnly	20	astropy__astropy-7606	baseline_only	2	NA
Expanded	StableOnly	20	astropy__astropy-7671	baseline_only	1	NA
Expanded	StableOnly	20	astropy__astropy-8707	baseline_only	1	NA
Expanded	StableOnly	20	astropy__astropy-8872	baseline_only	2	NA
Expanded	StableOnly	20	django__django-10554	baseline_only	4	NA
Expanded	StableOnly	20	django__django-10999	baseline_only	2	NA
Expanded	StableOnly	20	django__django-11087	baseline_only	9	NA
Expanded	StableOnly	20	django__django-11095	baseline_only	1	NA
Expanded	StableOnly	20	django__django-11119	baseline_only	1	NA
Expanded	StableOnly	20	django__django-11133	baseline_only	11	NA
Expanded	StableOnly	20	django__django-11141	baseline_only	10	NA
Expanded	StableOnly	20	django__django-11149	baseline_only	5	NA
Expanded	StableOnly	20	django__django-11163	baseline_only	1	NA
Expanded	StableOnly	20	django__django-11179	baseline_only	14	NA
Expanded	StableOnly	20	django__django-11265	baseline_only	19	NA
Expanded	StableOnly	20	django__django-11276	baseline_only	1	NA
Expanded	StableOnly	20	django__django-11292	baseline_only	1	NA
Expanded	StableOnly	20	django__django-11333	baseline_only	2	NA
Expanded	StableOnly	20	django__django-11400	baseline_only	1	NA
Expanded	StableOnly	20	django__django-11451	baseline_only	2	NA
Expanded	StableOnly	20	django__django-11477	baseline_only	11	NA
Expanded	StableOnly	20	django__django-11532	baseline_only	2	NA
Expanded	StableOnly	20	django__django-11603	baseline_only	6	NA
