baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
Expanded	StableOnly	20	file	500	0.736	0.388	-0.348	-0.396	-0.298	21	195	284	1.6083125251612216e-36
Expanded	StableOnly	20	method	500	0.5007613275613275	0.04143181818181818	-0.45932950937950934	-0.5023547619047618	-0.41797200577200583	2	266	232	NA
Expanded	StableOnly	20	mrr	500	0.2864737545478257	0.01051961351342156	-0.27595414103440413	-0.3091901876761012	-0.24417539302802466	6	280	214	NA
Expanded	StableOnly	20	hit	500	0.57	0.05	-0.5199999999999999	-0.564	-0.474	2	262	236	2.3601704080137404e-75
Expanded	FileRankAST	20	file	500	0.736	0.386	-0.35	-0.398	-0.304	14	189	297	2.456759117953516e-40
Expanded	FileRankAST	20	method	500	0.5007613275613275	0.21362896825396827	-0.28713235930735925	-0.3315810245310245	-0.24400829725829726	23	197	280	NA
Expanded	FileRankAST	20	mrr	500	0.2864737545478257	0.06373092605708705	-0.22274282849073865	-0.2561468626145096	-0.19069830684451428	32	258	210	NA
Expanded	FileRankAST	20	hit	500	0.57	0.24	-0.32999999999999996	-0.376	-0.284	17	182	301	4.593945777927902e-36
Expanded	TitleFileRankAST	20	file	500	0.736	0.734	-0.0020000000000000018	-0.01	0.006	2	3	495	1.0
Expanded	TitleFileRankAST	20	method	500	0.5007613275613275	0.48911727994227994	-0.011644047619047582	-0.025533333333333328	0.0009809523809523818	6	15	479	NA
Expanded	TitleFileRankAST	20	mrr	500	0.2864737545478257	0.27564540038564805	-0.010828354162177645	-0.0201358665414393	-0.0017290712211764845	32	55	413	NA
Expanded	TitleFileRankAST	20	hit	500	0.57	0.554	-0.015999999999999903	-0.032	-0.002	3	11	486	0.057373046875
Expanded	ExactFileRankAST	20	file	500	0.736	0.73	-0.006000000000000005	-0.032	0.02	21	24	455	0.765991824244793
Expanded	ExactFileRankAST	20	method	500	0.5007613275613275	0.4815501026751026	-0.019211224886224898	-0.05357312964812965	0.01494115606615607	45	62	393	NA
Expanded	ExactFileRankAST	20	mrr	500	0.2864737545478257	0.27985792336318643	-0.006615831184639265	-0.03437732585611842	0.021065191593751965	121	124	255	NA
Expanded	ExactFileRankAST	20	hit	500	0.57	0.548	-0.02199999999999991	-0.058	0.014	37	48	415	0.27799928908055166
Expanded	Compact	20	file	500	0.736	0.736	0.0	0.0	0.0	0	0	500	1.0
Expanded	Compact	20	method	500	0.5007613275613275	0.5010113275613275	0.00024999999999997247	-0.00575	0.006166666666666667	3	1	496	NA
Expanded	Compact	20	mrr	500	0.2864737545478257	0.28811683707589275	0.0016430825280670525	-0.001225600543247602	0.005238507364668355	11	10	479	NA
Expanded	Compact	20	hit	500	0.57	0.57	0.0	-0.006	0.006	1	1	498	1.0
