instance_id	repository	variant	rendered_entities	source_entities	target_count	matched_target_count	source_target_coverage	source_hit	source_complete	prompt_tokens	prompt_sha256
astropy__astropy-12907	astropy__astropy	bm25	17	6	1	0	0.0	0	0	3381	f8e0c095ca82b317411c09522ab4aa898492ffe9b12833254ba0bb2444f096fa
astropy__astropy-13033	astropy__astropy	bm25	13	6	1	1	1.0	1	1	3488	2307ea4050e85ab7172d82e05a0a90cb648076890c78b30623bdce61b10c4078
astropy__astropy-13236	astropy__astropy	bm25	14	4	1	0	0.0	0	0	3734	e83ad9999e683edb91f323436e5cfcdc53d00f018638778025c4ac2f8d1ef292
astropy__astropy-13398	astropy__astropy	bm25	12	4	8	0	0.0	0	0	3967	8f25ea28fea07e320dc9dbdccae33e6d9a4ea5a62bf11921cccd14db070cd37c
astropy__astropy-13453	astropy__astropy	bm25	7	2	1	1	1.0	1	1	3335	d7dfd548912efd9659d1e76af2de07523090f257fbe056f957a35dfb51e70ada
astropy__astropy-13579	astropy__astropy	bm25	12	4	1	0	0.0	0	0	3843	22be2c6b83da021c9c17e5d4dc438b00e285fb7d00f15f5e1cb46d34c6cb7991
astropy__astropy-13977	astropy__astropy	bm25	18	2	1	1	1.0	1	1	3974	bf95a248e9f1f0d2b115006ac09ba225939ca0d26f461af9371fcfb83ef95892
astropy__astropy-14096	astropy__astropy	bm25	20	2	1	1	1.0	1	1	3998	bcd2527ee3c1c9b8fa71e1199af911005ab44ea16cf2839a192fa5b1b683c468
astropy__astropy-14182	astropy__astropy	bm25	15	2	4	2	0.5	1	0	3735	a73ec3752cac78ae29af3a9fe8d4e47c37b2f6959ea1b30875de66a537508baa
astropy__astropy-14309	astropy__astropy	bm25	16	2	1	1	1.0	1	1	3672	253c6763e12355d76cfd9b7409008a2358c8fa539260bdcb73ffa2f1ea43f034
astropy__astropy-14365	astropy__astropy	bm25	15	6	2	1	0.5	1	0	3933	b06ff1657bc75d78b59aac0dc508d963a3537880b7c00c1c42d57f8c362950fb
astropy__astropy-14369	astropy__astropy	bm25	14	4	5	0	0.0	0	0	3781	28ab3bf3b20a36c0e2359d40ee06fe8679082f85b40b2aae5f6d78f3c172ac67
astropy__astropy-14508	astropy__astropy	bm25	10	2	1	1	1.0	1	1	3937	e5b8bd120d02aacbc9e066de9c924c5c60ad54badbcd405dd69da71daac481f6
astropy__astropy-14539	astropy__astropy	bm25	20	2	1	0	0.0	0	0	3555	5abfdf9321edd463c93e10dd578ddba33131ea0e7eef562a8078e9dd1fd870d0
astropy__astropy-14598	astropy__astropy	bm25	9	2	2	0	0.0	0	0	2917	315744a2b8a04c956b43e9bb05f86b3143e65df64ef77ee4b0debad9f175d408
astropy__astropy-14995	astropy__astropy	bm25	15	2	1	0	0.0	0	0	3822	8aace266d7c932aaf5e71bf34968992a9fd6482cdde7852a56c6ea40988a55e1
astropy__astropy-7166	astropy__astropy	bm25	17	8	2	1	0.5	1	0	3576	976d1d787ebf8d31d869b1c5676f8a81d5d5df5cb9bede7de4881d038515eb30
astropy__astropy-7336	astropy__astropy	bm25	18	5	1	0	0.0	0	0	3772	ebd093208b185cb9c822e724bc814b659689a1f6a87bce75aeb0e968cc87cfb3
astropy__astropy-7606	astropy__astropy	bm25	20	6	2	1	0.5	1	0	3500	e6c46a50a604e818fa16637785c21787702050d9fc183fbd2e75391312f61d15
astropy__astropy-7671	astropy__astropy	bm25	20	4	2	2	1.0	1	1	3875	0a1ab71eda1b1862f4ca78291c3e411e9da364102995c92e895f366de0d5ec33
astropy__astropy-8707	astropy__astropy	bm25	18	2	3	1	0.3333333333333333	1	0	3845	8a805abdad0e9653c12f10a78a17a4df761395ea3f6feb0a2cdde6be15f9d07f
astropy__astropy-8872	astropy__astropy	bm25	15	7	2	2	1.0	1	1	3757	91486e2af31262cacea81be3c1035b2ec1ace66a03600da6c89ab8b3bfb31947
django__django-10097	django__django	bm25	18	4	1	0	0.0	0	0	3470	57adce1921bf4761ce57c9a4f10e3c035041e0aa6a8499edb7b8f0f4f1b4b7f5
django__django-10554	django__django	bm25	20	4	2	1	0.5	1	0	3983	1f8b16c56251628245996d53334dba96278fd2b28606dd15038d8a886aae55dd
django__django-10880	django__django	bm25	18	8	1	1	1.0	1	1	3688	71434289e71c6c259602a467126c8c8f71f978279a9c17a7b88d91dbfde3d031
django__django-10914	django__django	bm25	18	4	1	0	0.0	0	0	3803	35626af494bbabb3e419d647f8f5b16738b948b888c784ad64932d0a9f3c235b
django__django-10973	django__django	bm25	19	8	3	1	0.3333333333333333	1	0	3746	579e52bf4f594e52b31acf5d39bd2b84109b8fb52aaa40b52d79367656513236
django__django-10999	django__django	bm25	20	8	1	1	1.0	1	1	3814	17f223cdbf8be1d62e18f153580e88d47e6c41e6e9b31e3072ad8cd8d3bc1108
django__django-11066	django__django	bm25	20	4	1	1	1.0	1	1	3895	45b0b9e9728a8e2a9457929de3465ebc7e1aace07ef2e1180214e2909dc59c45
django__django-11087	django__django	bm25	16	2	3	2	0.6666666666666666	1	0	3943	26bdccdd110f186fdf542290cb7c996dfd3cb6513475d932f41335325cdc1de2
django__django-11095	django__django	bm25	18	6	2	2	1.0	1	1	2825	aa5eda163aa27fd0d1eee874de346e05acc00a5b354d81a50796a83a6cd26add
django__django-11099	django__django	bm25	18	4	2	0	0.0	0	0	3788	7c9c10f9ae7abfc49d5749aa97bd582d2c9770f21dde80f5e95fe14c6732fb9b
django__django-11119	django__django	bm25	20	4	1	1	1.0	1	1	3790	c0328b178d0ae5be5af61632c337d843a1c8e293266c51dc11307ce31a363dc6
django__django-11133	django__django	bm25	19	8	1	0	0.0	0	0	3968	37874a5035e944486623289b2c0892977b907b1643888ea9fad4a3b65a633ffa
django__django-11138	django__django	bm25	19	6	14	2	0.14285714285714285	1	0	3949	e7210498d4cc952cabd1dca2b477c831d393aa1f844e9c6848af28acfd683709
django__django-11141	django__django	bm25	19	6	1	1	1.0	1	1	3931	e2371d78c8e8a8e50a7bae50b4c2fdea091d543d161f07d0185c0194f8815aa9
django__django-11149	django__django	bm25	18	6	5	2	0.4	1	0	3804	fc77e01edc4a7b38da89076cf3c426cb9192fd3aeac95a168ae566637ea511e6
django__django-11163	django__django	bm25	20	8	1	1	1.0	1	1	3366	a96a5238e50c94e91ffac05672b1cbd00d0761b25f6aaafcbe5739014f45409a
django__django-11179	django__django	bm25	19	6	1	1	1.0	1	1	3627	7d844e41412b9760dad3411bba37fa03da3e7850481991699a20b50735239c3b
django__django-11206	django__django	bm25	20	8	1	1	1.0	1	1	3678	4bd1cf28951f0575c88f2ea2883a526525d3604c67608eeeea76310266086744
django__django-11211	django__django	bm25	19	8	1	0	0.0	0	0	3976	089099b6ab631714748f01bf6fd640b57f6c5abb56765d8f130dace1f57baf2a
django__django-11239	django__django	bm25	19	8	1	0	0.0	0	0	3728	0ea21de768ede51878e76c48b22f6be2ec4869137e65e878e1aa4f284f4a13da
django__django-11265	django__django	bm25	20	2	2	1	0.5	1	0	3889	92b6c10b24f1d885d3cba801f2507e7971c82f53f7a337572f65089cb924e0a9
django__django-11276	django__django	bm25	20	6	4	2	0.5	1	0	2962	a4cc30d7f6ad326ab21b8263e3daaec6ca3545843792ac416a0d10400e353e1b
django__django-11292	django__django	bm25	20	8	4	1	0.25	1	0	3974	24c707eb325bfdeb2abe9b08288f6793723a440766edbe3e2c3ba44dfe5be03e
django__django-11299	django__django	bm25	12	6	1	0	0.0	0	0	3249	0795bad05db1dd433fbe8400845a415288da21f4bd6a30799e5590fc4399ca3b
django__django-11333	django__django	bm25	20	6	4	3	0.75	1	0	3011	9e4359a077607e026f1f2566b07e871e554661bfb44696f304fd661038831af9
django__django-11400	django__django	bm25	20	5	5	1	0.2	1	0	3879	afbd11f2cb3c02c7e8111559e1578bce5a895fbf511cc5a3056f4d26d251f070
django__django-11433	django__django	bm25	18	6	1	1	1.0	1	1	3536	d3f11e3a9e1f525a7cd855b769156c25b0c73bb3cdad60f53cb893f32ed3f6d3
django__django-11451	django__django	bm25	20	8	1	1	1.0	1	1	3692	1b9e11fabd095f0349d610a9439f8be6cf83732a449ab759122472bd72bcb12d
django__django-11477	django__django	bm25	17	8	1	0	0.0	0	0	3519	423485213407bb05685e6ac5da29c4810e569d3e54f0aaa654ed162d214ba83c
django__django-11490	django__django	bm25	19	6	1	0	0.0	0	0	3586	387dfa02bb8c4c2a94ae9f662bd27e89b1c0cf127de151d8a40b00757363e59a
django__django-11532	django__django	bm25	19	6	11	2	0.18181818181818182	1	0	3896	5d576031b667a44dacc7ed0e210f7072b7c1a4c8be7e443f488e13cf89f254e6
django__django-11551	django__django	bm25	20	3	1	1	1.0	1	1	3800	fc2da398d696f7ca184e491badfff13daa173bf3657b240af598179ea09d1b63
django__django-11555	django__django	bm25	16	6	1	1	1.0	1	1	3286	bf9fe96bb30589a203491aa00e6e2de091405617c56d0780ed89ef196df1f036
django__django-11603	django__django	bm25	20	3	1	1	1.0	1	1	2542	ecd14b9b09ef3e3d8b34cab2a7d8e392b75983c7823d7718afd7485d0e739902
django__django-11728	django__django	bm25	15	6	2	2	1.0	1	1	3890	deec4fa2e7511c9e8ee1cb65a03968f87ace0f77c831efc4b89cec6c62c3e75e
django__django-11734	django__django	bm25	18	6	4	1	0.25	1	0	3911	4e16ebae805dfffdbb2fdfc171c337c0badbed9f722e04f616efbb44681e2717
django__django-11740	django__django	bm25	13	2	1	1	1.0	1	1	3339	7a7f95109365b8b06215c8232a890045e47d9883e011abc699b61549758c9950
django__django-11749	django__django	bm25	20	4	1	1	1.0	1	1	3588	45e5476a9d9548dfe5920f40c6d6e4cfff1a1f84be246138f5d8bb2b752ee229
django__django-11790	django__django	bm25	16	7	1	1	1.0	1	1	3843	9eeafc8283b579d6ac75fda643d67979865648cb5403f2bff6e14a048f910e95
django__django-11815	django__django	bm25	19	8	1	1	1.0	1	1	3908	bc447f3a172ce0ae482b2937592d2ace1da93ad1e75aa6146c054b3ca3574663
django__django-11820	django__django	bm25	17	6	1	1	1.0	1	1	3722	983cc00aece953313a8332cc8dc13fc9175c8f02e2611251b29fa8fb91250a48
django__django-11848	django__django	bm25	20	5	1	1	1.0	1	1	3064	82c6216c1705caa6fa74ef866d1e28c0849f289aca730cd83a49d6bc87ebdc85
django__django-11880	django__django	bm25	20	4	1	0	0.0	0	0	3827	1dfc22b4aaa842685646eb781f069c604af757296bd69d36588bfde75a8e4c5c
django__django-11885	django__django	bm25	19	4	9	2	0.2222222222222222	1	0	3775	b976fab9335afd5b99a4a87aa5ec1647f3f2cc0f163e625bb4e2fea4ac8b302a
django__django-11951	django__django	bm25	20	6	1	0	0.0	0	0	3944	ac9f79368bb16bcb9f3b7e9ee0a3da9ef9219e776829b96e337d33c863b2dbbc
django__django-11964	django__django	bm25	20	2	1	0	0.0	0	0	3769	43f368926d5215623a2667baa3e813e96e08ee29d89b593f3010b564fb0daceb
django__django-11999	django__django	bm25	19	8	1	1	1.0	1	1	3714	4c28361e17b7fc78c9d2aeefa84e505c4ac606d17bbd08fadfc396c1b564cadf
django__django-12039	django__django	bm25	20	8	2	1	0.5	1	0	3754	243473fde52dcb4f4470703d2e449b155650f11114a9350153697509053891e9
django__django-12050	django__django	bm25	19	8	1	1	1.0	1	1	3970	ddc925005fe08f3f334c00615461ca9a18882fbbae1dfd9c9c2bb59a84496829
django__django-12125	django__django	bm25	19	6	1	1	1.0	1	1	3991	078dcffc3a780d9758afe6d33d42c2715762baf186f30af06f0ef522a8fe3c64
django__django-12143	django__django	bm25	20	7	1	1	1.0	1	1	3626	42b9819fb614e480b9a29901fa77b3cbb1bf93e4e5b42ec4e5311cbd29db0e4b
django__django-12155	django__django	bm25	20	8	5	3	0.6	1	0	3625	bf427ac584b09d0b582cd20915148ec51c58cfe53f603d2e0e458fbce4b01aa2
django__django-12193	django__django	bm25	20	4	1	1	1.0	1	1	3638	6ff6d3432ea977775d7f2f1697cb64c0de34d1fe1f94d8a5c11a9efe3f91df53
django__django-12209	django__django	bm25	20	8	1	0	0.0	0	0	3956	6496ff3d912ff9b4e19f1522f348b57ccdaca5ef4fc880d2613d41bc45e5bf60
django__django-12262	django__django	bm25	19	7	1	0	0.0	0	0	3989	489a4bdaef9db848635ca899c57790ef54aa4e16e9c33fe3a33a95580fb364fe
django__django-12273	django__django	bm25	17	6	1	0	0.0	0	0	3575	465452a03f424c8ee91b0f1a22bded9e75fbf9f6f9bad173c1420c9ce4ffea27
django__django-12276	django__django	bm25	20	4	2	2	1.0	1	1	3774	40b7730cf915c781bea88fe96855c614b57d225d9c14c8266bdf61512ff93367
django__django-12304	django__django	bm25	17	4	1	0	0.0	0	0	3956	5a2fe0c9cdc5cbeeb91eadafa2a9def85f6eed2fad13f4553621638dd3cc9a65
django__django-12308	django__django	bm25	16	6	1	1	1.0	1	1	3338	cbba3fa2b00ed600f8aeb9aa5c4b68bc9cb50e7929112463e3ae4e8eda1f6078
django__django-12325	django__django	bm25	19	4	3	2	0.6666666666666666	1	0	3592	970f38d8898041b36c9130b122338ae15dafcb100eb0b0c004c29240bd203258
django__django-12406	django__django	bm25	20	4	3	2	0.6666666666666666	1	0	3864	2fa6adacbb4b23b39ce437cb86a23b363f2e5bc1b233ba8f543de7314b50a26b
django__django-12419	django__django	bm25	16	6	1	0	0.0	0	0	3871	2b2cac98bbdbd1b7ad07b527e44e5e9f448f75e3c75ae1386416068be208d250
django__django-12663	django__django	bm25	19	6	1	0	0.0	0	0	3885	c1da077f8c94d7dc379f8d6e1e3bce5c2a24c490934a6f94142a0a8f2a87b3a7
django__django-12708	django__django	bm25	17	7	1	1	1.0	1	1	3403	d4cb175b6ad8209c417d06a9d7afb23b1321a6313f6b4d04b9cef0398cbbd724
django__django-12713	django__django	bm25	19	8	1	1	1.0	1	1	3963	30b7b077eebbc77409d3f99b5fec90f26b05db653958f8c8022b1a83cd2985ae
django__django-12741	django__django	bm25	15	7	2	2	1.0	1	1	2874	6b35c39a737429080e4bb5d66f94da2ba6221de5675e8d05d9fb3eb16e6edfe8
django__django-12754	django__django	bm25	18	6	1	0	0.0	0	0	3787	d109cb878c04c30e5bf2be74ea3021acad0117e2d00e1c595043f23206c4a725
django__django-12774	django__django	bm25	20	4	1	1	1.0	1	1	3517	1afd197f9f94cef0edebc3cdafaa058ce2a85235d4595fb0e069e186ddbd81e5
django__django-12858	django__django	bm25	17	8	1	1	1.0	1	1	3967	8e984b589b11bf8f8c8ea53299725467c055c674ee893a05a7adb99e706ccc66
django__django-12965	django__django	bm25	18	2	1	0	0.0	0	0	3696	4472925c90faf421051faf4a94e6e84cf7e4dcf94e6fd64333da84d06f642b8d
django__django-13012	django__django	bm25	19	6	1	1	1.0	1	1	3579	596e342b78a84624d45cd453a330d888fa7ca402802f1ff7384a7d46612d4c67
django__django-13023	django__django	bm25	20	6	1	1	1.0	1	1	3578	fb7265b56454eaabb2b5ecc862f9e434bd86f641fafa2ed5fb373818014c2bf3
django__django-13028	django__django	bm25	20	6	1	1	1.0	1	1	3914	39b2beb80f0d541428c2dfeb8a6fe1025ea310926464adf37007ad8bad520d50
django__django-13033	django__django	bm25	18	2	1	0	0.0	0	0	3642	98ead444d9424d6a16907d4d5fb40a6aead7140b0e22a0f293c004642de37944
django__django-13089	django__django	bm25	20	8	1	1	1.0	1	1	3365	a6844f5cb6239b0f658436a284ac4200bed5bea341cb120b962be4a8c51fd59f
django__django-13109	django__django	bm25	15	2	1	1	1.0	1	1	3959	20f82201225bd19115978dd69ddd017dad3f78c9b77009a7c397806c790e5a24
django__django-13112	django__django	bm25	4	2	1	0	0.0	0	0	3637	2dcdb1f025b82570eb6cad2f7f376aeb5cb38b24ad3dd574bccad69c3192d6ea
django__django-13121	django__django	bm25	18	8	11	4	0.36363636363636365	1	0	3335	efa3fc2f9e88fb0a4e54d16cc7a42c3b035c5b06d0cd35cc9c2d950f767af892
django__django-13128	django__django	bm25	17	4	3	1	0.3333333333333333	1	0	2836	058dc34a6dc4c2467649a0daefa0b4a39fbe0c0a133e82e36b7f01bb368daf04
django__django-13158	django__django	bm25	20	8	2	0	0.0	0	0	3468	d998e0e1d54ff0f0f846b6a3b04e0a048285d47e3f42ac14786680b9ef5635d2
django__django-13195	django__django	bm25	20	2	3	1	0.3333333333333333	1	0	3776	48dbbebaa1ad3112f89bb774c561e1ccd495e29d8de64a04fd62d5d805e853a0
django__django-13212	django__django	bm25	10	4	11	2	0.18181818181818182	1	0	1873	5dc11f1e9a968b52abf37bb02ed78338c6b78620ef352d3a838e4f75323e8741
django__django-13279	django__django	bm25	17	7	2	2	1.0	1	1	3079	f1ddde7fcf6ed80bbbd0e0d5468b91fd4345b3f0a70296c21ea5ee063e0663d4
django__django-13297	django__django	bm25	20	6	2	1	0.5	1	0	3693	7a4a6f8bd8e0b9abcc1a55106f30506e894ca18f3d28afd70bd3afa389762653
django__django-13315	django__django	bm25	18	6	1	0	0.0	0	0	3677	363921d29288a1a59b57d42c3007a1cd1aa9ea45bbf3ab07cc4560f24a271780
django__django-13343	django__django	bm25	20	5	2	1	0.5	1	0	3936	ad2fc1aadb4e689a041e42a60067e1d939a949fe3eb152d7c52824e42c4fed96
django__django-13344	django__django	bm25	16	6	5	0	0.0	0	0	3602	080a5a800d394868a66a0642b8497961ff7e6c87fdef83496c7950e59ad762c1
django__django-13346	django__django	bm25	15	7	1	1	1.0	1	1	3316	f8b0f92e9213acb20666d2cb4e2d74942347cc6505d0b2707c7cb4a0abf0df00
django__django-13363	django__django	bm25	16	8	2	2	1.0	1	1	3904	0472a960699e44b47f705e004960df0e0d8bfc7e403e852b73fbba2432d49563
django__django-13401	django__django	bm25	20	8	3	2	0.6666666666666666	1	0	3997	4b55a5fa02f9ec0db0c32551ea1a4b2562a7088372fe77b18099578e090f35d9
django__django-13406	django__django	bm25	17	7	1	0	0.0	0	0	3940	70da68ba4b704703534b684b0b15c2df4dde59b4defd98d97fa05c58525dea88
django__django-13410	django__django	bm25	18	7	1	1	1.0	1	1	3866	58f6644d12e2b779d42c0ed22a29a4a465e71463b5e7974a52f210f49911d033
django__django-13417	django__django	bm25	18	8	1	1	1.0	1	1	3304	420831f180ad54fecee5d16381560aad50d5046ea4840174dad99d1def4f4e7c
django__django-13449	django__django	bm25	8	2	1	1	1.0	1	1	3907	dda80e03159a1b004fa8ea012b1c7626ae314ebaf23fc161d1da379d324a9119
django__django-13512	django__django	bm25	18	6	3	2	0.6666666666666666	1	0	3717	eb86b6e0e860433909ed5409bb76e64ab551898a5fbbb043fa38c29894fcbc53
django__django-13513	django__django	bm25	20	6	2	2	1.0	1	1	3698	7429dd586b0a41d70eb4b207c2133dbe3764cee5ff7257b77f3bca953b27fdbb
django__django-13516	django__django	bm25	18	8	1	1	1.0	1	1	3938	92d6392df877c3e19350754648a77698b997d75bd924570b43872931e860b31c
django__django-13551	django__django	bm25	16	6	1	1	1.0	1	1	3672	e25d8349e538e5ee0b9d671d8daf0fb173dc06457b8b6fa277ab4255dd31a9ec
django__django-13568	django__django	bm25	20	2	1	1	1.0	1	1	3824	92f14fe9561dca5513639a753a5da1bc090546aa7cca71e59004bc1b5ca6ab17
