baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
GLM_Dense	GLM_BM25_Dense	file_hit	-0.600000	-1.915739	0.294583	4	7	0.548828125
GLM_Dense	GLM_BM25_Dense	target_coverage	-0.853167	-2.564103	0.937376	NA	NA	NA
GLM_Dense	GLM_BM25_Dense	hit	-0.800000	-2.281369	0.000000	9	13	0.523467063904
GLM_Dense	GLM_BM25_Dense	mrr	0.013566	-0.189034	0.117814	NA	NA	NA
GLM_Dense	GLM_BM25_Dense	complete	-1.000000	-3.214286	2.413031	13	18	0.473129659891
GLM_Dense	GLM_Structural_Dense	file_hit	-0.200000	-2.416918	1.094991	3	4	1
GLM_Dense	GLM_Structural_Dense	target_coverage	-0.148853	-2.169350	2.115080	NA	NA	NA
GLM_Dense	GLM_Structural_Dense	hit	-0.800000	-3.030512	1.020460	10	14	0.541256189346
GLM_Dense	GLM_Structural_Dense	mrr	0.308833	-0.226899	0.525741	NA	NA	NA
GLM_Dense	GLM_Structural_Dense	complete	0.200000	-2.343750	2.849206	16	15	1
GLM_Dense	GLM_MURAL	file_hit	-0.200000	-1.711512	1.411122	5	6	1
GLM_Dense	GLM_MURAL	target_coverage	-0.383730	-1.583255	1.769928	NA	NA	NA
GLM_Dense	GLM_MURAL	hit	-0.200000	-1.138021	2.105374	14	15	1
GLM_Dense	GLM_MURAL	mrr	0.361218	-0.004699	0.526804	NA	NA	NA
GLM_Dense	GLM_MURAL	complete	-0.400000	-2.114818	2.841025	16	18	0.864166240441
GLM_Structural_Dense	GLM_MURAL	file_hit	0.000000	-0.655748	1.388889	5	5	1
GLM_Structural_Dense	GLM_MURAL	target_coverage	-0.234877	-1.330169	1.548605	NA	NA	NA
GLM_Structural_Dense	GLM_MURAL	hit	0.600000	-0.286533	3.323284	7	4	0.548828125
GLM_Structural_Dense	GLM_MURAL	mrr	0.052385	-0.032342	0.290907	NA	NA	NA
GLM_Structural_Dense	GLM_MURAL	complete	-0.600000	-1.398624	1.449275	5	8	0.5810546875
