baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
BM25_t4000	MURAL_t4000	file_hit	10.800000	8.244229	16.517954	64	10	8.95742358122e-11
BM25_t4000	MURAL_t4000	target_coverage	8.636746	5.710880	9.947433	NA	NA	NA
BM25_t4000	MURAL_t4000	hit	10.400000	7.894737	13.114754	60	8	5.74776093149e-11
BM25_t4000	MURAL_t4000	mrr	7.110424	4.496537	8.741883	NA	NA	NA
BM25_t4000	MURAL_t4000	complete	7.400000	3.463203	9.134615	44	7	1.21152574195e-07
Dense_t4000	BM25_Dense_t4000	file_hit	-2.000000	-7.364369	0.902290	22	32	0.220328494177
Dense_t4000	BM25_Dense_t4000	target_coverage	-1.577864	-3.344376	0.362869	NA	NA	NA
Dense_t4000	BM25_Dense_t4000	hit	-2.200000	-4.093617	-0.880961	16	27	0.126289474385
Dense_t4000	BM25_Dense_t4000	mrr	0.278551	-1.606175	1.651338	NA	NA	NA
Dense_t4000	BM25_Dense_t4000	complete	-0.800000	-2.388119	1.634009	22	26	0.665465812077
Dense_t4000	Structural_Dense_t4000	file_hit	-0.400000	-2.553191	3.463203	26	28	0.891923151105
Dense_t4000	Structural_Dense_t4000	target_coverage	1.161732	-2.301499	2.866321	NA	NA	NA
Dense_t4000	Structural_Dense_t4000	hit	0.200000	-3.272754	2.056565	25	24	1
Dense_t4000	Structural_Dense_t4000	mrr	3.653213	0.609808	6.116924	NA	NA	NA
Dense_t4000	Structural_Dense_t4000	complete	1.600000	-2.369950	3.521167	28	20	0.312326807473
Dense_t4000	MURAL_t4000	file_hit	-0.600000	-4.702441	5.263738	31	34	0.804317000193
Dense_t4000	MURAL_t4000	target_coverage	1.335945	-1.012459	3.783097	NA	NA	NA
Dense_t4000	MURAL_t4000	hit	1.200000	-1.234663	4.147513	29	23	0.48845566938
Dense_t4000	MURAL_t4000	mrr	3.401112	0.257841	5.674567	NA	NA	NA
Dense_t4000	MURAL_t4000	complete	2.000000	0.000000	4.081633	35	25	0.245060833023
Structural_Dense_t4000	MURAL_t4000	file_hit	-0.200000	-2.564103	2.216220	22	23	1
Structural_Dense_t4000	MURAL_t4000	target_coverage	0.174214	-0.917646	2.814639	NA	NA	NA
Structural_Dense_t4000	MURAL_t4000	hit	1.000000	-0.369726	4.368998	20	15	0.499559833203
Structural_Dense_t4000	MURAL_t4000	mrr	-0.252101	-1.712511	1.262456	NA	NA	NA
Structural_Dense_t4000	MURAL_t4000	complete	0.400000	-0.775194	3.169014	19	17	0.867939400428
