baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
BM25	MURAL	file_hit	9.400000	6.544481	13.768175	54	7	4.32210722073e-10
BM25	MURAL	target_coverage	8.312302	4.090335	9.761493	NA	NA	NA
BM25	MURAL	hit	9.400000	6.093034	10.628067	53	6	1.75391874635e-10
BM25	MURAL	mrr	6.855128	4.036049	8.376187	NA	NA	NA
BM25	MURAL	complete	7.400000	2.714932	9.286533	41	4	9.33488308874e-09
Dense	BM25_Dense	file_hit	-2.200000	-6.557584	-0.490978	20	31	0.160779601812
Dense	BM25_Dense	target_coverage	-0.399372	-3.436989	0.685330	NA	NA	NA
Dense	BM25_Dense	hit	-0.600000	-3.724973	0.650468	22	25	0.770866994573
Dense	BM25_Dense	mrr	0.344716	-1.519854	1.644578	NA	NA	NA
Dense	BM25_Dense	complete	0.000000	-3.000000	1.214606	24	24	1
Dense	Structural_Dense	file_hit	-1.400000	-5.179430	1.702218	18	25	0.360377652936
Dense	Structural_Dense	target_coverage	2.508925	-1.620243	4.096186	NA	NA	NA
Dense	Structural_Dense	hit	2.000000	-1.742160	3.757234	31	21	0.211608568762
Dense	Structural_Dense	mrr	3.691953	0.601685	6.142987	NA	NA	NA
Dense	Structural_Dense	complete	2.600000	-1.970524	4.221991	34	21	0.104789482427
Dense	MURAL	file_hit	-0.600000	-4.130520	3.376749	25	28	0.783846302209
Dense	MURAL	target_coverage	2.502215	-0.412744	3.697176	NA	NA	NA
Dense	MURAL	hit	2.800000	0.530469	3.916464	33	19	0.0703942210671
Dense	MURAL	mrr	3.435881	0.256692	5.660738	NA	NA	NA
Dense	MURAL	complete	2.600000	-0.549526	3.758024	36	23	0.117477350245
BM25_Structural	MURAL	file_hit	6.000000	4.255200	9.322083	33	3	2.27213604376e-07
BM25_Structural	MURAL	target_coverage	3.230260	-0.432922	5.170742	NA	NA	NA
BM25_Structural	MURAL	hit	4.000000	1.327360	6.644676	31	11	0.00288724797429
BM25_Structural	MURAL	mrr	3.014075	0.361405	4.565180	NA	NA	NA
BM25_Structural	MURAL	complete	2.800000	-0.793810	4.465730	24	10	0.0243065101095
