approach	instance_id	repository	candidate_count	target_count	matched_target_count	first_rank	file_hit	target_coverage	hit	mrr	complete
Issue	astropy__astropy-12907	astropy__astropy	5	1	1	3	1	1.0	1	0.3333333333333333	1
Issue	astropy__astropy-13033	astropy__astropy	5	1	1	2	1	1.0	1	0.5	1
Issue	astropy__astropy-13236	astropy__astropy	5	1	0	0	1	0.0	0	0.0	0
Issue	astropy__astropy-13398	astropy__astropy	5	8	1	1	1	0.125	1	1.0	0
Issue	astropy__astropy-13453	astropy__astropy	5	1	1	1	1	1.0	1	1.0	1
Issue	astropy__astropy-13579	astropy__astropy	5	1	0	0	0	0.0	0	0.0	0
Issue	astropy__astropy-13977	astropy__astropy	3	1	1	1	1	1.0	1	1.0	1
Issue	astropy__astropy-14096	astropy__astropy	1	1	1	1	1	1.0	1	1.0	1
Issue	astropy__astropy-14182	astropy__astropy	5	4	3	1	1	0.75	1	1.0	0
Issue	astropy__astropy-14309	astropy__astropy	2	1	1	1	1	1.0	1	1.0	1
Issue	astropy__astropy-14365	astropy__astropy	5	2	0	0	1	0.0	0	0.0	0
Issue	astropy__astropy-14369	astropy__astropy	5	5	0	0	1	0.0	0	0.0	0
Issue	astropy__astropy-14508	astropy__astropy	5	1	1	1	1	1.0	1	1.0	1
Issue	astropy__astropy-14539	astropy__astropy	0	1	0	0	0	0.0	0	0.0	0
Issue	astropy__astropy-14598	astropy__astropy	5	2	1	4	1	0.5	1	0.25	0
Issue	astropy__astropy-14995	astropy__astropy	5	1	1	3	1	1.0	1	0.3333333333333333	1
Issue	astropy__astropy-7166	astropy__astropy	5	2	1	1	1	0.5	1	1.0	0
Issue	astropy__astropy-7336	astropy__astropy	2	1	0	0	1	0.0	0	0.0	0
Issue	astropy__astropy-7606	astropy__astropy	1	2	1	1	1	0.5	1	1.0	0
Issue	astropy__astropy-7671	astropy__astropy	1	2	2	1	1	1.0	1	1.0	1
Issue	astropy__astropy-8707	astropy__astropy	4	3	2	1	1	0.6666666666666666	1	1.0	0
