baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
CoSIL	CoSIL+MURAL	target_coverage	15.896912	12.579652	17.481513			
CoSIL	CoSIL+MURAL	hit	16.200000	13.025210	19.133630	81	0	8.27180612553e-25
CoSIL	CoSIL+MURAL	complete	14.200000	10.402617	16.064290	71	0	8.47032947254e-22
Agentless	Agentless+MURAL	target_coverage	26.819553	20.554550	29.214193			
Agentless	Agentless+MURAL	hit	28.800000	23.845855	32.347285	144	0	8.96831017168e-44
Agentless	Agentless+MURAL	complete	23.600000	16.349718	26.178050	118	0	6.01853107621e-36
LocAgent	LocAgent+MURAL	target_coverage	15.348442	10.210482	18.793193			
LocAgent	LocAgent+MURAL	hit	16.400000	12.127606	21.090047	82	0	4.13590306277e-25
LocAgent	LocAgent+MURAL	complete	13.400000	8.129875	16.107434	67	0	1.35525271561e-20
OrcaLoca	OrcaLoca+MURAL	target_coverage	48.111320	34.545178	54.458768			
OrcaLoca	OrcaLoca+MURAL	hit	56.000000	45.599896	61.117791	280	0	1.02951151789e-84
OrcaLoca	OrcaLoca+MURAL	complete	41.400000	26.279647	48.144040	207	0	9.72346137166e-63
