approach	instance_id	repository	candidate_count	target_count	matched_target_count	first_rank	file_hit	target_coverage	hit	mrr	complete
BM25_entities	astropy__astropy-12907	astropy__astropy	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	astropy__astropy-13033	astropy__astropy	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	astropy__astropy-13236	astropy__astropy	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	astropy__astropy-13398	astropy__astropy	20	8	0	0	0	0.0	0	0.0	0
BM25_entities	astropy__astropy-13453	astropy__astropy	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	astropy__astropy-13579	astropy__astropy	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	astropy__astropy-13977	astropy__astropy	20	1	1	2	1	1.0	1	0.5	1
BM25_entities	astropy__astropy-14096	astropy__astropy	20	1	1	2	1	1.0	1	0.5	1
BM25_entities	astropy__astropy-14182	astropy__astropy	20	4	0	0	0	0.0	0	0.0	0
BM25_entities	astropy__astropy-14309	astropy__astropy	20	1	1	2	1	1.0	1	0.5	1
BM25_entities	astropy__astropy-14365	astropy__astropy	20	2	1	1	1	0.5	1	1.0	0
BM25_entities	astropy__astropy-14369	astropy__astropy	20	5	1	2	1	0.2	1	0.5	0
BM25_entities	astropy__astropy-14508	astropy__astropy	20	1	1	7	1	1.0	1	0.14285714285714285	1
BM25_entities	astropy__astropy-14539	astropy__astropy	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	astropy__astropy-14598	astropy__astropy	20	2	0	0	1	0.0	0	0.0	0
BM25_entities	astropy__astropy-14995	astropy__astropy	20	1	1	2	1	1.0	1	0.5	1
BM25_entities	astropy__astropy-7166	astropy__astropy	20	2	2	1	1	1.0	1	1.0	1
BM25_entities	astropy__astropy-7336	astropy__astropy	20	1	1	13	1	1.0	1	0.07692307692307693	1
BM25_entities	astropy__astropy-7606	astropy__astropy	20	2	2	2	1	1.0	1	0.5	1
BM25_entities	astropy__astropy-7671	astropy__astropy	20	2	2	1	1	1.0	1	1.0	1
BM25_entities	astropy__astropy-8707	astropy__astropy	20	3	1	3	1	0.3333333333333333	1	0.3333333333333333	0
BM25_entities	astropy__astropy-8872	astropy__astropy	20	2	2	12	1	1.0	1	0.08333333333333333	1
BM25_entities	django__django-10097	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-10554	django__django	20	2	1	5	1	0.5	1	0.2	0
BM25_entities	django__django-10880	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-10914	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-10973	django__django	20	3	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-10999	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11066	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11087	django__django	20	3	3	3	1	1.0	1	0.3333333333333333	1
BM25_entities	django__django-11095	django__django	20	2	2	1	1	1.0	1	1.0	1
BM25_entities	django__django-11099	django__django	20	2	2	6	1	1.0	1	0.16666666666666666	1
BM25_entities	django__django-11119	django__django	20	1	1	9	1	1.0	1	0.1111111111111111	1
BM25_entities	django__django-11133	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11138	django__django	20	14	1	14	1	0.07142857142857142	1	0.07142857142857142	0
BM25_entities	django__django-11141	django__django	20	1	1	2	1	1.0	1	0.5	1
BM25_entities	django__django-11149	django__django	20	5	4	6	1	0.8	1	0.16666666666666666	0
BM25_entities	django__django-11163	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11179	django__django	20	1	1	3	1	1.0	1	0.3333333333333333	1
BM25_entities	django__django-11206	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11211	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-11239	django__django	20	1	1	3	1	1.0	1	0.3333333333333333	1
BM25_entities	django__django-11265	django__django	20	2	1	3	1	0.5	1	0.3333333333333333	0
BM25_entities	django__django-11276	django__django	20	4	2	1	1	0.5	1	1.0	0
BM25_entities	django__django-11292	django__django	20	4	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-11299	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-11333	django__django	20	4	2	10	1	0.5	1	0.1	0
BM25_entities	django__django-11400	django__django	20	5	2	2	1	0.4	1	0.5	0
BM25_entities	django__django-11433	django__django	20	1	1	5	1	1.0	1	0.2	1
BM25_entities	django__django-11451	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11477	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25_entities	django__django-11490	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11532	django__django	20	11	3	1	1	0.2727272727272727	1	1.0	0
BM25_entities	django__django-11551	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11555	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-11603	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11728	django__django	20	2	2	1	1	1.0	1	1.0	1
BM25_entities	django__django-11734	django__django	20	4	1	2	1	0.25	1	0.5	0
BM25_entities	django__django-11740	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-11749	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11790	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25_entities	django__django-11815	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-11820	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11848	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11880	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-11885	django__django	20	9	5	1	1	0.5555555555555556	1	1.0	0
BM25_entities	django__django-11951	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-11964	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-11999	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-12039	django__django	20	2	1	5	1	0.5	1	0.2	0
BM25_entities	django__django-12050	django__django	20	1	1	9	1	1.0	1	0.1111111111111111	1
BM25_entities	django__django-12125	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-12143	django__django	20	1	1	2	1	1.0	1	0.5	1
BM25_entities	django__django-12155	django__django	20	5	2	1	1	0.4	1	1.0	0
BM25_entities	django__django-12193	django__django	20	1	1	4	1	1.0	1	0.25	1
BM25_entities	django__django-12209	django__django	20	1	1	20	1	1.0	1	0.05	1
BM25_entities	django__django-12262	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-12273	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-12276	django__django	20	2	2	1	1	1.0	1	1.0	1
BM25_entities	django__django-12304	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-12308	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-12325	django__django	20	3	2	12	1	0.6666666666666666	1	0.08333333333333333	0
BM25_entities	django__django-12406	django__django	20	3	1	1	1	0.3333333333333333	1	1.0	0
BM25_entities	django__django-12419	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-12663	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-12708	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-12713	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-12741	django__django	20	2	2	1	1	1.0	1	1.0	1
BM25_entities	django__django-12754	django__django	20	1	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-12774	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-12858	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-12965	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-13012	django__django	20	1	1	10	1	1.0	1	0.1	1
BM25_entities	django__django-13023	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-13028	django__django	20	1	1	5	1	1.0	1	0.2	1
BM25_entities	django__django-13033	django__django	20	1	1	8	1	1.0	1	0.125	1
BM25_entities	django__django-13089	django__django	20	1	1	1	1	1.0	1	1.0	1
BM25_entities	django__django-13109	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-13112	django__django	20	1	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-13121	django__django	20	11	3	2	1	0.2727272727272727	1	0.5	0
BM25_entities	django__django-13128	django__django	20	3	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-13158	django__django	20	2	0	0	1	0.0	0	0.0	0
BM25_entities	django__django-13195	django__django	20	3	3	1	1	1.0	1	1.0	1
BM25_entities	django__django-13212	django__django	20	11	1	7	1	0.09090909090909091	1	0.14285714285714285	0
BM25_entities	django__django-13279	django__django	20	2	0	0	0	0.0	0	0.0	0
BM25_entities	django__django-13297	django__django	20	2	0	0	0	0.0	0	0.0	0
