baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
BM25_entities	BM25_projection	file_hit	-3.400000	-5.614997	1.509577	15	32	0.018623836615
BM25_entities	BM25_projection	target_coverage	2.085476	-3.261846	7.323401			
BM25_entities	BM25_projection	mrr	-1.042033	-4.501095	4.394389			
BM25_entities	BM25_projection	hit	0.600000	-5.200000	4.466523	60	57	0.853408445896
BM25_entities	BM25_projection	complete	2.000000	-2.496197	8.130179	63	53	0.403469699655
Structural_entities	Structural_adapter	file_hit	3.600000	1.052563	5.291005	19	1	4.00543212891e-05
Structural_entities	Structural_adapter	target_coverage	5.614935	0.693073	7.579940			
Structural_entities	Structural_adapter	mrr	2.416559	0.999691	2.962800			
Structural_entities	Structural_adapter	hit	6.400000	1.881699	8.342603	35	3	6.6778738983e-08
Structural_entities	Structural_adapter	complete	5.000000	-0.404858	7.185647	35	10	0.000247087784601
BM25_projection	MURAL	file_hit	9.400000	6.544481	13.768175	54	7	4.32210722073e-10
BM25_projection	MURAL	target_coverage	8.312302	4.090335	9.761493			
BM25_projection	MURAL	mrr	6.855128	4.036049	8.376187			
BM25_projection	MURAL	hit	9.400000	6.093034	10.628067	53	6	1.75391874635e-10
BM25_projection	MURAL	complete	7.400000	2.714932	9.286533	41	4	9.33488308874e-09
Dense_projection	MURAL	file_hit	-0.600000	-4.130520	3.376749	25	28	0.783846302209
Dense_projection	MURAL	target_coverage	2.502215	-0.412744	3.697176			
Dense_projection	MURAL	mrr	3.435881	0.256692	5.660738			
Dense_projection	MURAL	hit	2.800000	0.530469	3.916464	33	19	0.0703942210671
Dense_projection	MURAL	complete	2.600000	-0.549526	3.758024	36	23	0.117477350245
MURAL_2src	MURAL	file_hit	6.000000	4.255200	9.322083	33	3	2.27213604376e-07
MURAL_2src	MURAL	target_coverage	3.230260	-0.432922	5.170742			
MURAL_2src	MURAL	mrr	3.014075	0.361405	4.565180			
MURAL_2src	MURAL	hit	4.000000	1.327360	6.644676	31	11	0.00288724797429
MURAL_2src	MURAL	complete	2.800000	-0.793810	4.465730	24	10	0.0243065101095
GLM5_BM25	GLM5_MURAL	file_hit	1.000000	0.303490	2.622951	7	2	0.1796875
GLM5_BM25	GLM5_MURAL	target_coverage	1.335952	-0.340398	3.786265			
GLM5_BM25	GLM5_MURAL	mrr	0.552946	0.260860	0.732796			
GLM5_BM25	GLM5_MURAL	hit	0.800000	-0.450450	3.608294	14	10	0.541256189346
GLM5_BM25	GLM5_MURAL	complete	1.800000	-0.492641	4.693334	16	7	0.0931396484375
