approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
BM25_entities	500	20	20.000000	77.000000	47.190685	32.137738	57.200000	40.200000
BM25_projection	500	20	20.000000	73.600000	49.251162	31.018626	57.800000	42.200000
BLUiR	500	20	20.000000	55.600000	46.747374	38.173165	52.400000	41.800000
CodeGraph	500	20	19.894000	63.600000	43.747410	30.567485	52.000000	38.600000
Structural_entities	500	20	16.722000	55.600000	41.000729	29.021325	46.200000	37.000000
Structural_adapter	500	20	16.892000	59.200000	46.615664	31.437884	52.600000	42.000000
Dense_projection	500	20	20.000000	83.600000	55.086248	34.514952	64.400000	47.000000
MURAL_2src	500	20	20.000000	77.000000	54.249870	35.060474	63.200000	46.600000
MURAL	500	20	20.000000	83.000000	57.588463	37.950833	67.200000	49.600000
GLM5	500	20	6.284000	87.400000	54.306883	55.257309	66.600000	45.000000
GLM5_BM25	500	20	20.000000	94.200000	68.470043	57.958244	79.000000	59.400000
GLM5_MURAL2	500	20	20.000000	94.600000	69.881840	58.501354	79.200000	61.400000
GLM5_MURAL	500	20	20.000000	95.200000	69.805996	58.511191	79.800000	61.200000
