baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
OwnRemaining	MURAL	file_hit	7.800000	4.567663	14.919505	39	0	3.63797880709e-12
OwnRemaining	MURAL	target_coverage	15.499113	12.913176	18.056345			
OwnRemaining	MURAL	mrr	3.244358	2.450843	4.134460			
OwnRemaining	MURAL	hit	13.200000	11.378181	16.724770	66	0	2.71050543121e-20
OwnRemaining	MURAL	complete	16.200000	13.405704	18.390901	81	0	8.27180612553e-25
SameFileNeighbors	MURAL	file_hit	8.200000	5.177943	14.919505	41	0	9.09494701773e-13
SameFileNeighbors	MURAL	target_coverage	4.835354	-1.324417	8.657851			
SameFileNeighbors	MURAL	mrr	2.202200	1.128157	3.406851			
SameFileNeighbors	MURAL	hit	5.000000	0.480769	9.677698	45	20	0.00262637681068
SameFileNeighbors	MURAL	complete	4.600000	-2.236621	8.728471	52	29	0.01399947372
StableRandom	MURAL	file_hit	3.200000	1.199606	8.148307	18	2	0.000402450561523
StableRandom	MURAL	target_coverage	14.299820	11.540260	17.043626			
StableRandom	MURAL	mrr	3.042295	2.212896	3.697380			
StableRandom	MURAL	hit	12.000000	10.139820	14.960702	61	1	2.73218947466e-17
StableRandom	MURAL	complete	15.400000	12.469390	17.922233	77	0	1.32348898008e-23
FileSourceOrder	MURAL	file_hit	5.000000	3.162965	9.567938	28	3	4.64916229248e-06
FileSourceOrder	MURAL	target_coverage	10.428795	6.981451	13.120109			
FileSourceOrder	MURAL	mrr	2.238080	1.151017	2.937278			
FileSourceOrder	MURAL	hit	8.800000	6.066388	11.306077	49	5	3.89138832269e-10
FileSourceOrder	MURAL	complete	10.800000	6.666185	13.274384	62	8	1.82676525409e-11
WithinFileBM25	MURAL	file_hit	5.000000	3.162965	9.567938	28	3	4.64916229248e-06
WithinFileBM25	MURAL	target_coverage	6.857525	3.674007	10.135321			
WithinFileBM25	MURAL	mrr	0.956769	-0.015032	1.755525			
WithinFileBM25	MURAL	hit	6.200000	3.816612	9.125475	40	9	9.26354640995e-06
WithinFileBM25	MURAL	complete	6.800000	3.100637	9.565217	46	12	8.21966396333e-06
EqualRoundRobin	MURAL	file_hit	-0.400000	-2.578902	1.869378	6	8	0.79052734375
EqualRoundRobin	MURAL	target_coverage	5.003218	2.375934	7.538643			
EqualRoundRobin	MURAL	mrr	0.362053	-0.901195	1.277012			
EqualRoundRobin	MURAL	hit	2.200000	-0.297641	4.245534	29	18	0.143865088441
EqualRoundRobin	MURAL	complete	6.400000	4.273428	8.664260	47	15	5.77837200492e-05
BM25Projection	MURAL	file_hit	1.000000	0.303490	2.622951	7	2	0.1796875
BM25Projection	MURAL	target_coverage	1.335952	-0.340398	3.786265			
BM25Projection	MURAL	mrr	0.552946	0.260860	0.732796			
BM25Projection	MURAL	hit	0.800000	-0.450450	3.608294	14	10	0.541256189346
BM25Projection	MURAL	complete	1.800000	-0.492641	4.693334	16	7	0.0931396484375
DenseProjection	MURAL	file_hit	-0.200000	-1.711512	1.411122	5	6	1
DenseProjection	MURAL	target_coverage	-0.383730	-1.583255	1.769928			
DenseProjection	MURAL	mrr	0.361218	-0.004699	0.526804			
DenseProjection	MURAL	hit	-0.200000	-1.138021	2.105374	14	15	1
DenseProjection	MURAL	complete	-0.400000	-2.114818	2.841025	16	18	0.864166240441
