analysis	repository	N	bm25_hit	mural_hit	delta_hit	bm25_complete	mural_complete	delta_complete	wins	losses
repository	astropy__astropy	22	59.090909	68.181818	9.090909	45.454545	54.545455	9.090909	2	0
repository	django__django	231	61.471861	71.861472	10.389610	46.753247	57.142857	10.389610	28	4
repository	matplotlib__matplotlib	34	47.058824	55.882353	8.823529	38.235294	38.235294	0.000000	4	1
repository	mwaskom__seaborn	2	50.000000	100.000000	50.000000	0.000000	0.000000	0.000000	1	0
repository	pallets__flask	1	100.000000	100.000000	0.000000	100.000000	100.000000	0.000000	0	0
repository	psf__requests	8	62.500000	62.500000	0.000000	62.500000	62.500000	0.000000	0	0
repository	pydata__xarray	22	59.090909	63.636364	4.545455	45.454545	50.000000	4.545455	1	0
repository	pylint-dev__pylint	10	50.000000	50.000000	0.000000	20.000000	20.000000	0.000000	0	0
repository	pytest-dev__pytest	19	63.157895	63.157895	0.000000	31.578947	31.578947	0.000000	0	0
repository	scikit-learn__scikit-learn	32	59.375000	65.625000	6.250000	34.375000	37.500000	3.125000	2	0
repository	sphinx-doc__sphinx	44	45.454545	56.818182	11.363636	25.000000	31.818182	6.818182	5	0
repository	sympy__sympy	75	56.000000	68.000000	12.000000	45.333333	53.333333	8.000000	10	1
leave_one_repository_out	astropy__astropy	478	57.740586	67.154812	9.414226	42.050209	49.372385	7.322176	51	6
leave_one_repository_out	django__django	269	54.646840	63.197026	8.550186	38.289963	43.122677	4.832714	25	2
leave_one_repository_out	matplotlib__matplotlib	466	58.583691	68.025751	9.442060	42.489270	50.429185	7.939914	49	5
leave_one_repository_out	mwaskom__seaborn	498	57.831325	67.068273	9.236948	42.369478	49.799197	7.429719	52	6
leave_one_repository_out	pallets__flask	499	57.715431	67.134269	9.418838	42.084168	49.498998	7.414830	53	6
leave_one_repository_out	psf__requests	492	57.723577	67.276423	9.552846	41.869919	49.390244	7.520325	53	6
leave_one_repository_out	pydata__xarray	478	57.740586	67.364017	9.623431	42.050209	49.581590	7.531381	52	6
leave_one_repository_out	pylint-dev__pylint	490	57.959184	67.551020	9.591837	42.653061	50.204082	7.551020	53	6
leave_one_repository_out	pytest-dev__pytest	481	57.588358	67.359667	9.771310	42.619543	50.311850	7.692308	53	6
leave_one_repository_out	scikit-learn__scikit-learn	468	57.692308	67.307692	9.615385	42.735043	50.427350	7.692308	51	6
leave_one_repository_out	sphinx-doc__sphinx	456	58.991228	68.201754	9.210526	43.859649	51.315789	7.456140	48	6
leave_one_repository_out	sympy__sympy	425	58.117647	67.058824	8.941176	41.647059	48.941176	7.294118	43	5
