baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
k60	k10	file_hit	4.200000	1.036225	5.718723	24	3	4.92334365845e-05
k60	k10	target_coverage	2.314848	1.154178	5.370376			
k60	k10	hit	2.600000	1.246037	5.394228	20	7	0.0191572904587
k60	k10	mrr	1.397357	0.626966	2.521099			
k60	k10	complete	1.800000	0.603296	5.535087	18	9	0.122078120708
k60	k30	file_hit	2.000000	0.000000	3.115271	10	0	0.001953125
k60	k30	target_coverage	0.744048	-0.635211	1.555027			
k60	k30	hit	1.000000	-0.478469	1.863390	6	1	0.125
k60	k30	mrr	0.693652	0.380706	1.390823			
k60	k30	complete	0.400000	-0.738007	1.038062	4	2	0.6875
k60	k100	file_hit	-0.200000	-0.348432	0.000000	0	1	1
k60	k100	target_coverage	-0.200000	-0.348432	0.000000			
k60	k100	hit	-0.200000	-0.348432	0.000000	0	1	1
k60	k100	mrr	-0.108499	-0.528771	0.004903			
k60	k100	complete	-0.200000	-0.348432	0.000000	0	1	1
k60	dense05	file_hit	-4.000000	-6.976889	-1.955792	0	20	1.90734863281e-06
k60	dense05	target_coverage	-1.362619	-2.020127	-0.046974			
k60	dense05	hit	-1.800000	-2.617832	0.000000	1	10	0.01171875
k60	dense05	mrr	-0.980981	-1.764698	0.185791			
k60	dense05	complete	-0.800000	-1.227015	0.000000	1	5	0.21875
k60	dense075	file_hit	-3.400000	-6.626589	-1.503665	0	17	1.52587890625e-05
k60	dense075	target_coverage	-1.240000	-1.834780	-0.134409			
k60	dense075	hit	-1.600000	-2.427929	0.000000	1	9	0.021484375
k60	dense075	mrr	-0.796178	-1.535553	0.081681			
k60	dense075	complete	-0.600000	-1.013514	0.000000	1	4	0.375
k60	dense125	file_hit	-0.400000	-2.189915	0.342466	1	3	0.625
k60	dense125	target_coverage	-0.353333	-0.740741	0.000000			
k60	dense125	hit	-0.400000	-0.750000	0.000000	2	4	0.6875
k60	dense125	mrr	0.017102	-0.995251	0.309976			
k60	dense125	complete	-0.200000	-0.731730	0.000000	4	5	1
k60	dense15	file_hit	0.000000	-2.135255	2.487614	5	5	1
k60	dense15	target_coverage	0.083095	-0.607122	1.504679			
k60	dense15	hit	0.000000	-1.022517	2.049180	5	5	1
k60	dense15	mrr	0.088120	-0.847362	0.336030			
k60	dense15	complete	0.200000	-0.480798	1.438935	6	5	1
