baseline	treatment	metric	delta	clustered_ci_low	clustered_ci_high	wins	losses	mcnemar_p
BM25_t2000	MURAL_t2000	file_hit	12.400000	9.989553	18.595282	73	11	2.24909382012e-12
BM25_t2000	MURAL_t2000	target_coverage	10.140390	6.278514	12.138082			
BM25_t2000	MURAL_t2000	hit	11.600000	7.751742	14.047619	66	8	1.80774105133e-12
BM25_t2000	MURAL_t2000	mrr	7.498802	4.885009	9.218732			
BM25_t2000	MURAL_t2000	complete	9.000000	5.603448	10.862074	49	4	7.05397962264e-11
BM25_t4000	MURAL_t4000	file_hit	10.800000	8.244229	16.517954	64	10	8.95742358122e-11
BM25_t4000	MURAL_t4000	target_coverage	8.636746	5.710880	9.947433			
BM25_t4000	MURAL_t4000	hit	10.400000	7.894737	13.114754	60	8	5.74776093149e-11
BM25_t4000	MURAL_t4000	mrr	7.110424	4.496537	8.741883			
BM25_t4000	MURAL_t4000	complete	7.400000	3.463203	9.134615	44	7	1.21152574195e-07
BM25_t8000	MURAL_t8000	file_hit	13.200000	9.367480	16.494911	69	3	2.63719472963e-17
BM25_t8000	MURAL_t8000	target_coverage	11.180166	8.294180	12.093667			
BM25_t8000	MURAL_t8000	hit	12.200000	9.523810	13.188077	65	4	3.11474682309e-15
BM25_t8000	MURAL_t8000	mrr	7.088845	4.389842	8.624957			
BM25_t8000	MURAL_t8000	complete	10.200000	6.832222	11.393522	57	6	1.63956871083e-11
Dense_t2000	MURAL_t2000	file_hit	0.200000	-2.013423	5.263158	40	39	1
Dense_t2000	MURAL_t2000	target_coverage	2.162937	-1.739065	4.975211			
Dense_t2000	MURAL_t2000	hit	1.600000	-1.898820	4.736842	37	29	0.389052460548
Dense_t2000	MURAL_t2000	mrr	3.338847	0.170025	5.714462			
Dense_t2000	MURAL_t2000	complete	2.600000	-0.523560	4.761905	35	22	0.111161119104
Dense_t4000	MURAL_t4000	file_hit	-0.600000	-4.702441	5.263738	31	34	0.804317000193
Dense_t4000	MURAL_t4000	target_coverage	1.335945	-1.012459	3.783097			
Dense_t4000	MURAL_t4000	hit	1.200000	-1.234663	4.147513	29	23	0.48845566938
Dense_t4000	MURAL_t4000	mrr	3.401112	0.257841	5.674567			
Dense_t4000	MURAL_t4000	complete	2.000000	0.000000	4.081633	35	25	0.245060833023
Dense_t8000	MURAL_t8000	file_hit	-0.200000	-4.863222	1.757533	13	14	1
Dense_t8000	MURAL_t8000	target_coverage	2.386032	-0.861331	5.005892			
Dense_t8000	MURAL_t8000	hit	2.400000	-1.123675	5.102149	24	12	0.0652453352232
Dense_t8000	MURAL_t8000	mrr	3.431294	0.228724	5.705210			
Dense_t8000	MURAL_t8000	complete	2.600000	0.000000	5.084746	29	16	0.0724542601625
