approach	N	top_k	candidate_count_mean	file_hit	target_coverage	mrr	hit	complete
BM25_t2000	500	50	8.158000	61.400000	37.471234	29.559452	45.200000	31.600000
BM25_t4000	500	50	18.484000	71.000000	48.170606	30.777534	56.200000	41.600000
BM25_t8000	500	50	38.366000	75.600000	54.393160	31.117074	62.600000	47.800000
Structural_t2000	500	50	9.002000	57.200000	39.837330	30.906020	46.200000	35.400000
Structural_t4000	500	50	19.270000	59.000000	46.848283	31.429553	52.600000	42.000000
Structural_t8000	500	50	35.852000	59.400000	50.386941	31.524689	55.000000	46.200000
Dense_t2000	500	50	9.492000	73.600000	45.448687	33.719407	55.200000	38.000000
Dense_t4000	500	50	21.056000	82.400000	55.471407	34.486846	65.400000	47.000000
Dense_t8000	500	50	41.838000	89.000000	63.187294	34.774624	72.400000	55.400000
MURAL_t2000	500	50	8.948000	73.800000	47.611623	37.058254	56.800000	40.600000
MURAL_t4000	500	50	19.574000	81.800000	56.807352	37.887958	66.600000	49.000000
MURAL_t8000	500	50	39.306000	88.800000	65.573326	38.205918	74.800000	58.000000
