instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities
astropy__astropy-12907	BM25	2000	50	9	1988	0.994	252.77777777777777	4
astropy__astropy-13033	BM25	2000	50	9	1998	0.999	504.6666666666667	5
astropy__astropy-13236	BM25	2000	50	5	1958	0.979	489.2	3
astropy__astropy-13398	BM25	2000	50	5	1782	0.891	755.2	4
astropy__astropy-13453	BM25	2000	50	1	929	0.4645	428.0	0
astropy__astropy-13579	BM25	2000	50	7	1837	0.9185	588.1428571428571	3
astropy__astropy-13977	BM25	2000	50	7	1892	0.946	1047.0	4
astropy__astropy-14096	BM25	2000	50	1	1754	0.877	1132.0	1
astropy__astropy-14182	BM25	2000	50	3	1968	0.984	374.3333333333333	1
astropy__astropy-14309	BM25	2000	50	7	1952	0.976	324.0	2
astropy__astropy-14365	BM25	2000	50	8	1969	0.9845	475.5	4
astropy__astropy-14369	BM25	2000	50	2	1857	0.9285	426.0	0
astropy__astropy-14508	BM25	2000	50	1	1243	0.6215	800.0	1
astropy__astropy-14539	BM25	2000	50	4	1696	0.848	541.75	2
astropy__astropy-14598	BM25	2000	50	5	1876	0.938	157.2	0
astropy__astropy-14995	BM25	2000	50	3	1884	0.942	919.3333333333334	3
astropy__astropy-7166	BM25	2000	50	13	1990	0.995	200.84615384615384	2
astropy__astropy-7336	BM25	2000	50	8	1900	0.95	401.25	4
astropy__astropy-7606	BM25	2000	50	13	1710	0.855	76.38461538461539	1
astropy__astropy-7671	BM25	2000	50	7	1834	0.917	450.7142857142857	3
astropy__astropy-8707	BM25	2000	50	3	1989	0.9945	750.3333333333334	2
astropy__astropy-8872	BM25	2000	50	9	1809	0.9045	380.77777777777777	3
django__django-10097	BM25	2000	50	12	1831	0.9155	96.83333333333333	1
django__django-10554	BM25	2000	50	6	1807	0.9035	282.6666666666667	2
django__django-10880	BM25	2000	50	7	1663	0.8315	493.2857142857143	4
django__django-10914	BM25	2000	50	9	1987	0.9935	156.77777777777777	1
django__django-10973	BM25	2000	50	9	1983	0.9915	461.6666666666667	3
django__django-10999	BM25	2000	50	10	2000	1.0	125.8	0
django__django-11066	BM25	2000	50	8	1261	0.6305	104.625	1
django__django-11087	BM25	2000	50	8	1805	0.9025	171.125	2
django__django-11095	BM25	2000	50	12	1849	0.9245	137.0	1
django__django-11099	BM25	2000	50	11	1786	0.893	49.27272727272727	0
django__django-11119	BM25	2000	50	10	1987	0.9935	138.2	2
django__django-11133	BM25	2000	50	8	1803	0.9015	287.875	1
django__django-11138	BM25	2000	50	9	1977	0.9885	151.44444444444446	1
django__django-11141	BM25	2000	50	11	1986	0.993	184.45454545454547	4
django__django-11149	BM25	2000	50	9	1989	0.9945	154.88888888888889	2
django__django-11163	BM25	2000	50	9	1889	0.9445	279.44444444444446	3
django__django-11179	BM25	2000	50	6	1965	0.9825	535.5	2
django__django-11206	BM25	2000	50	7	1913	0.9565	239.85714285714286	1
django__django-11211	BM25	2000	50	7	1967	0.9835	793.4285714285714	3
django__django-11239	BM25	2000	50	12	1970	0.985	134.25	2
django__django-11265	BM25	2000	50	8	1865	0.9325	342.75	2
django__django-11276	BM25	2000	50	10	1852	0.926	224.0	2
django__django-11292	BM25	2000	50	13	1737	0.8685	92.15384615384616	1
django__django-11299	BM25	2000	50	20	1953	0.9765	29.95	0
django__django-11333	BM25	2000	50	8	1909	0.9545	246.25	2
django__django-11400	BM25	2000	50	12	1871	0.9355	104.91666666666667	1
django__django-11433	BM25	2000	50	10	1807	0.9035	177.5	4
django__django-11451	BM25	2000	50	11	1916	0.958	123.9090909090909	1
django__django-11477	BM25	2000	50	7	1739	0.8695	302.7142857142857	2
django__django-11490	BM25	2000	50	12	1843	0.9215	99.83333333333333	0
django__django-11532	BM25	2000	50	13	1979	0.9895	126.76923076923077	3
django__django-11551	BM25	2000	50	8	1931	0.9655	217.875	2
django__django-11555	BM25	2000	50	19	1855	0.9275	41.0	0
django__django-11603	BM25	2000	50	20	1949	0.9745	39.8	0
django__django-11728	BM25	2000	50	7	1887	0.9435	218.0	2
django__django-11734	BM25	2000	50	11	1945	0.9725	188.27272727272728	2
django__django-11740	BM25	2000	50	2	1810	0.905	555.0	1
django__django-11749	BM25	2000	50	6	1669	0.8345	316.8333333333333	3
django__django-11790	BM25	2000	50	18	1983	0.9915	37.0	0
django__django-11815	BM25	2000	50	11	1884	0.942	134.1818181818182	1
django__django-11820	BM25	2000	50	6	1827	0.9135	310.1666666666667	2
django__django-11848	BM25	2000	50	12	1989	0.9945	114.66666666666667	1
django__django-11880	BM25	2000	50	8	1941	0.9705	290.375	4
django__django-11885	BM25	2000	50	9	1993	0.9965	287.55555555555554	4
django__django-11951	BM25	2000	50	7	1867	0.9335	319.2857142857143	3
django__django-11964	BM25	2000	50	6	1986	0.993	185.83333333333334	1
django__django-11999	BM25	2000	50	9	1951	0.9755	288.77777777777777	3
django__django-12039	BM25	2000	50	10	1895	0.9475	111.1	0
django__django-12050	BM25	2000	50	7	1980	0.99	169.85714285714286	0
django__django-12125	BM25	2000	50	5	1696	0.848	608.0	5
django__django-12143	BM25	2000	50	7	1931	0.9655	537.1428571428571	4
django__django-12155	BM25	2000	50	12	1966	0.983	128.66666666666666	1
django__django-12193	BM25	2000	50	11	1945	0.9725	103.0	1
django__django-12209	BM25	2000	50	7	1769	0.8845	265.0	2
django__django-12262	BM25	2000	50	7	1834	0.917	248.14285714285714	2
django__django-12273	BM25	2000	50	13	1956	0.978	101.07692307692308	1
django__django-12276	BM25	2000	50	11	1953	0.9765	131.0909090909091	1
django__django-12304	BM25	2000	50	4	1899	0.9495	437.0	2
django__django-12308	BM25	2000	50	8	1911	0.9555	486.0	6
django__django-12325	BM25	2000	50	6	1931	0.9655	374.1666666666667	2
django__django-12406	BM25	2000	50	12	1969	0.9845	62.25	1
django__django-12419	BM25	2000	50	10	1942	0.971	125.7	1
django__django-12663	BM25	2000	50	7	1957	0.9785	498.2857142857143	4
django__django-12708	BM25	2000	50	9	1917	0.9585	148.77777777777777	1
django__django-12713	BM25	2000	50	7	1960	0.98	612.8571428571429	5
django__django-12741	BM25	2000	50	12	1790	0.895	86.91666666666667	0
django__django-12754	BM25	2000	50	7	1752	0.876	442.2857142857143	3
django__django-12774	BM25	2000	50	7	1922	0.961	287.85714285714283	4
django__django-12858	BM25	2000	50	6	1885	0.9425	402.0	4
django__django-12965	BM25	2000	50	12	1930	0.965	192.16666666666666	2
django__django-13012	BM25	2000	50	18	1934	0.967	50.22222222222222	0
django__django-13023	BM25	2000	50	13	1916	0.958	90.38461538461539	0
django__django-13028	BM25	2000	50	9	1902	0.951	352.77777777777777	2
django__django-13033	BM25	2000	50	11	1976	0.988	158.36363636363637	3
django__django-13089	BM25	2000	50	11	1963	0.9815	158.72727272727272	1
django__django-13109	BM25	2000	50	2	1869	0.9345	539.5	1
django__django-13112	BM25	2000	50	2	1790	0.895	554.5	2
django__django-13121	BM25	2000	50	9	1705	0.8525	169.88888888888889	2
django__django-13128	BM25	2000	50	14	1904	0.952	101.64285714285714	2
