source	token_budget	N	selected_mean	selected_p50	selected_p95	context_tokens_mean	context_tokens_p50	context_tokens_p95	budget_fill_mean	entity_tokens_p50	entity_tokens_p95	truncated_entity_rate	changed_line_recall	complete_changed_line_rate
BM25	2000	500	8.158	8.0	14.0	1803.508	1891.0	1988.0	0.9017540000000001	124.0	1111.0	0.2750674184849228	0.19181793551882959	0.158
BM25	4000	500	18.484	18.0	30.0	3802.716	3902.5	3992.0	0.950679	114.0	1014.0	0.2725600519368102	0.2568409645082633	0.194
BM25	8000	500	38.366	39.0	50.0	7654.748	7867.5	7989.0	0.9568435	112.0	1016.0	0.27201167700568213	0.29206177187753996	0.222
Structural	2000	500	9.002	9.0	18.0	1602.532	1894.0	1994.0	0.801266	76.0	784.0	0.18351477449455678	0.2197236521267949	0.16
Structural	4000	500	19.27	20.0	35.0	3230.634	3893.0	3991.0	0.8076585000000001	74.0	727.0	0.1816294758692268	0.27336765104307775	0.202
Structural	8000	500	35.852	43.0	50.0	5946.518	7503.5	7990.0	0.74331475	76.0	717.0	0.18314180519915207	0.3001896505012192	0.21
Dense	2000	500	9.492	9.0	17.0	1840.38	1904.0	1993.0	0.92019	85.0	839.0	0.20522545301306364	0.24031427797344893	0.19
Dense	4000	500	21.056	20.0	34.0	3836.476	3917.0	3994.0	0.959119	82.0	795.0	0.2024126139817629	0.3178000541858575	0.22
Dense	8000	500	41.838	44.0	50.0	7445.672	7834.0	7988.0	0.930709	81.0	785.0	0.20345140781108084	0.35789758872934163	0.262
MURAL	2000	500	8.948	8.0	15.0	1861.31	1897.5	1987.0	0.930655	104.0	967.0	0.23983012963790792	0.25331888377133566	0.202
MURAL	4000	500	19.574	19.0	30.0	3834.142	3899.5	3990.0	0.9585355	96.0	890.0	0.23050986001839174	0.31373611487401787	0.232
MURAL	8000	500	39.306	40.0	50.0	7657.458	7864.0	7986.0	0.95718225	96.0	896.0	0.2355874421207958	0.3698184773774045	0.27
