instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines
astropy__astropy-12907	MURAL	4000	50	18	3745	0.93625	229.72222222222223	8	0	2	0
astropy__astropy-13033	MURAL	4000	50	20	3744	0.936	259.35	5	0	5	0
astropy__astropy-13236	MURAL	4000	50	12	3807	0.95175	555.6666666666666	8	0	7	0
astropy__astropy-13398	MURAL	4000	50	14	3842	0.9605	414.42857142857144	7	0	30	0
astropy__astropy-13453	MURAL	4000	50	6	2860	0.715	274.8333333333333	1	0	2	0
astropy__astropy-13579	MURAL	4000	50	22	3929	0.98225	221.3181818181818	4	1	3	0
astropy__astropy-13977	MURAL	4000	50	18	3957	0.98925	329.72222222222223	7	11	43	0
astropy__astropy-14096	MURAL	4000	50	12	3712	0.928	698.25	10	4	5	0
astropy__astropy-14182	MURAL	4000	50	13	3806	0.9515	233.15384615384616	4	0	14	0
astropy__astropy-14309	MURAL	4000	50	14	3564	0.891	270.07142857142856	3	0	5	0
astropy__astropy-14365	MURAL	4000	50	15	3843	0.96075	510.46666666666664	9	2	4	0
astropy__astropy-14369	MURAL	4000	50	17	3942	0.9855	273.94117647058823	4	3	39	0
astropy__astropy-14508	MURAL	4000	50	14	3832	0.958	302.0	5	23	23	1
astropy__astropy-14539	MURAL	4000	50	14	3770	0.9425	359.85714285714283	8	0	2	0
astropy__astropy-14598	MURAL	4000	50	13	3985	0.99625	462.38461538461536	9	0	4	0
astropy__astropy-14995	MURAL	4000	50	12	3992	0.998	547.9166666666666	8	4	4	1
astropy__astropy-7166	MURAL	4000	50	20	3979	0.99475	233.85	4	4	8	0
astropy__astropy-7336	MURAL	4000	50	22	3940	0.985	205.5	7	2	2	1
astropy__astropy-7606	MURAL	4000	50	26	3786	0.9465	100.6923076923077	3	4	5	0
astropy__astropy-7671	MURAL	4000	50	18	3925	0.98125	263.27777777777777	8	1	2	0
astropy__astropy-8707	MURAL	4000	50	14	3842	0.9605	425.64285714285717	10	16	19	0
astropy__astropy-8872	MURAL	4000	50	23	3848	0.962	188.7826086956522	5	4	10	0
django__django-10097	MURAL	4000	50	25	3735	0.93375	64.28	1	0	2	0
django__django-10554	MURAL	4000	50	18	3986	0.9965	233.88888888888889	3	0	3	0
django__django-10880	MURAL	4000	50	16	3989	0.99725	444.6875	7	0	2	0
django__django-10914	MURAL	4000	50	32	3874	0.9685	70.46875	4	1	2	0
django__django-10973	MURAL	4000	50	22	3976	0.994	252.8181818181818	6	8	35	0
django__django-10999	MURAL	4000	50	18	3842	0.9605	114.11111111111111	0	4	4	1
django__django-11066	MURAL	4000	50	19	3396	0.849	143.1578947368421	4	2	2	1
django__django-11087	MURAL	4000	50	18	3982	0.9955	180.88888888888889	7	1	9	0
django__django-11095	MURAL	4000	50	21	3913	0.97825	185.33333333333334	4	2	3	0
django__django-11099	MURAL	4000	50	26	3721	0.93025	63.15384615384615	1	4	4	1
django__django-11119	MURAL	4000	50	23	3972	0.993	108.56521739130434	2	1	2	0
django__django-11133	MURAL	4000	50	33	3959	0.98975	73.3030303030303	3	2	2	1
django__django-11138	MURAL	4000	50	18	3902	0.9755	171.38888888888889	3	0	43	0
django__django-11141	MURAL	4000	50	19	3824	0.956	238.8421052631579	8	0	7	0
django__django-11149	MURAL	4000	50	19	3971	0.99275	345.42105263157896	5	31	31	1
django__django-11163	MURAL	4000	50	17	3752	0.938	298.88235294117646	9	2	2	1
django__django-11179	MURAL	4000	50	15	3906	0.9765	391.8666666666667	7	0	1	0
django__django-11206	MURAL	4000	50	17	3655	0.91375	166.11764705882354	2	0	1	0
django__django-11211	MURAL	4000	50	17	3932	0.983	407.47058823529414	7	0	1	0
django__django-11239	MURAL	4000	50	28	3954	0.9885	90.82142857142857	3	2	2	1
django__django-11265	MURAL	4000	50	18	3966	0.9915	307.3888888888889	5	0	5	0
django__django-11276	MURAL	4000	50	29	3976	0.994	105.37931034482759	2	8	26	0
django__django-11292	MURAL	4000	50	28	3915	0.97875	113.17857142857143	4	1	7	0
django__django-11299	MURAL	4000	50	34	3730	0.9325	39.76470588235294	1	0	2	0
django__django-11333	MURAL	4000	50	21	3893	0.97325	160.85714285714286	4	1	6	0
django__django-11400	MURAL	4000	50	25	3814	0.9535	95.76	1	6	14	0
django__django-11433	MURAL	4000	50	25	3971	0.99275	92.72	4	0	3	0
django__django-11451	MURAL	4000	50	25	3866	0.9665	107.92	2	1	1	1
django__django-11477	MURAL	4000	50	22	3931	0.98275	160.95454545454547	1	2	2	1
django__django-11490	MURAL	4000	50	20	3808	0.952	215.55	4	0	1	0
django__django-11532	MURAL	4000	50	22	3873	0.96825	136.27272727272728	5	6	21	0
django__django-11551	MURAL	4000	50	19	3966	0.9915	154.1578947368421	2	0	26	0
django__django-11555	MURAL	4000	50	32	3956	0.989	63.28125	1	0	1	0
django__django-11603	MURAL	4000	50	40	3941	0.98525	31.15	0	0	2	0
django__django-11728	MURAL	4000	50	18	3929	0.98225	293.8888888888889	5	9	14	0
django__django-11734	MURAL	4000	50	24	3908	0.977	196.125	6	0	8	0
django__django-11740	MURAL	4000	50	14	3826	0.9565	369.7142857142857	6	0	4	0
django__django-11749	MURAL	4000	50	20	3976	0.994	200.55	6	0	3	0
django__django-11790	MURAL	4000	50	29	3919	0.97975	69.37931034482759	1	2	2	1
django__django-11815	MURAL	4000	50	19	3980	0.995	106.84210526315789	1	0	4	0
django__django-11820	MURAL	4000	50	14	3988	0.997	559.5	8	0	3	0
django__django-11848	MURAL	4000	50	22	3845	0.96125	146.45454545454547	5	5	5	1
django__django-11880	MURAL	4000	50	24	4000	1.0	133.58333333333334	5	1	1	1
django__django-11885	MURAL	4000	50	20	3734	0.9335	146.3	3	2	75	0
django__django-11951	MURAL	4000	50	19	3910	0.9775	188.8421052631579	4	2	2	1
django__django-11964	MURAL	4000	50	18	3828	0.957	154.16666666666666	3	0	2	0
django__django-11999	MURAL	4000	50	30	3813	0.95325	58.1	0	0	3	0
django__django-12039	MURAL	4000	50	22	3768	0.942	102.0	1	0	7	0
django__django-12050	MURAL	4000	50	16	3716	0.929	226.3125	3	16	16	1
django__django-12125	MURAL	4000	50	21	3757	0.93925	180.95238095238096	4	0	2	0
django__django-12143	MURAL	4000	50	19	3837	0.95925	268.89473684210526	6	0	2	0
django__django-12155	MURAL	4000	50	19	3954	0.9885	179.89473684210526	3	15	21	0
django__django-12193	MURAL	4000	50	24	3993	0.99825	98.25	1	4	4	1
django__django-12209	MURAL	4000	50	19	3999	0.99975	182.68421052631578	5	0	1	0
django__django-12262	MURAL	4000	50	16	3768	0.942	200.75	3	2	2	1
django__django-12273	MURAL	4000	50	24	3863	0.96575	102.79166666666667	2	0	1	0
django__django-12276	MURAL	4000	50	27	3920	0.98	86.03703703703704	1	2	4	0
django__django-12304	MURAL	4000	50	35	3493	0.87325	30.714285714285715	0	0	1	0
django__django-12308	MURAL	4000	50	16	3862	0.9655	370.75	9	1	1	1
django__django-12325	MURAL	4000	50	16	3790	0.9475	315.6875	7	0	8	0
django__django-12406	MURAL	4000	50	32	3879	0.96975	58.09375	2	0	11	0
django__django-12419	MURAL	4000	50	34	3941	0.98525	32.26470588235294	0	1	2	0
django__django-12663	MURAL	4000	50	25	3950	0.9875	157.8	3	0	2	0
django__django-12708	MURAL	4000	50	20	3848	0.962	168.5	3	2	2	1
django__django-12713	MURAL	4000	50	27	3834	0.9585	83.0	1	12	12	1
django__django-12741	MURAL	4000	50	20	3984	0.996	128.7	1	4	6	0
django__django-12754	MURAL	4000	50	18	3655	0.91375	339.1666666666667	7	0	1	0
django__django-12774	MURAL	4000	50	16	3953	0.98825	260.6875	6	0	2	0
django__django-12858	MURAL	4000	50	17	3910	0.9775	302.05882352941177	9	0	2	0
django__django-12965	MURAL	4000	50	24	3929	0.98225	170.79166666666666	4	0	1	0
django__django-13012	MURAL	4000	50	29	3914	0.9785	83.86206896551724	2	1	1	1
django__django-13023	MURAL	4000	50	26	3994	0.9985	95.76923076923077	1	2	2	1
django__django-13028	MURAL	4000	50	19	3881	0.97025	284.57894736842104	7	2	2	1
django__django-13033	MURAL	4000	50	17	3930	0.9825	323.5882352941176	9	0	2	0
django__django-13089	MURAL	4000	50	20	3859	0.96475	141.45	2	3	4	0
django__django-13109	MURAL	4000	50	19	3797	0.94925	253.52631578947367	7	2	2	1
django__django-13112	MURAL	4000	50	6	3506	0.8765	384.3333333333333	4	0	2	0
django__django-13121	MURAL	4000	50	21	4000	1.0	140.33333333333334	2	20	52	0
django__django-13128	MURAL	4000	50	26	3874	0.9685	90.07692307692308	1	7	22	0
django__django-13158	MURAL	4000	50	23	3994	0.9985	124.43478260869566	2	0	2	0
django__django-13195	MURAL	4000	50	29	3793	0.94825	79.72413793103448	2	7	10	0
django__django-13212	MURAL	4000	50	30	3952	0.988	82.23333333333333	3	25	43	0
django__django-13279	MURAL	4000	50	29	3961	0.99025	86.62068965517241	1	1	2	0
django__django-13297	MURAL	4000	50	23	3885	0.97125	117.47826086956522	2	3	5	0
django__django-13315	MURAL	4000	50	18	3907	0.97675	165.0	2	3	4	0
django__django-13343	MURAL	4000	50	26	3831	0.95775	110.42307692307692	2	3	3	1
django__django-13344	MURAL	4000	50	23	3942	0.9855	153.47826086956522	3	3	30	0
django__django-13346	MURAL	4000	50	23	3942	0.9855	117.56521739130434	2	0	2	0
django__django-13363	MURAL	4000	50	24	3901	0.97525	109.20833333333333	3	4	4	1
django__django-13401	MURAL	4000	50	18	3937	0.98425	229.05555555555554	6	5	7	0
django__django-13406	MURAL	4000	50	22	3919	0.97975	141.5909090909091	4	1	1	1
django__django-13410	MURAL	4000	50	29	3810	0.9525	72.17241379310344	1	0	6	0
django__django-13417	MURAL	4000	50	20	3959	0.98975	157.85	3	2	2	1
django__django-13449	MURAL	4000	50	15	3971	0.99275	146.4	2	0	3	0
django__django-13512	MURAL	4000	50	21	3963	0.99075	135.23809523809524	2	2	5	0
django__django-13513	MURAL	4000	50	22	3997	0.99925	181.95454545454547	5	21	27	0
django__django-13516	MURAL	4000	50	15	3868	0.967	510.2	8	0	1	0
django__django-13551	MURAL	4000	50	29	3976	0.994	68.75862068965517	1	5	6	0
django__django-13568	MURAL	4000	50	22	3910	0.9775	134.77272727272728	3	0	2	0
django__django-13569	MURAL	4000	50	17	3950	0.9875	295.88235294117646	5	0	1	0
django__django-13590	MURAL	4000	50	19	3961	0.99025	316.94736842105266	7	3	3	1
django__django-13658	MURAL	4000	50	20	3739	0.93475	216.75	5	0	2	0
django__django-13670	MURAL	4000	50	34	3811	0.95275	49.205882352941174	0	2	3	0
django__django-13741	MURAL	4000	50	33	3962	0.9905	40.96969696969697	0	12	15	0
django__django-13786	MURAL	4000	50	31	3985	0.99625	119.25806451612904	3	1	3	0
django__django-13794	MURAL	4000	50	27	3995	0.99875	106.66666666666667	3	1	1	1
django__django-13807	MURAL	4000	50	22	3908	0.977	160.5909090909091	6	2	6	0
django__django-13809	MURAL	4000	50	28	3951	0.98775	104.64285714285714	4	3	4	0
django__django-13810	MURAL	4000	50	24	3990	0.9975	159.95833333333334	2	5	5	1
django__django-13820	MURAL	4000	50	17	3909	0.97725	296.52941176470586	7	6	6	1
django__django-13821	MURAL	4000	50	27	3944	0.986	79.62962962962963	1	2	3	0
django__django-13837	MURAL	4000	50	23	3924	0.981	143.0	4	2	7	0
django__django-13925	MURAL	4000	50	22	3855	0.96375	180.77272727272728	4	0	1	0
django__django-13933	MURAL	4000	50	26	3880	0.97	73.11538461538461	1	2	2	1
django__django-13964	MURAL	4000	50	18	3775	0.94375	268.72222222222223	6	0	2	0
django__django-14007	MURAL	4000	50	21	3980	0.995	188.52380952380952	7	0	9	0
django__django-14011	MURAL	4000	50	27	3978	0.9945	98.29629629629629	1	0	3	0
django__django-14017	MURAL	4000	50	27	3843	0.96075	101.29629629629629	2	0	2	0
django__django-14034	MURAL	4000	50	23	3951	0.98775	95.47826086956522	0	0	4	0
django__django-14053	MURAL	4000	50	25	3871	0.96775	120.24	4	8	8	1
django__django-14089	MURAL	4000	50	20	3911	0.97775	198.1	5	0	1	0
django__django-14122	MURAL	4000	50	15	3971	0.99275	363.6666666666667	9	1	6	0
django__django-14140	MURAL	4000	50	28	3724	0.931	105.60714285714286	1	0	9	0
django__django-14155	MURAL	4000	50	29	3882	0.9705	62.51724137931034	0	4	4	1
django__django-14170	MURAL	4000	50	21	3953	0.98825	289.3809523809524	5	5	17	0
django__django-14238	MURAL	4000	50	23	3971	0.99275	134.2173913043478	5	1	2	0
django__django-14311	MURAL	4000	50	25	3814	0.9535	128.48	5	0	3	0
django__django-14315	MURAL	4000	50	26	3803	0.95075	100.53846153846153	4	4	5	0
django__django-14349	MURAL	4000	50	26	3937	0.98425	91.53846153846153	1	0	2	0
django__django-14351	MURAL	4000	50	18	3861	0.96525	354.22222222222223	6	0	1	0
django__django-14373	MURAL	4000	50	36	3973	0.99325	51.5	0	2	3	0
django__django-14376	MURAL	4000	50	24	3872	0.968	124.79166666666667	4	0	9	0
django__django-14404	MURAL	4000	50	31	3952	0.988	89.09677419354838	5	5	5	1
django__django-14434	MURAL	4000	50	31	3889	0.97225	62.83870967741935	2	4	8	0
django__django-14493	MURAL	4000	50	27	3802	0.9505	121.22222222222223	4	0	1	0
django__django-14500	MURAL	4000	50	19	3868	0.967	227.1578947368421	5	5	5	1
django__django-14534	MURAL	4000	50	29	3900	0.975	76.82758620689656	2	1	2	0
django__django-14539	MURAL	4000	50	24	3961	0.99025	157.95833333333334	4	0	3	0
django__django-14559	MURAL	4000	50	17	3773	0.94325	209.7058823529412	4	4	5	0
django__django-14580	MURAL	4000	50	11	3971	0.99275	177.63636363636363	2	0	2	0
django__django-14608	MURAL	4000	50	20	3890	0.9725	221.65	7	3	4	0
django__django-14631	MURAL	4000	50	22	3949	0.98725	136.54545454545453	3	32	43	0
django__django-14672	MURAL	4000	50	23	3880	0.97	325.5652173913044	5	2	2	1
django__django-14725	MURAL	4000	50	33	3913	0.97825	59.18181818181818	1	0	8	0
django__django-14752	MURAL	4000	50	23	3864	0.966	195.8695652173913	4	5	5	1
django__django-14765	MURAL	4000	50	19	3748	0.937	186.3684210526316	5	5	5	1
django__django-14771	MURAL	4000	50	28	3923	0.98075	81.96428571428571	2	0	1	0
django__django-14787	MURAL	4000	50	33	3975	0.99375	88.15151515151516	6	0	2	0
django__django-14792	MURAL	4000	50	29	3983	0.99575	79.82758620689656	2	0	3	0
django__django-14855	MURAL	4000	50	22	3829	0.95725	144.5909090909091	4	2	2	1
django__django-14915	MURAL	4000	50	25	3767	0.94175	81.48	1	1	1	1
