instance_id	cutoff_epoch	historical_path_rows	time_ineligible_path_rows	historical_artifacts	time_ineligible_artifacts	top20_equal_after_strict_filter	top50_equal_after_strict_filter	packed_entities_4000	packed_4000_equal_after_strict_filter	current_top20_sha256	strict_top20_sha256
astropy__astropy-12907	1646320494.0	0	0			1	1	18	1	de80d5de60e64f86b06eb6a06bc7d4200f5c2023e93af8ffec141f810caae59f	de80d5de60e64f86b06eb6a06bc7d4200f5c2023e93af8ffec141f810caae59f
astropy__astropy-13033	1648769307.0	0	0			1	1	20	1	cc178deebd06c1b66b87427a8248110b6883422fcefe2884ed8da796b9772dfb	cc178deebd06c1b66b87427a8248110b6883422fcefe2884ed8da796b9772dfb
astropy__astropy-13236	1652105790.0	0	0			1	1	12	1	c97c7f866041c9162821d8690f10ef3921af765f5a464bbb346ea8ac36b03156	c97c7f866041c9162821d8690f10ef3921af765f5a464bbb346ea8ac36b03156
astropy__astropy-13398	1656084131.0	0	0			1	1	14	1	7ad6050304fe420e1033781331ef3d72dddd387987c493af5243644e3b6c84df	7ad6050304fe420e1033781331ef3d72dddd387987c493af5243644e3b6c84df
astropy__astropy-13453	1657793080.0	0	0			1	1	6	1	476e96c69cc82cff44c6cfa115bcdbc639840bd77ce373fe784e4ad2cb5596e1	476e96c69cc82cff44c6cfa115bcdbc639840bd77ce373fe784e4ad2cb5596e1
astropy__astropy-13579	1661526413.0	0	0			1	1	22	1	6d64d17622c3d23dc3f4db62ba097064019b2ddd258fda9e237369707a3cbd78	6d64d17622c3d23dc3f4db62ba097064019b2ddd258fda9e237369707a3cbd78
astropy__astropy-13977	1667341498.0	0	0			1	1	18	1	3f32ad647a77f56d109e29a3b333a79e00c100ddf5ed0ad435fd69f390bd9dc5	3f32ad647a77f56d109e29a3b333a79e00c100ddf5ed0ad435fd69f390bd9dc5
astropy__astropy-14096	1670173567.0	0	0			1	1	12	1	9ebfe2c3a9d983f4df8f95947fe624ffd14940fec27b3e8335232f401c529c2d	9ebfe2c3a9d983f4df8f95947fe624ffd14940fec27b3e8335232f401c529c2d
astropy__astropy-14182	1671189217.0	0	0			1	1	13	1	849c8b8569af8ded0c099dfedcf989471ca83fb5596a1da61e5bbbdf8d78c96c	849c8b8569af8ded0c099dfedcf989471ca83fb5596a1da61e5bbbdf8d78c96c
astropy__astropy-14309	1674513241.0	0	0			1	1	14	1	3724b51afa6795736e88215b65f59eebd39b7a05bd365c2f69210548721cf72a	3724b51afa6795736e88215b65f59eebd39b7a05bd365c2f69210548721cf72a
astropy__astropy-14365	1675711234.0	0	0			1	1	15	1	480a102e663e661e90de46d203e44fc971c511986cdcb86629f243c91a8555cf	480a102e663e661e90de46d203e44fc971c511986cdcb86629f243c91a8555cf
astropy__astropy-14369	1675720611.0	0	0			1	1	17	1	a31e37b8d40f3f0ff24598bbcf6b30b111e6f0e80f6540a3914d0931ac6b2f0e	a31e37b8d40f3f0ff24598bbcf6b30b111e6f0e80f6540a3914d0931ac6b2f0e
astropy__astropy-14508	1678360131.0	0	0			1	1	14	1	101cb2442ffbb30e2295756badcd536d97c138626f5db885291dfc8d43280548	101cb2442ffbb30e2295756badcd536d97c138626f5db885291dfc8d43280548
astropy__astropy-14539	1678992319.0	0	0			1	1	14	1	afe1ed31cafc90bb624fa020084e7fcb85bc1afcd4c507f192bc019b3ca5515c	afe1ed31cafc90bb624fa020084e7fcb85bc1afcd4c507f192bc019b3ca5515c
astropy__astropy-14598	1680086089.0	0	0			1	1	13	1	82ee742327c9a4abfdfb1a348953ee650435351a733f7a980b3f6a635cd60282	82ee742327c9a4abfdfb1a348953ee650435351a733f7a980b3f6a635cd60282
astropy__astropy-14995	1687895298.0	0	0			1	1	12	1	5ea16999dfc6c7a90e6b5bc1bafb11ed4636ebccfaf45bf263fbd20def87f0b7	5ea16999dfc6c7a90e6b5bc1bafb11ed4636ebccfaf45bf263fbd20def87f0b7
astropy__astropy-7166	1518015931.0	0	0			1	1	20	1	ec9fdfe4e0d3b2475ab5ad630cdb638c2e1ecefa8f577754e646cd0ee6583e9f	ec9fdfe4e0d3b2475ab5ad630cdb638c2e1ecefa8f577754e646cd0ee6583e9f
astropy__astropy-7336	1522251092.0	0	0			1	1	22	1	0035f572b8f983461f84101fcecdb8d4dce7830ca287baedd5308a1986ea53c5	0035f572b8f983461f84101fcecdb8d4dce7830ca287baedd5308a1986ea53c5
