category	count	share	counting
all_file_targets	176	1.000000	exclusive_total
added_or_outer_scope	155	0.880682	overlapping_evidence_flag
base_scope	75	0.426136	overlapping_evidence_flag
patched_parse_failure	5	0.028409	overlapping_evidence_flag
new_or_missing_base_file	1	0.005682	overlapping_evidence_flag
non_python_change	1	0.005682	overlapping_evidence_flag
exact:added_or_outer_scope_change	96	0.545455	exclusive_exact_evidence
exact:base_scope_change	14	0.079545	exclusive_exact_evidence
exact:base_scope_change+added_or_outer_scope_change	59	0.335227	exclusive_exact_evidence
exact:base_scope_change+patched_parse_failure	2	0.011364	exclusive_exact_evidence
exact:new_or_missing_base_file	1	0.005682	exclusive_exact_evidence
exact:non_python_change	1	0.005682	exclusive_exact_evidence
exact:patched_parse_failure	3	0.017045	exclusive_exact_evidence
