instance_id	source	token_budget	candidate_entities	selected_entities	rendered_context_tokens	budget_fill	mean_selected_source_tokens	truncated_entities	changed_lines_covered	changed_lines_total	complete_changed_lines	file_hit	entity_recall	mrr	hit
astropy__astropy-12907	BM25_projection	2000	50	9	1988	0.994	252.77777777777777	4	0	2	0	1	0.0	0.0	0
astropy__astropy-13033	BM25_projection	2000	50	9	1998	0.999	504.6666666666667	5	0	5	0	0	0.0	0.0	0
astropy__astropy-13236	BM25_projection	2000	50	5	1958	0.979	489.2	3	0	7	0	1	0.0	0.0	0
astropy__astropy-13398	BM25_projection	2000	50	5	1782	0.891	755.2	4	0	30	0	0	0.0	0.0	0
astropy__astropy-13453	BM25_projection	2000	50	1	929	0.4645	428.0	0	0	2	0	0	0.0	0.0	0
astropy__astropy-13579	BM25_projection	2000	50	7	1837	0.9185	588.1428571428571	3	0	3	0	0	0.0	0.0	0
astropy__astropy-13977	BM25_projection	2000	50	7	1892	0.946	1047.0	4	11	43	0	1	1.0	0.5	1
astropy__astropy-14096	BM25_projection	2000	50	1	1754	0.877	1132.0	1	0	5	0	0	0.0	0.0	0
astropy__astropy-14182	BM25_projection	2000	50	3	1968	0.984	374.3333333333333	1	0	14	0	0	0.0	0.0	0
astropy__astropy-14309	BM25_projection	2000	50	7	1952	0.976	324.0	2	0	5	0	0	0.0	0.0	0
astropy__astropy-14365	BM25_projection	2000	50	8	1969	0.9845	475.5	4	0	4	0	1	0.5	1.0	1
astropy__astropy-14369	BM25_projection	2000	50	2	1857	0.9285	426.0	0	0	39	0	0	0.0	0.0	0
astropy__astropy-14508	BM25_projection	2000	50	1	1243	0.6215	800.0	1	0	23	0	0	0.0	0.0	0
astropy__astropy-14539	BM25_projection	2000	50	4	1696	0.848	541.75	2	0	2	0	1	0.0	0.0	0
astropy__astropy-14598	BM25_projection	2000	50	5	1876	0.938	157.2	0	0	4	0	1	0.0	0.0	0
astropy__astropy-14995	BM25_projection	2000	50	3	1884	0.942	919.3333333333334	3	4	4	1	1	1.0	0.3333333333333333	1
astropy__astropy-7166	BM25_projection	2000	50	12	1933	0.9665	218.0	2	4	8	0	1	1.0	0.3333333333333333	1
astropy__astropy-7336	BM25_projection	2000	50	8	1900	0.95	401.25	4	2	2	1	1	1.0	0.5	1
astropy__astropy-7606	BM25_projection	2000	50	13	1710	0.855	76.38461538461539	1	2	5	0	1	0.5	0.5	1
astropy__astropy-7671	BM25_projection	2000	50	7	1834	0.917	450.7142857142857	3	1	2	0	1	1.0	1.0	1
astropy__astropy-8707	BM25_projection	2000	50	3	1989	0.9945	750.3333333333334	2	16	19	0	1	0.3333333333333333	1.0	1
astropy__astropy-8872	BM25_projection	2000	50	9	1809	0.9045	380.77777777777777	3	4	10	0	1	1.0	0.5	1
django__django-10097	BM25_projection	2000	50	12	1831	0.9155	96.83333333333333	1	0	2	0	0	0.0	0.0	0
django__django-10554	BM25_projection	2000	50	6	1807	0.9035	282.6666666666667	2	0	3	0	1	0.5	0.25	1
django__django-10880	BM25_projection	2000	50	7	1681	0.8405	495.85714285714283	4	0	2	0	0	0.0	0.0	0
django__django-10914	BM25_projection	2000	50	9	1987	0.9935	156.77777777777777	1	0	2	0	0	0.0	0.0	0
django__django-10973	BM25_projection	2000	50	9	1983	0.9915	461.6666666666667	3	0	35	0	0	0.0	0.0	0
django__django-10999	BM25_projection	2000	50	10	2000	1.0	125.8	0	4	4	1	1	1.0	0.5	1
django__django-11066	BM25_projection	2000	50	8	1261	0.6305	104.625	1	2	2	1	1	1.0	1.0	1
django__django-11087	BM25_projection	2000	50	8	1805	0.9025	171.125	2	0	9	0	0	0.0	0.0	0
django__django-11095	BM25_projection	2000	50	12	1849	0.9245	137.0	1	2	3	0	1	0.5	1.0	1
django__django-11099	BM25_projection	2000	50	11	1786	0.893	49.27272727272727	0	3	4	0	1	0.5	0.1	1
