baseline	treatment	token_budget	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25_projection	MURAL	2000	file	500	0.614	0.74	0.126	0.092	0.162	74	11	415	1.2888315230163817e-12
BM25_projection	MURAL	2000	entity_recall	500	0.38518823953823955	0.48444300144300145	0.0992547619047619	0.07120555555555556	0.12815555555555558	72	12	416	NA
BM25_projection	MURAL	2000	mrr	500	0.27508023088023087	0.33523856421356424	0.06015833333333337	0.04005826118326118	0.0805198412698413	123	26	351	NA
BM25_projection	MURAL	2000	hit	500	0.454	0.558	0.10400000000000004	0.072	0.136	62	10	428	2.6890686575861277e-10
BM25_projection	MURAL	4000	file	500	0.708	0.818	0.10999999999999999	0.078	0.142	64	9	427	2.378889919863532e-11
BM25_projection	MURAL	4000	entity_recall	500	0.4884029942279942	0.5823462481962483	0.09394325396825404	0.0673420634920635	0.12127976190476192	72	10	418	NA
BM25_projection	MURAL	4000	mrr	500	0.28559307931191763	0.34395780858263697	0.05836472927071934	0.0393150220180103	0.07760324748649891	160	34	306	NA
BM25_projection	MURAL	4000	hit	500	0.556	0.662	0.10599999999999998	0.076	0.138	60	7	433	1.3280368233066497e-11
BM25_projection	MURAL	8000	file	500	0.756	0.888	0.132	0.102	0.164	69	3	428	2.6371947296289014e-17
BM25_projection	MURAL	8000	entity_recall	500	0.5564722666222667	0.6740341713841714	0.11756190476190476	0.08943333333333332	0.1473142857142857	80	6	414	NA
BM25_projection	MURAL	8000	mrr	500	0.28907737905237585	0.3473951923566338	0.05831781330425795	0.03948149451299184	0.07732527283887733	190	42	268	NA
BM25_projection	MURAL	8000	hit	500	0.622	0.748	0.126	0.096	0.156	66	3	431	1.857035033560328e-16
Structural_projection	MURAL	2000	file	500	0.572	0.74	0.16800000000000004	0.128	0.208	102	18	380	1.9758911914423336e-15
Structural_projection	MURAL	2000	entity_recall	500	0.38053466810966813	0.48444300144300145	0.10390833333333332	0.06729588744588745	0.14046493506493504	101	37	362	NA
Structural_projection	MURAL	2000	mrr	500	0.256826862026862	0.33523856421356424	0.07841170218670224	0.04682968142968143	0.10988702686202685	182	67	251	NA
Structural_projection	MURAL	2000	hit	500	0.432	0.558	0.12600000000000006	0.084	0.168	91	28	381	5.8019739897429865e-09
Structural_projection	MURAL	4000	file	500	0.59	0.818	0.22799999999999998	0.188	0.268	125	11	364	1.2237084238398533e-25
Structural_projection	MURAL	4000	entity_recall	500	0.4537299062049062	0.5823462481962483	0.12861634199134203	0.09060238095238093	0.16750173160173165	114	35	351	NA
Structural_projection	MURAL	4000	mrr	500	0.263093042391942	0.34395780858263697	0.08086476619069499	0.04974797938273171	0.11219876398970828	220	75	205	NA
Structural_projection	MURAL	4000	hit	500	0.506	0.662	0.15600000000000003	0.114	0.198	102	24	374	1.2134658822387027e-12
Structural_projection	MURAL	8000	file	500	0.594	0.888	0.29400000000000004	0.254	0.336	150	3	347	1.0458205731410583e-40
Structural_projection	MURAL	8000	entity_recall	500	0.4938108585858586	0.6740341713841714	0.18022331279831283	0.14264480519480516	0.2181449217449217	126	23	351	NA
Structural_projection	MURAL	8000	mrr	500	0.2642185775388763	0.3473951923566338	0.08317661481775751	0.052260304579833675	0.1144766529808035	250	77	173	NA
Structural_projection	MURAL	8000	hit	500	0.538	0.748	0.20999999999999996	0.17	0.252	118	13	369	2.3923301411438164e-22
Dense_projection	MURAL	2000	file	500	0.736	0.74	0.0040000000000000036	-0.032	0.038	40	38	422	0.9099464518745243
Dense_projection	MURAL	2000	entity_recall	500	0.4582980158730159	0.48444300144300145	0.026144985569985568	-0.0038520923520923497	0.05571244588744589	54	38	408	NA
Dense_projection	MURAL	2000	mrr	500	0.3126151015651016	0.33523856421356424	0.022623462648462656	-0.0002790487290487259	0.045740598290598275	118	56	326	NA
Dense_projection	MURAL	2000	hit	500	0.542	0.558	0.016000000000000014	-0.018	0.05	41	33	426	0.4159851975073048
Dense_projection	MURAL	4000	file	500	0.822	0.818	-0.0040000000000000036	-0.036	0.028	32	34	434	0.9021585000966993
Dense_projection	MURAL	4000	entity_recall	500	0.5664061688311688	0.5823462481962483	0.015940079365079463	-0.013783333333333338	0.04448333333333334	48	37	415	NA
Dense_projection	MURAL	4000	mrr	500	0.32015417908866173	0.34395780858263697	0.023803629493975242	0.0013065165577298594	0.04629030410613628	147	67	286	NA
Dense_projection	MURAL	4000	hit	500	0.642	0.662	0.020000000000000018	-0.01	0.05	34	24	442	0.2370471147627195
Dense_projection	MURAL	8000	file	500	0.89	0.888	-0.0020000000000000018	-0.022	0.018	13	14	473	1.0
Dense_projection	MURAL	8000	entity_recall	500	0.6529215950715951	0.6740341713841714	0.021112576312576348	-0.0030747252747252755	0.04534352869352868	38	26	436	NA
Dense_projection	MURAL	8000	mrr	500	0.3233713728443877	0.3473951923566338	0.02402381951224608	0.001803619248791968	0.04658278252712236	171	75	254	NA
Dense_projection	MURAL	8000	hit	500	0.722	0.748	0.026000000000000023	0.002	0.05	26	13	461	0.05325191409792751
