source	token_budget	N	selected_mean	selected_p50	selected_p95	context_tokens_mean	context_tokens_p50	context_tokens_p95	budget_fill_mean	entity_tokens_p50	entity_tokens_p95	truncated_entity_rate	changed_line_recall	complete_changed_line_rate	file_hit_rate	entity_recall	mrr	hit_rate	dir
BM25_projection	2000	500	8.16	8.0	14.0	1802.672	1890.5	1987.0	0.901336	123.5	1103.0	0.27426470588235297	0.19181793551882959	0.158	0.614	0.38518823953823955	0.27508023088023087	0.454	temp_run/mural_reviewer_controls_20260718/token_packed/BM25_projection_t2000
BM25_projection	4000	500	18.512	18.0	30.0	3804.148	3904.5	3992.0	0.951037	114.0	1009.0	0.27203975799481417	0.2568409645082633	0.194	0.708	0.4884029942279942	0.28559307931191763	0.556	temp_run/mural_reviewer_controls_20260718/token_packed/BM25_projection_t4000
BM25_projection	8000	500	38.396	39.0	50.0	7653.088	7862.5	7989.0	0.956636	112.0	1017.0	0.27143452442962807	0.29206177187753996	0.222	0.756	0.5564722666222667	0.28907737905237585	0.622	temp_run/mural_reviewer_controls_20260718/token_packed/BM25_projection_t8000
Structural_projection	2000	500	9.048	9.0	18.0	1605.092	1894.5	1993.0	0.802546	76.0	781.0	0.1823607427055703	0.22107829856407477	0.16	0.572	0.38053466810966813	0.256826862026862	0.432	temp_run/mural_reviewer_controls_20260718/token_packed/Structural_projection_t2000
Structural_projection	4000	500	19.444	20.5	36.0	3253.108	3896.5	3991.0	0.813277	73.0	735.0	0.1814441472947953	0.2741804389054457	0.202	0.59	0.4537299062049062	0.263093042391942	0.506	temp_run/mural_reviewer_controls_20260718/token_packed/Structural_projection_t4000
Structural_projection	8000	500	36.148	43.0	50.0	5991.438	7521.5	7988.0	0.74892975	76.0	723.0	0.18391058979749916	0.3007315090761311	0.214	0.594	0.4938108585858586	0.2642185775388763	0.538	temp_run/mural_reviewer_controls_20260718/token_packed/Structural_projection_t8000
Dense_projection	2000	500	9.508	9.0	17.0	1842.054	1906.0	1993.0	0.921027	85.0	842.0	0.20509045014724442	0.2405852072609049	0.192	0.736	0.4582980158730159	0.3126151015651016	0.542	temp_run/mural_reviewer_controls_20260718/token_packed/Dense_projection_t2000
Dense_projection	4000	500	21.078	20.0	34.0	3836.986	3917.0	3994.0	0.9592465	81.0	795.0	0.2020115760508587	0.3210512056353292	0.222	0.822	0.5664061688311688	0.32015417908866173	0.642	temp_run/mural_reviewer_controls_20260718/token_packed/Dense_projection_t4000
Dense_projection	8000	500	41.91	44.0	50.0	7444.084	7824.0	7990.0	0.9305105	81.0	782.0	0.20243378668575518	0.3616905987537253	0.264	0.89	0.6529215950715951	0.3233713728443877	0.722	temp_run/mural_reviewer_controls_20260718/token_packed/Dense_projection_t8000
MURAL	2000	500	8.966	8.5	15.0	1861.316	1897.0	1987.0	0.930658	104.0	962.0	0.2391255855453937	0.25304795448387973	0.202	0.74	0.48444300144300145	0.33523856421356424	0.558	temp_run/mural_reviewer_controls_20260718/token_packed/MURAL_t2000
MURAL	4000	500	19.646	19.0	31.0	3832.024	3898.0	3988.0	0.958006	95.0	885.0	0.22864705283518275	0.31400704416147385	0.234	0.818	0.5823462481962483	0.34395780858263697	0.662	temp_run/mural_reviewer_controls_20260718/token_packed/MURAL_t4000
MURAL	8000	500	39.34	40.0	50.0	7651.832	7860.5	7985.0	0.956479	96.0	890.0	0.23472292831723438	0.3709021945272284	0.272	0.888	0.6740341713841714	0.3473951923566338	0.748	temp_run/mural_reviewer_controls_20260718/token_packed/MURAL_t8000
